mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58900.44,20.207196863200842,nan,-0.5,6.0,o,False,23.9,-0.5,6.0
58901.47,20.162874945799764,nan,-7.5,6.25,o,False,23.9,-7.5,6.25
58902.6,20.5488897128997,nan,-1.75,4.38,c,False,23.9,-1.75,4.38
58904.62,20.253405377435875,nan,5.5,5.75,o,False,23.9,5.5,5.75
58906.58,19.45462187404089,nan,6.0,12.0,o,False,23.9,6.0,12.0
58912.64,20.362566630072955,nan,7.67,5.2,o,False,23.9,7.67,5.2
58913.47,20.14564067593001,nan,-12.67,6.35,o,False,23.9,-12.67,6.35
58917.43,19.032028586184765,nan,-11.33,17.71,o,False,23.9,-11.33,17.71
58924.63,19.591360819912033,nan,-12.33,10.58,o,False,23.9,-12.33,10.58
58931.47,20.285989491816004,nan,-5.33,5.58,c,False,23.9,-5.33,5.58
58936.54,17.78210492164445,nan,52.0,56.0,o,False,23.9,52.0,56.0
58942.52,19.432234767408573,nan,8.0,12.25,o,False,23.9,8.0,12.25
58950.52,17.339939688380348,nan,138.5,84.15,o,False,23.9,138.5,84.15
58951.43,19.82902767487422,nan,-8.5,8.5,o,False,23.9,-8.5,8.5
58952.52,20.050741902630435,nan,-2.67,6.93,o,False,23.9,-2.67,6.93
58953.48,20.185696433796046,nan,-5.25,6.12,o,False,23.9,-5.25,6.12
58956.46,20.323603076193105,nan,1.0,5.39,o,False,23.9,1.0,5.39
58957.49,20.325619299993978,nan,8.75,5.38,o,False,23.9,8.75,5.38
58958.48,20.615331949077117,nan,-0.5,4.12,c,False,23.9,-0.5,4.12
58959.47,20.323603076193105,nan,-7.67,5.39,c,False,23.9,-7.67,5.39
58960.5,19.877348625174783,nan,0.5,8.13,o,False,23.9,0.5,8.13
58962.5,18.615141619232908,nan,-55.0,26.0,c,False,23.9,-55.0,26.0
58964.4,19.443818439584284,nan,16.5,12.12,o,False,23.9,16.5,12.12
58966.48,20.379400086720374,nan,11.5,5.12,c,False,23.9,11.5,5.12
58968.49,20.376435328321392,0.24403930658356057,25.67,5.77,o,True,23.9,25.67,5.77
