mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58824.66,19.911259445436063,nan,16.75,7.88,o,False,23.9,16.75,7.88
58826.63,20.001729972732466,nan,1.75,7.25,o,False,23.9,1.75,7.25
58828.63,19.537313021044856,nan,21.0,11.12,o,False,23.9,21.0,11.12
58829.56,19.02044241171022,nan,2.33,17.9,o,False,23.9,2.33,17.9
58844.67,19.6396237079005,nan,-13.75,10.12,o,False,23.9,-13.75,10.12
58846.56,19.96347514664953,nan,2.67,7.51,c,False,23.9,2.67,7.51
58850.65,19.85749914719775,nan,-1.67,8.28,o,False,23.9,-1.67,8.28
58852.58,19.71629575731663,nan,-1.0,9.43,o,False,23.9,-1.0,9.43
58866.63,20.07931555708239,nan,-8.0,6.75,o,False,23.9,-8.0,6.75
58868.57,20.140523292357045,nan,5.0,6.38,o,False,23.9,5.0,6.38
58872.64,19.702566560200587,nan,10.5,9.55,o,False,23.9,10.5,9.55
58874.59,20.21263916133653,nan,5.33,5.97,c,False,23.9,5.33,5.97
58876.6,20.1004300155607,nan,7.5,6.62,o,False,23.9,7.5,6.62
58878.55,19.27645146550775,nan,4.5,14.14,c,False,23.9,4.5,14.14
58880.58,19.663487002666077,nan,11.5,9.9,o,False,23.9,11.5,9.9
58882.54,20.35217673064506,nan,-3.5,5.25,c,False,23.9,-3.5,5.25
58884.56,20.02137500506781,nan,2.5,7.12,o,False,23.9,2.5,7.12
58888.56,18.76586360427313,nan,-10.0,22.63,o,False,23.9,-10.0,22.63
58900.45,20.120291597552814,nan,-1.25,6.5,o,False,23.9,-1.25,6.5
58902.44,20.229131673969604,nan,4.0,5.88,c,False,23.9,4.0,5.88
58904.54,19.936348176228748,nan,12.33,7.7,o,False,23.9,12.33,7.7
58912.52,20.379400086720374,nan,4.0,5.12,o,False,23.9,4.0,5.12
58920.59,17.12048192739702,nan,-1.0,103.0,o,False,23.9,-1.0,103.0
58924.51,19.808780259116585,nan,-4.0,8.66,o,False,23.9,-4.0,8.66
58930.5,20.080925247821654,nan,12.33,6.74,c,False,23.9,12.33,6.74
58934.44,17.26696871556164,nan,11.0,90.0,c,False,23.9,11.0,90.0
58936.48,19.947687560810948,nan,15.0,7.62,o,False,23.9,15.0,7.62
58942.44,16.596564261453814,nan,11.0,166.88,o,False,23.9,11.0,166.88
58948.4,19.2210676611353,nan,-15.75,14.88,o,False,23.9,-15.75,14.88
58949.44,19.68006344991361,nan,-9.0,9.75,o,False,23.9,-9.0,9.75
58950.46,18.636224538075062,nan,-17.5,25.5,o,False,23.9,-17.5,25.5
58952.44,20.03982988912431,nan,2.0,7.0,o,False,23.9,2.0,7.0
58956.38,20.058603893571174,nan,11.25,6.88,o,False,23.9,11.25,6.88
58958.39,20.2782342002373,nan,6.5,5.62,c,False,23.9,6.5,5.62
58960.42,20.07931555708239,nan,8.0,6.75,o,False,23.9,8.0,6.75
58962.42,18.930275975005635,nan,-12.5,19.45,c,False,23.9,-12.5,19.45
58964.37,19.443818439584284,nan,-8.33,12.12,o,False,23.9,-8.33,12.12
