mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58900.41,20.2782342002373,nan,-2.5,5.62,o,False,23.9,-2.5,5.62
58902.41,20.431525434153176,nan,13.75,4.88,c,False,23.9,13.75,4.88
58903.41,20.140523292357045,nan,-3.75,6.38,o,False,23.9,-3.75,6.38
58904.43,19.936348176228748,nan,1.0,7.7,o,False,23.9,1.0,7.7
58911.45,19.85749914719775,nan,4.0,8.28,o,False,23.9,4.0,8.28
58917.47,17.905149978319905,nan,-8.0,50.0,o,False,23.9,-8.0,50.0
58918.44,19.02957909568217,nan,-3.75,17.75,o,False,23.9,-3.75,17.75
58919.38,19.41029995663981,nan,1.0,12.5,o,False,23.9,1.0,12.5
58920.47,19.76696871556164,nan,-13.0,9.0,o,False,23.9,-13.0,9.0
58924.45,20.080925247821654,nan,7.33,6.74,o,False,23.9,7.33,6.74
58929.35,20.323603076193105,nan,6.67,5.39,c,False,23.9,6.67,5.39
58930.38,20.249635456270624,nan,8.67,5.77,c,False,23.9,8.67,5.77
58932.35,19.484897849046526,nan,-5.0,11.67,o,False,23.9,-5.0,11.67
58934.35,19.460973879984095,nan,-0.33,11.93,c,False,23.9,-0.33,11.93
58936.39,20.207196863200842,nan,-2.25,6.0,o,False,23.9,-2.25,6.0
58942.36,18.483924715391794,nan,-9.0,29.34,o,False,23.9,-9.0,29.34
58944.39,17.689250401633032,nan,-1.0,61.0,o,False,23.9,-1.0,61.0
58947.41,18.86843412261487,nan,-8.67,20.59,o,False,23.9,-8.67,20.59
58949.38,19.72670779858472,nan,-21.86,9.34,o,False,23.9,-21.86,9.34
58951.37,20.253405377435875,nan,-12.0,5.75,o,False,23.9,-12.0,5.75
58955.4,19.752587893338912,nan,1.0,9.12,o,False,23.9,1.0,9.12
58957.37,18.516225026747904,nan,34.0,28.48,c,False,23.9,34.0,28.48
58959.26,20.1004300155607,nan,3.75,6.62,o,False,23.9,3.75,6.62
58960.33,20.229131673969604,nan,2.25,5.88,o,False,23.9,2.25,5.88
58961.31,20.07931555708239,nan,25.0,6.75,c,False,23.9,25.0,6.75
58962.33,19.032028586184765,nan,18.0,17.71,c,False,23.9,18.0,17.71
58964.3,19.377785331600467,nan,-18.5,12.88,o,False,23.9,-18.5,12.88
58966.29,20.1004300155607,nan,-2.5,6.62,o,False,23.9,-2.5,6.62
58970.32,19.6396237079005,nan,9.0,10.12,o,False,23.9,9.0,10.12
58971.3,19.443818439584284,nan,3.67,12.12,o,False,23.9,3.67,12.12
58974.28,19.41029995663981,nan,-15.0,12.5,o,False,23.9,-15.0,12.5
58975.29,19.401648626366043,0.20249166666666668,63.0,11.75,o,True,23.9,63.0,11.75
58976.3,18.040248219375982,0.0627074745186863,220.75,12.75,o,True,23.9,220.75,12.75
58979.32,16.12289466570185,0.00778053457292272,1290.75,9.25,o,True,23.9,1290.75,9.25
58982.28,14.922965049463599,0.0033759692130075044,3897.75,12.12,c,True,23.9,3897.75,12.12
58983.26,14.763836666199634,0.0037048038998448935,4513.0,15.4,o,True,23.9,4513.0,15.4
58984.28,14.541976456002361,0.0023748958214794705,5536.17,12.11,o,True,23.9,5536.17,12.11
58986.29,14.136623580665495,0.0020588708925296114,8041.75,15.25,c,True,23.9,8041.75,15.25
58988.27,14.089754269204732,0.003108465193830763,8396.5,24.04,o,True,23.9,8396.5,24.04
58990.26,13.808128427069493,0.0017338478360746116,10883.0,17.38,c,True,23.9,10883.0,17.38
58992.24,13.972506586068786,0.004758787684413086,9354.0,41.0,o,True,23.9,9354.0,41.0
58994.27,13.941244375746505,0.0020163926354878083,9627.25,17.88,o,True,23.9,9627.25,17.88
58997.26,13.985585089543283,0.005272258818437569,9242.0,44.88,o,True,23.9,9242.0,44.88
59000.28,14.191165793263943,0.0024488673139158577,7647.75,17.25,o,True,23.9,7647.75,17.25
59005.26,14.552206890201493,0.005170895564571273,5484.25,26.12,o,True,23.9,5484.25,26.12
59010.26,14.591360819912035,0.0034377079395085065,5290.0,16.75,o,True,23.9,5290.0,16.75
59126.62,18.28209297740167,0.11946571574121245,176.67,19.44,o,True,23.9,176.67,19.44
59132.63,18.59741424381925,0.12817405781746635,132.14,15.6,o,True,23.9,132.14,15.6
59140.63,18.908173711412118,0.10807774307304788,99.25,9.88,o,True,23.9,99.25,9.88
59142.61,18.172133095670283,0.03887416879795397,195.5,7.0,c,True,23.9,195.5,7.0
59144.61,18.80643375514844,0.09392799082568808,109.0,9.43,o,True,23.9,109.0,9.43
59147.62,19.21713462167936,0.10352462836480515,74.67,7.12,o,True,23.9,74.67,7.12
59148.59,17.04909327626439,nan,81.0,110.0,o,False,23.9,81.0,110.0
