mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58901.52,19.976565225962382,nan,-6.0,7.42,o,False,23.9,-6.0,7.42
58903.64,20.615331949077117,nan,5.75,4.12,c,False,23.9,5.75,4.12
58905.62,20.205388809153103,nan,-11.0,6.01,o,False,23.9,-11.0,6.01
58911.54,nan,nan,0.0,6.72,c,False,23.9,0.0,6.72
58913.51,19.92512599668573,nan,-10.5,7.78,o,False,23.9,-10.5,7.78
58921.6,17.053048603789076,nan,26.0,109.6,o,False,23.9,26.0,109.6
58925.55,20.301668265424343,nan,-21.0,5.5,o,False,23.9,-21.0,5.5
58931.59,19.894850021680092,nan,-12.0,8.0,c,False,23.9,-12.0,8.0
58933.57,20.379400086720374,nan,-9.75,5.12,o,False,23.9,-9.75,5.12
58937.49,20.285989491816004,nan,-2.33,5.58,o,False,23.9,-2.33,5.58
58943.42,19.752587893338912,nan,2.5,9.12,o,False,23.9,2.5,9.12
58948.43,19.587263697296326,nan,24.5,10.62,o,False,23.9,24.5,10.62
58951.45,19.574053828530893,nan,-31.5,10.75,o,False,23.9,-31.5,10.75
58953.54,14.419020776254364,nan,-102.0,1240.0,o,False,23.9,-102.0,1240.0
58957.43,20.162874945799764,nan,18.0,6.25,o,False,23.9,18.0,6.25
58959.41,20.460840965097784,nan,-3.5,4.75,c,False,23.9,-3.5,4.75
58961.42,20.301668265424343,nan,17.75,5.5,o,False,23.9,17.75,5.5
58965.43,20.229131673969604,nan,29.75,5.88,o,False,23.9,29.75,5.88
58967.41,20.53656567360228,nan,3.0,4.43,c,False,23.9,3.0,4.43
58968.4,20.405149978319905,nan,-17.75,5.0,o,False,23.9,-17.75,5.0
58969.4,20.405149978319905,nan,18.25,5.0,o,False,23.9,18.25,5.0
58971.39,19.9098824811364,nan,4.0,7.89,o,False,23.9,4.0,7.89
58975.39,19.482110334794548,0.22734743589743595,58.5,12.25,o,True,23.9,58.5,12.25
58977.44,18.194578054238395,0.04819033942558747,191.5,8.5,o,True,23.9,191.5,8.5
58979.43,17.17340247071008,0.019367737003058105,490.5,8.75,o,True,23.9,490.5,8.75
58981.39,16.50090614668492,0.00834008230452675,911.25,7.0,o,True,23.9,911.25,7.0
58983.35,16.02336214044379,0.006354553358733839,1414.67,8.28,c,True,23.9,1414.67,8.28
58985.4,15.761818737241734,0.005126916666666667,1800.0,8.5,o,True,23.9,1800.0,8.5
58987.43,15.696524484686401,0.0038962224768122546,1911.57,6.86,c,True,23.9,1911.57,6.86
58989.33,15.544560368836205,0.004197134735645253,2198.75,8.5,o,True,23.9,2198.75,8.5
58993.39,15.537791801575342,0.0045390847457627125,2212.5,9.25,o,True,23.9,2212.5,9.25
58995.4,15.396210018454646,0.004475168506785895,2520.67,10.39,c,True,23.9,2520.67,10.39
58997.34,15.663972227121711,0.0050984769640817365,1969.75,9.25,o,True,23.9,1969.75,9.25
58999.32,15.784061339991228,0.005848681599092714,1763.5,9.5,o,True,23.9,1763.5,9.5
59001.38,15.976365003370738,0.007533203587747505,1477.25,10.25,o,True,23.9,1477.25,10.25
59003.39,16.092618164967014,0.009505243171972122,1327.25,11.62,o,True,23.9,1327.25,11.62
59005.32,16.226986395952007,0.009146634832658283,1172.75,9.88,o,True,23.9,1172.75,9.88
59007.32,16.2006905621502,0.008692828963795255,1201.5,9.62,o,True,23.9,1201.5,9.62
59009.35,16.223289482553405,0.013267360101975784,1176.75,14.38,o,True,23.9,1176.75,14.38
59013.34,16.241666602620626,0.00668123076923077,1157.0,7.12,o,True,23.9,1157.0,7.12
59017.33,16.337760099731284,0.007689093484419264,1059.0,7.5,o,True,23.9,1059.0,7.5
59019.32,17.09547346196863,0.07721448956356737,527.0,37.48,c,True,23.9,527.0,37.48
59021.29,16.587687306919918,0.009034056463595841,841.25,7.0,o,True,23.9,841.25,7.0
59023.28,17.25080360993856,0.014262068965517244,456.75,6.0,c,True,23.9,456.75,6.0
59025.29,16.89093051163796,0.010886862082514735,636.25,6.38,o,True,23.9,636.25,6.38
59027.3,17.03600545753526,0.015388242585373742,556.67,7.89,o,True,23.9,556.67,7.89
59029.31,17.069015600442576,0.032510683333333346,540.0,16.17,o,True,23.9,540.0,16.17
59031.28,17.159655310545368,0.01912405636638148,496.75,8.75,o,True,23.9,496.75,8.75
59033.33,17.277880729067764,0.02100725925925926,445.5,8.62,o,True,23.9,445.5,8.62
59035.32,17.311290632962717,0.03111334722222223,432.0,12.38,o,True,23.9,432.0,12.38
59037.26,17.462752526852633,0.015545085828343314,375.75,5.38,o,True,23.9,375.75,5.38
59039.27,17.549176313022816,0.02815936599423631,347.0,9.0,o,True,23.9,347.0,9.0
59041.3,17.556491289604978,0.02123079467316564,344.67,6.74,o,True,23.9,344.67,6.74
59043.33,18.045573124927678,0.039934702053079627,219.67,8.08,c,True,23.9,219.67,8.08
59045.31,16.849249994319727,nan,242.5,132.23,o,False,23.9,242.5,132.23
59047.31,18.161082250093802,0.048595382278481015,197.5,8.84,c,True,23.9,197.5,8.84
59051.29,18.13662157638344,0.029561138613861393,202.0,5.5,c,True,23.9,202.0,5.5
59057.29,18.163834434596016,0.04067241624365482,197.0,7.38,o,True,23.9,197.0,7.38
59059.29,18.177700985845682,0.05794121336760927,194.5,10.38,o,True,23.9,194.5,10.38
59065.27,18.612389011853963,0.11862478324253818,130.33,14.24,o,True,23.9,130.33,14.24
59073.26,18.501608470944433,0.052129848264394096,144.33,6.93,o,True,23.9,144.33,6.93
59077.25,18.64331557362768,0.06599739480539987,126.67,7.7,o,True,23.9,126.67,7.7
59089.24,18.714147644087305,0.14089306480155056,118.67,15.4,o,True,23.9,118.67,15.4
58211.34478,19.263956501354688,nan,-13.7691972544023,14.303667140006151,ztfg,False,30,-3792.35183,3939.55706
58211.34582,19.229222820878793,nan,-16.990931124667068,14.768652345645684,ztfg,False,30,-4679.69102,4067.62462
58214.23682,19.052282799431932,nan,2.4738185655178024,17.38268562881999,ztfr,False,30,681.34621,4787.58917
58214.24479,19.106135649679317,nan,12.63340294065903,16.54153224268612,ztfr,False,30,3479.5281,4555.91629
58214.26736,18.98246328103068,nan,-6.593813642995115,18.5372233751393,ztfg,False,30,-1816.08708,5105.57527
58214.26831,18.492100368464843,nan,-20.732979592722167,29.11989792379721,ztfg,False,30,-5710.33675,8020.28587
58214.38564,16.41985789737584,nan,85.99351902510442,196.375288785737,ztfi,False,30,23684.58184,54086.2457
58216.24058,20.433141509443995,nan,6.072106459325709,4.872741716667878,ztfr,False,30,1672.39699,1342.06451
58217.27792,20.581465172339364,nan,-9.877477373983961,4.250538230834267,ztfr,False,30,-2720.48317,1170.69544
58217.28396,19.871491961069072,nan,-29.524654834016346,8.173973233491413,ztfr,False,30,-8131.76518,2251.29917
58217.31644,20.805084816505442,nan,1.2423666908462478,3.459362466323891,ztfr,False,30,342.1762,952.78754
58217.31913,20.590641066184304,nan,1.612914786130799,4.214766982106595,ztfr,False,30,444.23362,1160.84322
58218.25642,20.6780168590781,nan,3.875017055433529,3.888868446915203,ztfr,False,30,1067.26832,1071.08331
58218.2781,20.59966862087829,nan,1.8203530062421265,4.179867810558677,ztfr,False,30,501.36685,1151.23119
58218.30473,20.702494363119467,nan,7.161034439912422,3.8021762997777464,ztfr,False,30,1972.31266,1047.20631
58219.30297,19.38137910413444,nan,-8.212119521006557,12.837437848623969,ztfr,False,30,-2261.80553,3535.72398
58219.31352,19.281069638441807,nan,13.183568581647178,14.079983319104384,ztfr,False,30,3631.0563,3877.94942
58221.2588,19.336914340169272,nan,14.991446044388377,13.3740905594931,ztfr,False,30,4128.9871,3683.53041
58221.25971,19.755543766128625,nan,23.91560657986228,9.095204936917046,ztfr,False,30,6586.90501,2505.02745
58221.28633,19.709979284244767,nan,27.934679028923476,9.48502067687311,ztfr,False,30,7693.84948,2612.39162
58222.26134,20.3034037229501,nan,-5.118722378759909,5.491215737338502,ztfr,False,30,-1409.81321,1512.4064
58222.27978,20.194024076484084,nan,11.967538411044178,6.073238899778537,ztfr,False,30,3296.13378,1672.70889
58224.23598,20.5050348321883,nan,11.189142848830487,4.560537832161915,ztfr,False,30,3081.74584,1256.07642
58224.26056,20.031046970674186,nan,15.454507226800066,7.056855219191851,ztfr,False,30,4256.52474,1943.61932
58224.26713,20.213505485130227,nan,17.252745112418342,5.965238355147121,ztfr,False,30,4751.80058,1642.96307
