mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58910.64,20.253405377435875,nan,11.25,5.75,o,False,23.9,11.25,5.75
58962.62,19.409431714926402,nan,10.33,12.51,o,False,23.9,10.33,12.51
58964.58,20.080925247821654,nan,16.0,6.74,c,False,23.9,16.0,6.74
58966.45,20.78807059626176,0.31699721115537854,17.57,5.13,o,True,23.9,17.57,5.13
58968.53,20.341885315157977,0.18928052830188682,26.5,4.62,c,True,23.9,26.5,4.62
58970.58,20.311583733468346,0.20399207339449546,27.25,5.12,o,True,23.9,27.25,5.12
58972.59,20.732070678992464,0.29343243243243244,18.5,5.0,c,True,23.9,18.5,5.0
58974.56,19.87868491605701,nan,-0.5,8.12,o,False,23.9,-0.5,8.12
58976.54,18.963720768156676,nan,-1.0,18.86,o,False,23.9,-1.0,18.86
58978.54,19.81380682459817,nan,18.0,8.62,o,False,23.9,18.0,8.62
58980.45,19.076452685714266,nan,49.0,17.0,o,False,23.9,49.0,17.0
58982.54,20.185696433796046,nan,9.5,6.12,o,False,23.9,9.5,6.12
58984.54,20.050741902630435,nan,14.33,6.93,o,False,23.9,14.33,6.93
58986.59,20.084151806525387,nan,11.5,6.72,o,False,23.9,11.5,6.72
58988.51,20.490970050269638,nan,12.75,4.62,c,False,23.9,12.75,4.62
58990.48,19.969855025184238,0.19602512724350393,37.33,6.74,o,True,23.9,37.33,6.74
58992.48,20.325619299993978,nan,9.0,5.38,c,False,23.9,9.0,5.38
58994.49,20.229870521364404,0.1666612321307012,29.38,4.51,o,True,23.9,29.38,4.51
58998.48,20.405149978319905,0.18066048,25.0,4.16,o,True,23.9,25.0,4.16
58900.486828700174,17.983193540677032,nan,-12.655395480843326,46.53209214082918,ztfr,False,24.0862,-15.0229672815989,55.2373174614879
58900.53829859989,18.779814032333512,nan,7.545242870411538,22.341091267008238,ztfg,False,24.672,15.362900707006,45.4887897866283
58903.51309029991,20.901771682590645,nan,-2.277892553725717,3.1646182088029007,ztfr,False,26.2134,-19.1819712141008,26.6490249004896
58903.532199100126,21.039662534814642,nan,0.2190252597716907,2.787179773912414,ztfg,False,26.2736,1.94954921937108,24.8087556574154
58908.50731479982,20.817898469367105,nan,1.3039047938470059,3.418775696069481,ztfr,False,26.2121,10.9669504688853,28.7548169927368
58908.550798600074,20.471900770331118,nan,-4.742417011618477,4.70185993356876,ztfg,False,26.3025,-43.3510618689421,42.9803242481362
58911.50789349992,19.968551010369264,nan,6.183482166378066,7.474972366809264,ztfr,False,26.198,51.3373104791024,62.0596885205176
58911.54535879986,20.22567970512827,nan,3.3257533402631028,5.8987245094934675,ztfg,False,26.277,29.6954585506466,52.6693687871299
58912.493553199805,20.672703371086364,nan,3.3584059208251604,3.9079468388525966,ztfr,False,26.1313,26.2212376639726,30.511857487003
58912.53267360013,21.076790064719383,nan,-0.937443243160834,2.693481331349888,ztfg,False,26.26,-8.24033718989343,23.6763073892018
58913.495034699794,20.366294100266117,nan,2.5778979622012983,5.18217834951159,ztfr,False,25.8109,14.9839295762061,30.1212059511137
58913.53123839991,20.625596651822462,nan,-1.3467306646963444,4.081232486204755,ztfg,False,25.8943,-8.45280302965665,25.6160012008809
58914.44637730019,19.907894746128626,nan,9.018838678195836,7.904458018543415,ztfg,False,25.995,62.1084396609814,54.4342316582685
58914.54849540023,20.91015160849758,nan,-0.21159577391608297,3.1402870790817743,ztfr,False,26.2272,-1.80462508330117,26.782391381432
58915.496134299785,17.243810189593972,nan,-82.86607965817528,91.9403007012698,ztfg,False,23.8945,-82.4473674466901,91.4757375556493
58915.52807869995,19.181611130663732,nan,-0.7113321618295622,15.430696997851657,ztfr,False,24.9378,-1.85008825082526,40.133362091127
58940.49006940005,21.14863650348402,0.29463897376928255,12.605073970824073,3.4207848015561395,ztfg,True,26.1369,98.9248495876327,26.8463812865255
58940.51283559995,20.579844386350764,nan,10.592999744264246,4.256888168731895,ztfr,False,26.0903,79.6414139371573,32.0045880217957
58941.4917708002,20.802546973832445,nan,9.804257566280054,3.4674579744325276,ztfg,False,26.2962,89.1034894316926,31.5131056983149
58944.46665510023,20.119906987902173,nan,11.202479574847109,6.502302958639612,ztfg,False,26.2704,99.4200920148252,57.7068276837312
58944.51160879992,20.87634075735149,0.35031991350061736,16.198085874566985,5.226593020589369,ztfr,True,26.2002,134.754630350875,43.4809159512998
58954.42702550022,20.441397306366614,nan,11.690346237002132,4.83583053402062,ztfg,False,26.2722,103.921970751757,42.9883793968636
58954.4912963002,20.66800451722375,0.23751471798563878,19.62448159358109,4.293177868024105,ztfr,True,26.2305,167.879703344472,36.7264441331629
58955.36489580013,19.921848387098272,nan,17.780831864745164,7.80352167175831,ztfi,False,25.5552,81.6642683174863,35.8402178520866
58955.451828700025,20.56924097417773,0.20940288562320067,21.493325229385842,4.145495371346906,ztfr,True,26.2164,181.494559173496,35.0055120344854
58955.46712959977,20.648460971442365,nan,11.649808973228595,3.996185200340734,ztfg,False,26.292,105.467537031903,36.178087689834
58956.470324099995,20.9429216994249,0.3076429584696748,15.234609273734655,4.316864942526732,ztfg,True,25.8621,92.8263598786171,26.3031923892682
58956.49008100014,20.50972323786691,0.31275658834568665,22.704435308578503,6.540445544281439,ztfr,True,25.7896,129.404895044393,37.2775476552602
58961.44854169991,20.632608910010827,0.31340636416411727,20.274793332195387,5.852675013744352,ztfr,True,26.1734,164.557028326098,47.5022749795837
58962.47300929995,20.676177934947358,0.20966022006804108,19.477303250182864,3.7612744641846825,ztfr,True,26.2213,165.214753223934,31.9047264616534
58962.4938194002,21.17101301644357,0.2903110479892234,12.34794804324219,3.3017829390716784,ztfg,True,26.2982,112.428079843584,30.0627371122842
58963.416828699876,20.8602138194739,nan,8.845055098132494,3.2880958414657186,ztfg,False,26.2523,77.2005763432779,28.6988482510057
58963.456770800054,21.08706658319516,0.21145927323971994,13.340538690219697,2.5983058082897874,ztfg,True,26.2752,118.919580007379,23.1616910401889
58964.394525500014,21.602991994215778,0.30529197428500915,8.294748112879889,2.332430715278581,ztfg,True,26.2555,72.6111311469612,20.417790902573
58964.430786999874,20.44978569751891,0.12557167492728993,23.99306447102528,2.7750292827347303,ztfr,True,26.209,201.22675370779,23.2738145926761
58965.42413190007,21.54037131174023,0.28753291649798635,8.787219506584163,2.327175879742231,ztfg,True,26.2808,78.7356605439852,20.8520715746592
58965.44729170017,20.879313702275365,0.18730436137484616,16.153793212043038,2.7868434386691034,ztfr,True,26.2267,137.70652500216,23.7570532584313
58966.445486099925,21.379089915202524,0.2550724605587452,10.194455487222983,2.395067555662308,ztfg,True,26.259,89.5290619020834,21.033801336355
58966.465451399796,20.32444570650778,0.11700444197356875,26.92909245627384,2.9021124027824996,ztfr,True,26.1866,221.239015591273,23.8426338417966
58967.388749999925,20.215550250515676,0.13123601740885663,29.770073013742003,3.5985132359716103,ztfr,True,26.2067,249.149431065537,30.116403309131
58967.450127299875,21.311972317658658,0.2506857846727002,10.844538450604079,2.503980501890901,ztfg,True,26.2939,98.3492546532534,22.708630445543
58968.42422450008,20.510829551851003,0.12686763245763194,22.68131234245641,2.650386292640241,ztfr,True,26.2617,199.686258284542,23.333999100012
58968.464861100074,21.3339711977171,0.24564647663690167,10.62702056264242,2.404430467312346,ztfg,True,26.3326,99.8737877378379,22.5970747593089
58970.37936339993,20.457885123921205,0.1330200858971795,23.814745813383123,2.9177853308609367,ztfr,True,26.2526,207.915061208215,25.4737766429346
58970.46700230008,21.40139259203052,0.20955172836636607,9.987181975514034,1.927633088770732,ztfg,True,26.3442,94.8687030076677,18.3106757696714
58971.39548610011,20.611569806004535,0.21626308904133018,20.671504085040507,4.1176046132092985,ztfr,True,26.2483,179.75959361564,35.806728378127
58971.45258100005,21.418938129995112,0.2772841581810541,9.827085802735743,2.509804931550676,ztfg,True,26.325,91.7117008970416,23.4228624653116
58972.41357639991,20.404551553044215,0.23789864675848052,25.013783049243703,5.4810215876626085,ztfr,True,26.0083,174.381086310551,38.2103937124011
58972.47105319984,21.09418586153296,0.18142164368075697,13.25334964101595,2.2146490523615032,ztfg,True,26.3368,125.039047112352,20.8941599441821
58973.36409719987,20.049448321000064,0.1627525671842447,34.691307746266034,5.200423132249674,ztfr,True,26.2407,299.571622504819,44.9074796151872
58973.45311339991,20.565889504444087,nan,10.0004082417686,4.311954742106506,ztfg,False,26.3393,94.5665900797152,40.7750210472363
58974.3608448999,20.68090967377266,0.30433593317661917,19.392604058224823,5.436000969682732,ztfr,True,26.2333,166.324463209252,46.6229259656332
58974.475613399874,20.46597931713915,nan,7.988539666519985,4.727573273843638,ztfg,False,26.3149,73.8630770665329,43.7117575477611
58975.264317099936,19.675085958939505,nan,6.40492976309914,9.794800891421056,ztfg,False,26.2479,55.676813483029,85.1443064179961
58976.36789349979,19.88299016530107,nan,21.860923476479233,8.08786567045964,ztfr,False,26.2176,184.802781684748,68.3713144781677
58976.464479200076,19.804066574707655,nan,16.487468466917857,8.697678807753272,ztfg,False,26.3258,153.983425951589,81.2312929259993
58977.38677080022,19.66561914605196,nan,18.443386683108386,9.88057768814002,ztfg,False,26.1769,150.176048139362,80.4530174437975
58977.46635420015,19.707522537221333,nan,21.327314755828986,9.506507185029308,ztfr,False,26.0219,150.555345021753,67.1090329739089
58978.43023149995,19.91155067260972,nan,3.7905416110323027,7.877886629948239,ztfg,False,26.1641,30.5029096611383,63.3942293350945
58978.475544000044,20.118999643078254,0.21700265238531868,32.53869587468476,6.503622833163692,ztfr,True,26.1136,249.942519174022,49.9568845948523
58979.2744907001,20.12888638341539,nan,9.319121661194243,6.448748536153303,ztfg,False,26.152,74.1608982615221,51.3186758893024
58979.342164400034,20.55519142724448,0.23445573067225037,21.773258519941628,4.7019114261846875,ztfr,True,26.173,176.653981058097,38.148234507818
58980.42263890011,20.3130668550796,nan,12.994043911168662,5.442560352561728,ztfg,False,26.3166,120.332885263558,50.4014758547863
58980.46694440022,20.668139298168253,0.2908986151692128,19.62204560407742,5.257461447004939,ztfr,True,26.2471,170.445005886637,45.6684315878521
58981.303611100186,20.534487962242657,nan,5.60745522461812,4.438485554536834,ztfg,False,26.2684,49.673620431718,39.3183071279434
58981.43587959977,20.858644735856334,0.24422143112239886,16.464255826119174,3.7035314729852793,ztfr,True,26.2452,142.76511702416,32.1141210223792
58983.38913189992,20.367859377777414,0.15211702893552684,25.87356360606029,3.6251355104801206,ztfr,True,26.1827,211.805019884495,29.6759236791559
58985.404027800076,20.348273050152933,0.11264254665865919,26.34454971458057,2.7332754632274185,ztfr,True,26.2337,226.032443493301,23.4511099406511
58985.449849499855,20.942151831462034,0.2095948499288442,15.245415578965744,2.9431340060570954,ztfg,True,26.3119,140.572143576619,27.1375125146149
58986.40209490014,21.46795512936939,0.266472634203541,9.393294708404136,2.305476637007122,ztfg,True,26.3197,87.2364428018799,21.4111860660988
58986.47086809995,20.518366821090044,0.12029446988878574,22.524402095290622,2.495681136239145,ztfr,True,26.2605,198.085767064621,21.9477041001677
58987.351793999784,20.44905212883777,0.11350551665547624,24.009280664018636,2.51007258570118,ztfr,True,26.2571,210.484029105982,22.005248661141
58987.434375000186,21.57478548556489,0.24784765554154733,8.513062184957287,1.943393666778176,ztfg,True,26.3301,79.8225882656484,18.2221989139718
58991.414467600174,21.404379701583053,0.26702521571722565,9.959742708304406,2.4495739570535586,ztfg,True,26.3235,92.8214010448133,22.829192813085
58991.449583299924,20.420857306088596,0.11709475806920071,24.640929011905516,2.6575698823334486,ztfr,True,26.2606,216.719044655198,23.3735507993817
58992.348506900016,21.324303433898837,nan,5.783524312730779,2.144413941790837,ztfg,False,26.2903,52.2772297515546,19.3833403744273
58992.4270601999,20.79353443526174,0.18085812044981772,17.48180315987119,2.912154427160346,ztfr,True,26.2342,150.06044358032,24.997374762644
58994.42304399982,21.482850893957746,0.2894052829943549,9.265303340226076,2.469768568855733,ztfg,True,26.3196,86.0398495721438,22.9348687613687
58995.34109950019,21.175319317760962,nan,6.906311239456912,2.4598139977204068,ztfg,False,26.2935,62.6103521325076,22.2998667795135
58995.44047449995,20.490922351731847,0.12815590098176002,23.101014850956773,2.7268410903724636,ztfr,True,26.2541,201.962649425756,23.8396475101972
58996.30180560006,20.906844513612366,0.20614226356866283,15.74933404605913,2.9903319240615605,ztfr,True,26.2248,134.023882444062,25.4471645015007
58996.32758100005,21.056092597722284,0.1958084888870187,13.726599450151738,2.475623741265169,ztfg,True,26.3015,125.361148104582,22.6091710191581
58997.41299769981,21.41225094602812,0.22424251218567812,9.887798820788095,2.042244494390815,ztfg,True,26.3213,91.9643745571843,18.9944942270311
58997.4543980998,20.399407223468327,0.13025395847255092,25.13258213958683,3.015214433377284,ztfr,True,26.2481,218.51291499064,26.2155035045656
58998.30836809985,20.348119596648758,0.12751119253828985,26.348273408376652,3.094501025722592,ztfr,True,26.2365,226.648141039526,26.6189322561817
58998.43572920002,21.572329604600938,0.2615783058331448,8.53234010023877,2.055701453636052,ztfg,True,26.3041,78.1102734436206,18.819151695262
58999.261713000014,20.416581963636887,nan,4.380359021607272,4.947629954472526,ztfg,False,26.2833,39.3395789590102,44.4341841145519
58999.32726849988,20.70614872939962,0.22885891546411427,18.947002317589362,3.993912131988173,ztfr,True,26.251,165.173552000612,34.8175738916971
