mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58901.62,20.185696433796046,nan,-12.0,6.12,o,False,23.9,-12.0,6.12
58903.57,20.249635456270624,nan,3.0,5.77,c,False,23.9,3.0,5.77
58905.63,20.490970050269638,nan,-2.33,4.62,o,False,23.9,-2.33,4.62
58911.54,20.249635456270624,nan,-5.0,5.77,c,False,23.9,-5.0,5.77
58913.61,20.5488897128997,nan,2.5,4.38,o,False,23.9,2.5,4.38
58917.5,18.927488460753658,nan,27.5,19.5,o,False,23.9,27.5,19.5
58925.64,20.253405377435875,nan,-3.5,5.75,o,False,23.9,-3.5,5.75
58931.59,20.405149978319905,nan,-8.67,5.0,c,False,23.9,-8.67,5.0
58933.49,19.84446494258426,nan,7.5,8.38,o,False,23.9,7.5,8.38
58945.59,18.762032153610612,nan,30.0,22.71,o,False,23.9,30.0,22.71
58947.55,19.41029995663981,nan,-10.25,12.5,o,False,23.9,-10.25,12.5
58948.53,19.72206789321229,nan,10.0,9.38,o,False,23.9,10.0,9.38
58951.49,18.707489183016623,nan,-9.5,23.88,o,False,23.9,-9.5,23.88
58957.47,20.1004300155607,nan,10.75,6.62,o,False,23.9,10.75,6.62
58959.48,20.519543704721592,nan,-4.75,4.5,c,False,23.9,-4.75,4.5
58961.58,20.505162882498865,nan,-41.6,4.56,o,False,23.9,-41.6,4.56
58963.51,16.410912013506124,nan,-22.0,198.0,c,False,23.9,-22.0,198.0
58965.5,20.0290264546677,nan,-28.2,7.07,o,False,23.9,-28.2,7.07
58967.52,20.647425010840045,nan,-5.5,4.0,c,False,23.9,-5.5,4.0
58969.5,20.490970050269638,nan,18.5,4.62,o,False,23.9,18.5,4.62
58971.6,20.431525434153176,nan,-2.0,4.88,c,False,23.9,-2.0,4.88
58973.46,20.2782342002373,nan,-5.25,5.62,o,False,23.9,-5.25,5.62
58974.44,19.752587893338912,nan,7.25,9.12,o,False,23.9,7.25,9.12
58975.46,19.561002750754547,nan,-6.75,10.88,o,False,23.9,-6.75,10.88
58976.47,19.249154983572513,nan,-24.5,14.5,o,False,23.9,-24.5,14.5
58977.6,19.741925913667828,nan,-7.6,9.21,o,False,23.9,-7.6,9.21
58979.57,19.65257498915995,nan,12.0,10.0,o,False,23.9,12.0,10.0
58981.45,19.832866463333183,nan,11.33,8.47,o,False,23.9,11.33,8.47
58983.49,20.229131673969604,nan,14.5,5.88,o,False,23.9,14.5,5.88
58985.47,19.92233848243375,0.1358516923076923,39.0,4.88,o,True,23.9,39.0,4.88
58987.53,20.11695599983015,0.12821917177914113,32.6,3.85,c,True,23.9,32.6,3.85
58989.45,19.249154983572513,0.0786196551724138,72.5,5.25,o,True,23.9,72.5,5.25
58991.56,19.235759850209824,0.09658884196185287,73.4,6.53,c,True,23.9,73.4,6.53
58993.5,19.5198788804514,0.12970752212389383,56.5,6.75,o,True,23.9,56.5,6.75
58995.51,19.002396519197266,0.06561923076923078,91.0,5.5,c,True,23.9,91.0,5.5
58997.42,18.23353888233284,nan,46.33,36.95,o,False,23.9,46.33,36.95
58999.45,18.808926835933313,0.051115255172413804,108.75,5.12,o,True,23.9,108.75,5.12
59001.5,19.347035293477887,0.09210013584905662,66.25,5.62,o,True,23.9,66.25,5.62
59002.45,19.554039691219607,0.14376849315068493,54.75,7.25,o,True,23.9,54.75,7.25
59003.52,19.249154983572513,0.1365735724137931,72.5,9.12,o,True,23.9,72.5,9.12
59004.38,19.674509799928714,0.21049285714285718,49.0,9.5,o,True,23.9,49.0,9.5
59005.42,18.702046884880936,nan,58.0,24.0,o,False,23.9,58.0,24.0
59006.46,19.20269066508108,0.22095652173913047,75.67,15.4,o,True,23.9,75.67,15.4
59007.41,19.47286997089464,0.24731877966101695,59.0,13.44,o,True,23.9,59.0,13.44
59009.48,19.596091704106296,0.13089415226884377,52.67,6.35,o,True,23.9,52.67,6.35
59013.45,19.719755355160704,0.09771300000000002,47.0,4.23,o,True,23.9,47.0,4.23
