mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58905.61,20.08576868873747,nan,12.4,6.71,o,False,23.9,12.4,6.71
58911.55,20.405149978319905,nan,-8.67,5.0,c,False,23.9,-8.67,5.0
58913.58,20.249635456270624,nan,-10.0,5.77,o,False,23.9,-10.0,5.77
58917.52,19.29660132386286,nan,-7.75,13.88,o,False,23.9,-7.75,13.88
58925.6,19.86144011778514,nan,-9.25,8.25,o,False,23.9,-9.25,8.25
58931.62,20.325619299993978,nan,-9.0,5.38,c,False,23.9,-9.0,5.38
58933.5,20.301668265424343,nan,-10.75,5.5,o,False,23.9,-10.75,5.5
58937.6,20.364656594538808,nan,5.0,5.19,o,False,23.9,5.0,5.19
58941.56,19.54909327626439,nan,19.0,11.0,o,False,23.9,19.0,11.0
58945.48,17.530101973532034,nan,19.33,70.63,o,False,23.9,19.33,70.63
58947.59,19.159373593845903,nan,36.0,15.75,o,False,23.9,36.0,15.75
58948.48,19.465533887547014,nan,7.5,11.88,o,False,23.9,7.5,11.88
58951.54,18.346790501268284,nan,1.67,33.29,o,False,23.9,1.67,33.29
58953.55,16.810773571268935,nan,-71.0,137.0,o,False,23.9,-71.0,137.0
58957.54,20.35217673064506,nan,-18.5,5.25,o,False,23.9,-18.5,5.25
58959.6,20.460840965097784,nan,-9.5,4.75,c,False,23.9,-9.5,4.75
58961.52,20.113630618349283,nan,5.0,6.54,o,False,23.9,5.0,6.54
58963.5,17.33543321678572,nan,3.5,84.5,c,False,23.9,3.5,84.5
58965.47,20.080925247821654,nan,-3.0,6.74,o,False,23.9,-3.0,6.74
58967.47,20.490970050269638,nan,4.0,4.62,c,False,23.9,4.0,4.62
58969.46,20.35217673064506,nan,-0.75,5.25,o,False,23.9,-0.75,5.25
58971.54,20.519543704721592,nan,1.75,4.5,c,False,23.9,1.75,4.5
58973.43,19.947687560810948,nan,-5.25,7.62,o,False,23.9,-5.25,7.62
58975.41,19.32915599985249,nan,-13.0,13.47,o,False,23.9,-13.0,13.47
58977.5,19.39992660188966,nan,-13.0,12.62,o,False,23.9,-13.0,12.62
58979.49,19.518918476846313,nan,-13.0,11.31,o,False,23.9,-13.0,11.31
58981.52,19.27645146550775,nan,-2.0,14.14,o,False,23.9,-2.0,14.14
58983.41,20.755803562827037,nan,-4.75,3.62,c,False,23.9,-4.75,3.62
58985.48,20.431525434153176,nan,2.75,4.88,o,False,23.9,2.75,4.88
58987.47,20.581602664034172,nan,-8.75,4.25,c,False,23.9,-8.75,4.25
58989.37,20.581602664034172,nan,-1.25,4.25,o,False,23.9,-1.25,4.25
58993.45,19.65976460001194,0.1934456412321321,49.67,8.85,o,True,23.9,49.67,8.85
58995.46,18.864433926526925,0.06472381689731928,103.33,6.16,c,True,23.9,103.33,6.16
58997.36,16.04637556649883,nan,420.0,277.0,o,False,23.9,420.0,277.0
58999.38,17.35618866278427,0.018335102533172498,414.5,7.0,o,True,23.9,414.5,7.0
59001.42,17.109469777790835,0.014858594906295052,520.25,7.12,o,True,23.9,520.25,7.12
59002.38,17.002247490332337,0.018433739660426645,574.25,9.75,o,True,23.9,574.25,9.75
59003.43,16.899496522183206,0.0212926194059406,631.25,12.38,o,True,23.9,631.25,12.38
59005.38,16.850317945123635,0.01745667524602574,660.5,10.62,o,True,23.9,660.5,10.62
59007.44,16.81514113914516,0.020496615610113598,682.25,12.88,o,True,23.9,682.25,12.88
59009.42,16.810773571268935,0.013472189781021899,685.0,8.5,o,True,23.9,685.0,8.5
59013.42,16.893065686770058,0.011318636220472442,635.0,6.62,o,True,23.9,635.0,6.62
59017.4,17.145540541098267,0.014022950819672132,503.25,6.5,o,True,23.9,503.25,6.5
59021.38,17.414018624061434,0.014144488549618323,393.0,5.12,o,True,23.9,393.0,5.12
59025.38,17.48981505255713,0.016292905866302866,366.5,5.5,o,True,23.9,366.5,5.5
59027.36,17.45483529040977,0.016866356671070015,378.5,5.88,o,True,23.9,378.5,5.88
59029.38,17.453401975079817,0.031396496042216365,379.0,10.96,o,True,23.9,379.0,10.96
59031.36,17.53982988912431,0.025591500000000003,350.0,8.25,o,True,23.9,350.0,8.25
59033.38,17.53441473473304,0.025865432835820903,351.75,8.38,o,True,23.9,351.75,8.38
59035.38,17.622532194831095,0.043818989917676444,324.33,13.09,o,True,23.9,324.33,13.09
59037.35,17.64564067593001,0.03265648818897638,317.5,9.55,o,True,23.9,317.5,9.55
59039.35,17.921559402075875,0.024249137055837568,246.25,5.5,o,True,23.9,246.25,5.5
59040.36,18.511659906337343,0.030369230769230773,143.0,4.0,c,True,23.9,143.0,4.0
59041.35,17.897921377209435,0.02489167958040291,251.67,5.77,o,True,23.9,251.67,5.77
59043.37,18.68632757528332,0.04351717453798768,121.75,4.88,c,True,23.9,121.75,4.88
59045.35,18.066381813758124,0.16741443619489557,215.5,33.23,o,True,23.9,215.5,33.23
59047.36,19.014393726401686,0.13643630000000004,90.0,11.31,c,True,23.9,90.0,11.31
59051.36,19.067928082747883,0.068307727325785,85.67,5.39,c,True,23.9,85.67,5.39
59053.3,18.399926833615574,0.03082429022082019,158.5,4.5,o,True,23.9,158.5,4.5
59055.31,18.52441410260526,0.048780832095096587,141.33,6.35,o,True,23.9,141.33,6.35
59059.38,18.930275975005635,0.08373007712082263,97.25,7.5,o,True,23.9,97.25,7.5
59061.31,18.93677070351778,0.08434475018102824,96.67,7.51,o,True,23.9,96.67,7.51
59063.31,16.749154983572517,nan,132.0,145.0,o,False,23.9,132.0,145.0
59065.36,19.205132620927028,0.145526940397351,75.5,10.12,o,True,23.9,75.5,10.12
59069.29,19.18025377975782,0.06858532038834951,77.25,4.88,o,True,23.9,77.25,4.88
