mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58901.61,20.120291597552814,nan,21.5,6.5,o,False,23.9,21.5,6.5
58903.66,19.752587893338912,nan,-20.25,9.12,c,False,23.9,-20.25,9.12
58905.65,20.589293861755767,nan,-19.17,4.22,o,False,23.9,-19.17,4.22
58911.61,19.333193699577517,nan,13.2,13.42,c,False,23.9,13.2,13.42
58913.64,20.581602664034172,nan,13.75,4.25,o,False,23.9,13.75,4.25
58917.58,19.61103612026701,nan,22.67,10.39,o,False,23.9,22.67,10.39
58933.59,20.519543704721592,nan,8.75,4.5,o,False,23.9,8.75,4.5
58947.61,19.432234767408573,nan,27.5,12.25,o,False,23.9,27.5,12.25
58948.56,19.68006344991361,nan,-2.75,9.75,o,False,23.9,-2.75,9.75
58951.59,19.36771660839286,nan,14.5,13.0,o,False,23.9,14.5,13.0
58953.57,17.620291597552814,nan,18.0,65.0,o,False,23.9,18.0,65.0
58957.57,20.285989491816004,nan,13.0,5.58,o,False,23.9,13.0,5.58
58959.59,20.490970050269638,nan,-14.75,4.62,c,False,23.9,-14.75,4.62
58961.55,20.2782342002373,nan,0.5,5.62,o,False,23.9,0.5,5.62
58965.48,20.02137500506781,nan,-7.67,7.12,o,False,23.9,-7.67,7.12
58967.52,20.490970050269638,nan,-11.0,4.62,c,False,23.9,-11.0,4.62
58969.55,20.113630618349283,nan,-2.0,6.54,o,False,23.9,-2.0,6.54
58971.58,20.505162882498865,nan,-2.0,4.56,c,False,23.9,-2.0,4.56
58973.46,nan,nan,0.0,7.7,o,False,23.9,0.0,7.7
58975.44,19.6396237079005,nan,35.75,10.12,o,False,23.9,35.75,10.12
58977.58,19.72206789321229,nan,23.25,9.38,o,False,23.9,23.25,9.38
58979.53,19.76696871556164,nan,2.25,9.0,o,False,23.9,2.25,9.0
58981.49,19.79755485660417,nan,3.0,8.75,o,False,23.9,3.0,8.75
58983.48,20.07931555708239,nan,-21.5,6.75,o,False,23.9,-21.5,6.75
58985.52,20.5488897128997,nan,24.0,4.38,o,False,23.9,24.0,4.38
58987.5,20.615331949077117,nan,-16.25,4.12,c,False,23.9,-16.25,4.12
58989.38,20.490970050269638,nan,11.75,4.62,o,False,23.9,11.75,4.62
58991.58,20.323603076193105,nan,23.67,5.39,c,False,23.9,23.67,5.39
58993.49,19.33643470558044,nan,48.0,13.38,o,False,23.9,48.0,13.38
58995.49,19.032641823255435,0.05827203389830509,88.5,4.75,c,True,23.9,88.5,4.75
58999.43,17.542936432602048,0.02336277077363897,349.0,7.51,o,True,23.9,349.0,7.51
59000.47,17.495756168365013,0.02844563786008231,364.5,9.55,o,True,23.9,364.5,9.55
59001.49,17.438606598685812,0.018198615304528896,384.2,6.44,o,True,23.9,384.2,6.44
59003.45,17.381362441963326,0.02514534814814815,405.0,9.38,o,True,23.9,405.0,9.38
59005.39,17.32775108894848,0.02903705287896593,425.5,11.38,o,True,23.9,425.5,11.38
59007.45,17.351405733742528,0.030119940912257108,416.33,11.55,o,True,23.9,416.33,11.55
59009.45,17.3930329349228,0.024522886664836402,400.67,9.05,o,True,23.9,400.67,9.05
