mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58959.62,19.326740567922435,nan,-6.75,13.5,c,False,23.9,-6.75,13.5
58973.61,19.808780259116585,nan,1.0,8.66,o,False,23.9,1.0,8.66
58975.61,19.185184150496422,nan,24.75,15.38,o,False,23.9,24.75,15.38
58989.6,20.1004300155607,nan,-22.0,6.62,o,False,23.9,-22.0,6.62
58999.6,20.379400086720374,nan,-5.25,5.12,c,False,23.9,-5.25,5.12
59001.61,20.113630618349283,nan,12.67,6.54,o,False,23.9,12.67,6.54
59003.6,20.207196863200842,nan,1.5,6.0,o,False,23.9,1.5,6.0
59005.56,19.426048219588935,nan,24.33,12.32,o,False,23.9,24.33,12.32
59007.56,19.86144011778514,nan,-13.25,8.25,o,False,23.9,-13.25,8.25
59009.6,18.197700843226656,nan,54.4,38.19,o,False,23.9,54.4,38.19
59013.6,19.69689690656103,0.17846193750000003,48.0,7.89,o,True,23.9,48.0,7.89
59017.59,19.21713462167936,0.07022808356769789,74.67,4.83,o,True,23.9,74.67,4.83
59021.55,18.999417817178717,0.055683024657534254,91.25,4.68,o,True,23.9,91.25,4.68
59023.55,17.496799214274276,nan,117.5,72.83,c,False,23.9,117.5,72.83
59025.57,18.76012148667712,0.051350030769230774,113.75,5.38,o,True,23.9,113.75,5.38
59027.56,19.620481927397023,0.0761044077669903,51.5,3.61,c,True,23.9,51.5,3.61
59029.56,18.96142047872684,0.07031200000000001,94.5,6.12,o,True,23.9,94.5,6.12
59031.55,19.944841592720728,0.12192808900523561,38.2,4.29,c,True,23.9,38.2,4.29
59033.56,19.22399023680243,0.10213188679245284,74.2,6.98,o,True,23.9,74.2,6.98
59035.54,19.094484306402457,0.18350407894736848,83.6,14.13,o,True,23.9,83.6,14.13
59036.5,18.826540555786973,0.30440186915887857,107.0,30.0,o,True,23.9,107.0,30.0
59037.53,18.79326595455339,0.10411226321036891,110.33,10.58,o,True,23.9,110.33,10.58
59039.55,18.941498154548654,0.0972336,96.25,8.62,o,True,23.9,96.25,8.62
59041.54,19.135510299080327,0.09602713043478263,80.5,7.12,o,True,23.9,80.5,7.12
59043.59,18.919168602381337,0.07182748091603054,98.25,6.5,o,True,23.9,98.25,6.5
59045.52,16.106821760860587,nan,141.0,262.0,o,False,23.9,141.0,262.0
59047.57,20.405149978319905,0.28749336000000003,25.0,6.62,c,True,23.9,25.0,6.62
59051.5,20.189250401633032,0.18225521311475412,30.5,5.12,c,True,23.9,30.5,5.12
59053.52,19.275683889509178,0.06521872791519435,70.75,4.25,o,True,23.9,70.75,4.25
59059.58,20.434644727672953,0.20616251541307032,24.33,4.62,c,True,23.9,24.33,4.62
59061.48,19.183773187068795,0.09771300000000001,77.0,6.93,o,True,23.9,77.0,6.93
59063.49,17.015180999128937,nan,90.0,113.49,o,False,23.9,90.0,113.49
59064.45,19.208733739335294,0.12985116279069767,75.25,9.0,o,True,23.9,75.25,9.0
59065.54,19.401648626366043,0.2984813333333334,63.0,17.32,o,True,23.9,63.0,17.32
59069.44,19.256668758921826,0.1652676666666667,72.0,10.96,o,True,23.9,72.0,10.96
59071.48,19.803776857613407,0.1747103448275862,43.5,7.0,o,True,23.9,43.5,7.0
59073.51,20.120291597552814,0.1753823076923077,32.5,5.25,o,True,23.9,32.5,5.25
59075.51,19.56400064369858,0.10246606451612905,54.25,5.12,o,True,23.9,54.25,5.12
59077.5,19.88808528824028,0.11814573913043479,40.25,4.38,o,True,23.9,40.25,4.38
59079.46,20.629656553404903,0.2878466797835711,20.33,5.39,c,True,23.9,20.33,5.39
59083.45,20.490970050269638,nan,6.67,4.62,c,False,23.9,6.67,4.62
59085.51,20.2782342002373,nan,-5.75,5.62,o,False,23.9,-5.75,5.62
59087.5,20.519543704721592,0.21714,22.5,4.5,c,True,23.9,22.5,4.5
59089.46,19.86804035820066,0.13558009756097564,41.0,5.12,o,True,23.9,41.0,5.12
59092.39,19.752587893338912,nan,6.5,9.12,o,False,23.9,6.5,9.12
59097.5,18.641345944763238,nan,-24.5,25.38,o,False,23.9,-24.5,25.38
