mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
59003.6,19.9927815467653,nan,-15.67,7.31,o,False,23.9,-15.67,7.31
59005.57,19.27645146550775,nan,1.5,14.14,o,False,23.9,1.5,14.14
59007.58,19.70826597593783,nan,-6.5,9.5,o,False,23.9,-6.5,9.5
59009.6,19.108865128625187,nan,29.75,16.5,o,False,23.9,29.75,16.5
59013.59,20.354246771700634,nan,12.5,5.24,o,False,23.9,12.5,5.24
59017.58,20.285989491816004,nan,-5.67,5.58,o,False,23.9,-5.67,5.58
59021.54,20.325619299993978,nan,0.25,5.38,o,False,23.9,0.25,5.38
59023.53,17.88364954891511,nan,-2.0,51.0,c,False,23.9,-2.0,51.0
59025.58,20.21263916133653,nan,14.67,5.97,o,False,23.9,14.67,5.97
59027.55,20.680495675174434,nan,4.25,3.88,c,False,23.9,4.25,3.88
59029.56,20.92417075457427,0.3418203870967742,15.5,4.88,o,True,23.9,15.5,4.88
59031.55,20.581602664034172,nan,5.0,4.25,c,False,23.9,5.0,4.25
59033.55,19.9098824811364,nan,0.33,7.89,o,False,23.9,0.33,7.89
59035.57,19.65257498915995,nan,1.5,10.0,o,False,23.9,1.5,10.0
59037.53,20.03982988912431,nan,-0.25,7.0,o,False,23.9,-0.25,7.0
59039.51,19.78154257471345,nan,-1.5,8.88,o,False,23.9,-1.5,8.88
59041.57,20.301668265424343,nan,7.25,5.5,o,False,23.9,7.25,5.5
59043.58,20.2782342002373,nan,11.75,5.62,o,False,23.9,11.75,5.62
59047.52,20.405149978319905,nan,1.25,5.0,c,False,23.9,1.25,5.0
59051.49,20.615331949077117,nan,5.75,4.12,c,False,23.9,5.75,4.12
59053.52,20.405149978319905,nan,6.25,5.0,o,False,23.9,6.25,5.0
59059.58,20.717496819840655,nan,3.5,3.75,c,False,23.9,3.5,3.75
59061.48,20.35217673064506,nan,2.5,5.25,o,False,23.9,2.5,5.25
59065.54,19.65257498915995,nan,-8.25,10.0,o,False,23.9,-8.25,10.0
59069.5,19.287254899964356,nan,16.0,14.0,o,False,23.9,16.0,14.0
59071.46,20.35217673064506,nan,-3.5,5.25,o,False,23.9,-3.5,5.25
59073.52,20.323603076193105,nan,15.33,5.39,o,False,23.9,15.33,5.39
59075.51,20.0290264546677,nan,12.0,7.07,o,False,23.9,12.0,7.07
59077.58,20.2346853239545,0.1625766153846154,29.25,4.38,o,True,23.9,29.25,4.38
59079.41,19.68006344991361,0.10289095384615386,48.75,4.62,c,True,23.9,48.75,4.62
59083.43,18.905442298135686,0.049102010050251256,99.5,4.5,c,True,23.9,99.5,4.5
59085.41,18.615141619232908,0.05528718461538462,130.0,6.62,o,True,23.9,130.0,6.62
59087.52,18.538564480975957,0.04373931182795699,139.5,5.62,c,True,23.9,139.5,5.62
59089.46,18.438271422956,0.03959611764705883,153.0,5.58,o,True,23.9,153.0,5.58
59093.37,18.339314964264354,0.06607482100238664,167.6,10.2,o,True,23.9,167.6,10.2
59097.5,18.886512420283232,0.2734355555555556,101.25,25.5,o,True,23.9,101.25,25.5
59101.45,18.882017941107396,0.05958695780466215,101.67,5.58,o,True,23.9,101.67,5.58
59103.48,18.816440611282623,0.08172908333333335,108.0,8.13,o,True,23.9,108.0,8.13
59105.44,19.23798092743463,0.10197427986348123,73.25,6.88,o,True,23.9,73.25,6.88
59107.44,19.97949568983251,0.1763528918918919,37.0,6.01,c,True,23.9,37.0,6.01
59109.36,19.419020776254364,0.0788008064516129,62.0,4.5,o,True,23.9,62.0,4.5
59111.49,20.18038719972141,0.24291434146341465,30.75,6.88,c,True,23.9,30.75,6.88
59113.42,19.32915599985249,nan,40.0,13.47,o,False,23.9,40.0,13.47
59115.48,20.396498648046137,0.19258250000000002,25.2,4.47,c,True,23.9,25.2,4.47
59117.37,20.14564067593001,0.19662283464566932,31.75,5.75,o,True,23.9,31.75,5.75
59119.42,20.19174511910458,0.2137148537627342,30.43,5.99,o,True,23.9,30.43,5.99
59121.4,20.207196863200842,0.26237750000000004,30.0,7.25,o,True,23.9,30.0,7.25
59125.41,20.28210492164445,0.32493450000000007,28.0,8.38,o,True,23.9,28.0,8.38
59129.42,20.262887849978725,0.2190447368421053,28.5,5.75,o,True,23.9,28.5,5.75
59131.43,20.60745474737972,0.3599814939759036,20.75,6.88,o,True,23.9,20.75,6.88
59133.39,20.323603076193105,nan,13.0,5.39,o,False,23.9,13.0,5.39
59135.43,20.83996297156784,0.35649850746268663,16.75,5.5,c,True,23.9,16.75,5.5
59137.37,20.761818737241732,0.36009050000000004,18.0,5.97,o,True,23.9,18.0,5.97
59139.37,20.680495675174434,nan,9.25,3.88,c,False,23.9,9.25,3.88
59141.36,19.894850021680092,nan,9.0,8.0,o,False,23.9,9.0,8.0
59143.34,20.02137500506781,nan,8.67,7.12,c,False,23.9,8.67,7.12
59145.37,20.581602664034172,0.2360439529411765,21.25,4.62,o,True,23.9,21.25,4.62
59147.37,20.058603893571174,nan,17.25,6.88,o,False,23.9,17.25,6.88
59153.37,19.72206789321229,nan,-9.0,9.38,o,False,23.9,-9.0,9.38
59155.39,18.323877696554312,nan,3.0,34.0,o,False,23.9,3.0,34.0
59157.33,18.790121454341808,nan,-4.0,22.13,o,False,23.9,-4.0,22.13
59159.3,18.021959136651645,nan,30.5,44.9,c,False,23.9,30.5,44.9
59161.36,20.285989491816004,nan,10.33,5.58,o,False,23.9,10.33,5.58
59163.37,20.405149978319905,nan,8.75,5.0,c,False,23.9,8.75,5.0
