# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58900.44,-0.50,6.00,o,4
58901.47,-7.50,6.25,o,4
58902.60,-1.75,4.38,c,4
58904.62,5.50,5.75,o,4
58906.58,6.00,12.00,o,1
58912.64,7.67,5.20,o,3
58913.47,-12.67,6.35,o,3
58917.43,-11.33,17.71,o,3
58924.63,-12.33,10.58,o,3
58931.47,-5.33,5.58,c,3
58936.54,52.00,56.00,o,1
58942.52,8.00,12.25,o,4
58950.52,138.50,84.15,o,2
58951.43,-8.50,8.50,o,4
58952.52,-2.67,6.93,o,3
58953.48,-5.25,6.12,o,4
58956.46,1.00,5.39,o,3
58957.49,8.75,5.38,o,4
58958.48,-0.50,4.12,c,4
58959.47,-7.67,5.39,c,3
58960.50,0.50,8.13,o,2
58962.50,-55.00,26.00,c,1
58964.40,16.50,12.12,o,4
58966.48,11.50,5.12,c,4
58968.49,25.67,5.77,o,3
58969.45,30.17,4.76,o,6
58971.47,36.25,7.25,o,4
58971.63,-29.00,48.00,c,1
58972.37,28.50,10.25,o,2
58973.39,47.75,9.62,o,4
58977.47,124.50,14.50,o,4
58978.53,83.50,28.75,o,4
58980.42,104.00,13.00,o,1
58981.43,80.75,7.25,o,4
58982.45,89.50,7.12,o,4
58983.39,88.75,5.12,c,4
58984.45,96.75,5.62,o,4
58986.44,79.50,4.75,c,4
58988.42,87.50,4.62,o,4
58990.39,58.50,4.12,c,4
58992.40,59.25,5.38,o,4
58994.40,30.25,4.50,c,4
58995.43,34.00,4.50,c,4
58999.40,45.25,6.12,o,4
59000.38,46.75,6.75,o,4
59006.38,38.00,11.74,o,3
59007.36,34.50,8.12,o,4
59008.39,46.75,10.88,o,4
59010.41,41.50,9.90,o,2
59013.36,39.75,4.50,o,4
59016.37,29.00,13.28,o,3
59020.35,25.67,5.00,o,3
59022.34,22.75,4.12,c,4
59025.33,16.75,4.75,o,4
59026.38,16.25,4.38,c,4
59032.36,15.25,9.00,o,4
59034.37,43.00,13.66,o,3
59036.33,26.00,9.55,o,2
59038.31,16.00,4.62,o,4
59040.35,19.50,4.62,o,4
59044.33,19.75,5.00,o,4
59048.30,11.50,5.75,o,4
59050.30,19.50,5.12,c,4
59052.29,16.00,5.39,o,3
59054.29,10.25,5.88,c,4
59058.27,8.50,7.75,o,4
59060.26,27.00,13.08,o,2
59062.27,16.00,9.05,o,3
59064.30,13.00,22.00,o,1
59068.26,5.00,5.00,o,4
59070.26,1.25,8.25,c,4
59074.31,5.25,5.12,c,4
59076.27,2.33,8.08,o,3
59078.25,3.50,7.88,c,4
59080.25,9.25,5.75,o,4
59089.25,-0.75,7.25,o,4
59090.26,4.25,8.75,o,4
59097.24,3.75,6.38,o,4
59098.25,15.33,8.85,o,3
