# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58824.66,16.75,7.88,o,4
58826.63,1.75,7.25,o,4
58828.63,21.00,11.12,o,4
58829.56,2.33,17.90,o,3
58844.67,-13.75,10.12,o,4
58846.56,2.67,7.51,c,3
58850.65,-1.67,8.28,o,3
58852.58,-1.00,9.43,o,3
58866.63,-8.00,6.75,o,4
58868.57,5.00,6.38,o,4
58872.64,10.50,9.55,o,2
58874.59,5.33,5.97,c,3
58876.60,7.50,6.62,o,4
58878.55,4.50,14.14,c,2
58880.58,11.50,9.90,o,2
58882.54,-3.50,5.25,c,4
58884.56,2.50,7.12,o,4
58888.56,-10.00,22.63,o,2
58900.45,-1.25,6.50,o,4
58902.44,4.00,5.88,c,4
58904.54,12.33,7.70,o,3
58912.52,4.00,5.12,o,4
58920.59,-1.00,103.00,o,1
58924.51,-4.00,8.66,o,3
58930.50,12.33,6.74,c,3
58934.44,11.00,90.00,c,1
58936.48,15.00,7.62,o,4
58942.44,11.00,166.88,o,2
58948.40,-15.75,14.88,o,4
58949.44,-9.00,9.75,o,4
58950.46,-17.50,25.50,o,4
58952.44,2.00,7.00,o,4
58956.38,11.25,6.88,o,4
58958.39,6.50,5.62,c,4
58960.42,8.00,6.75,o,4
58962.42,-12.50,19.45,c,2
58964.37,-8.33,12.12,o,3
58966.39,12.00,5.50,c,4
58968.39,-3.50,5.12,o,4
58970.39,-3.75,8.88,o,4
58976.44,3447.00,21.12,o,4
58978.46,5101.50,17.38,o,4
58980.36,5683.33,39.26,o,3
58982.37,5703.33,15.20,c,3
58984.40,5394.00,11.29,o,6
58986.37,5103.25,12.25,c,4
58988.36,5374.00,16.17,o,3
58990.33,4995.75,12.25,c,4
58992.35,5356.25,13.00,o,4
58994.35,4580.25,12.00,c,4
58996.35,5239.50,24.40,o,2
58998.31,5287.00,14.25,o,4
59004.33,4973.50,15.50,o,4
59005.35,5099.50,19.12,o,4
59006.30,5041.25,15.25,o,4
59008.34,4964.33,84.87,o,3
59010.32,5041.25,13.38,o,4
59016.30,4783.25,14.75,o,4
59020.29,4582.75,15.88,o,4
59022.28,3133.75,10.62,c,4
59024.27,4337.75,12.75,o,4
59026.27,4345.67,16.74,o,3
59030.26,4102.00,21.55,o,3
59032.30,3647.40,13.42,o,5
59034.30,3418.50,19.75,o,4
59036.26,3062.67,16.17,o,3
59040.29,1874.25,10.75,o,4
59042.29,726.33,10.01,c,3
59044.26,1021.75,8.62,o,4
59064.25,780.50,20.00,o,4
59181.59,194.25,15.88,o,4
59183.66,154.00,106.00,o,1
59185.65,192.67,11.93,o,3
59189.63,184.00,14.85,o,2
59190.60,188.75,10.12,o,4
59196.59,103.60,9.48,c,5
59198.62,97.00,8.88,c,4
59204.63,88.25,6.00,c,4
59206.61,91.25,5.88,c,4
59208.63,78.67,6.54,c,3
59216.58,130.25,13.50,o,4
59220.60,118.50,9.25,o,4
59222.65,114.25,6.50,o,4
59224.59,76.00,8.13,c,2
59226.59,75.50,7.78,c,2
59228.55,68.33,6.35,c,3
59230.51,61.50,5.38,c,4
59232.53,55.40,5.46,c,5
59234.56,71.00,6.16,c,3
59248.61,78.50,11.00,o,4
59252.59,68.25,7.00,o,4
59256.49,47.75,5.75,c,4
59258.49,55.00,7.25,c,4
59260.44,52.67,6.93,c,3
59262.58,54.75,6.12,c,4
59264.51,-27.00,130.00,c,1
59268.47,55.00,10.39,o,3
59270.49,52.00,19.45,o,2
59276.52,50.50,11.67,o,2
59278.60,49.50,26.50,o,4
59280.51,53.25,5.75,o,4
59284.57,42.00,9.05,o,3
59288.44,43.25,5.12,o,4
59292.49,43.75,5.25,o,4
59296.59,48.50,6.75,o,4
59297.41,38.50,9.38,o,4
59304.40,28.50,20.86,o,2
59306.40,35.00,7.38,o,4
59308.44,19.00,5.20,c,3
59312.45,27.25,4.50,c,4
59322.45,37.25,7.25,o,4
59324.43,37.67,6.93,o,3
59326.32,48.67,11.55,o,3
59332.43,23.75,9.12,o,4
59334.39,37.00,8.12,o,4
59336.42,35.75,8.00,o,4
59338.47,34.50,8.12,c,4
59339.50,-15.00,22.00,c,1
59342.37,22.00,17.50,c,4
59344.36,12.00,8.00,o,1
59346.36,11.00,6.93,c,3
59348.35,17.33,5.77,o,3
59352.34,8.75,7.50,o,4
59354.42,-0.50,16.97,o,2
59360.40,18.75,15.62,o,4
59362.38,15.00,9.88,o,4
59364.32,8.67,5.97,o,3
59366.36,10.25,5.00,o,4
59368.35,12.25,4.75,c,4
59370.33,13.75,6.62,o,4
59372.31,18.50,4.38,c,4
59374.30,9.75,7.25,o,4
59376.32,23.67,6.54,c,3
59378.35,18.25,7.25,o,4
59380.28,23.50,4.75,c,4
59382.28,10.00,9.38,o,4
59386.33,22.50,63.29,o,2
59388.28,14.75,8.49,o,8
59390.27,9.00,45.25,o,2
59392.32,7.67,7.12,o,3
59394.34,18.00,8.84,c,2
59396.31,20.75,5.88,o,4
59400.27,23.50,5.25,o,4
59402.29,24.75,6.62,c,4
59404.26,14.50,7.00,o,4
59416.26,-1.00,123.00,o,1
59418.27,-2.33,17.71,o,3
59424.26,19.00,8.66,c,3
59426.26,3.00,16.75,o,4
59428.25,29.00,14.85,c,2
