# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58900.41,-2.50,5.62,o,4
58902.41,13.75,4.88,c,4
58903.41,-3.75,6.38,o,4
58904.43,1.00,7.70,o,3
58911.45,4.00,8.28,o,3
58917.47,-8.00,50.00,o,1
58918.44,-3.75,17.75,o,4
58919.38,1.00,12.50,o,4
58920.47,-13.00,9.00,o,4
58924.45,7.33,6.74,o,3
58929.35,6.67,5.39,c,3
58930.38,8.67,5.77,c,3
58932.35,-5.00,11.67,o,2
58934.35,-0.33,11.93,c,3
58936.39,-2.25,6.00,o,4
58942.36,-9.00,29.34,o,2
58944.39,-1.00,61.00,o,1
58947.41,-8.67,20.59,o,3
58949.38,-21.86,9.34,o,7
58951.37,-12.00,5.75,o,4
58955.40,1.00,9.12,o,4
58957.37,34.00,28.48,c,3
58959.26,3.75,6.62,o,4
58960.33,2.25,5.88,o,4
58961.31,25.00,6.75,c,4
58962.33,18.00,17.71,c,3
58964.30,-18.50,12.88,o,4
58966.29,-2.50,6.62,o,4
58970.32,9.00,10.12,o,4
58971.30,3.67,12.12,o,3
58974.28,-15.00,12.50,o,4
58975.29,63.00,11.75,o,4
58976.30,220.75,12.75,o,4
58979.32,1290.75,9.25,o,4
58982.28,3897.75,12.12,c,4
58983.26,4513.00,15.40,o,3
58984.28,5536.17,12.11,o,6
58986.29,8041.75,15.25,c,4
58988.27,8396.50,24.04,o,2
58990.26,10883.00,17.38,c,4
58992.24,9354.00,41.00,o,1
58994.27,9627.25,17.88,o,4
58997.26,9242.00,44.88,o,4
59000.28,7647.75,17.25,o,4
59005.26,5484.25,26.12,o,4
59010.26,5290.00,16.75,o,4
59126.62,176.67,19.44,o,3
59132.63,132.14,15.60,o,7
59140.63,99.25,9.88,o,4
59142.61,195.50,7.00,c,4
59144.61,109.00,9.43,o,3
59147.62,74.67,7.12,o,3
59148.59,81.00,110.00,o,1
