# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58901.52,-6.00,7.42,o,2
58903.64,5.75,4.12,c,4
58905.62,-11.00,6.01,o,2
58911.54,0.00,6.72,c,2
58913.51,-10.50,7.78,o,2
58921.60,26.00,109.60,o,2
58925.55,-21.00,5.50,o,4
58931.59,-12.00,8.00,c,1
58933.57,-9.75,5.12,o,4
58937.49,-2.33,5.58,o,3
58943.42,2.50,9.12,o,4
58948.43,24.50,10.62,o,4
58951.45,-31.50,10.75,o,4
58953.54,-102.00,1240.00,o,1
58957.43,18.00,6.25,o,4
58959.41,-3.50,4.75,c,4
58961.42,17.75,5.50,o,4
58965.43,29.75,5.88,o,4
58967.41,3.00,4.43,c,3
58968.40,-17.75,5.00,o,4
58969.40,18.25,5.00,o,4
58971.39,4.00,7.89,o,3
58975.39,58.50,12.25,o,4
58977.44,191.50,8.50,o,4
58979.43,490.50,8.75,o,4
58981.39,911.25,7.00,o,4
58983.35,1414.67,8.28,c,3
58985.40,1800.00,8.50,o,4
58987.43,1911.57,6.86,c,7
58989.33,2198.75,8.50,o,4
58993.39,2212.50,9.25,o,4
58995.40,2520.67,10.39,c,3
58997.34,1969.75,9.25,o,4
58999.32,1763.50,9.50,o,4
59001.38,1477.25,10.25,o,4
59003.39,1327.25,11.62,o,4
59005.32,1172.75,9.88,o,4
59007.32,1201.50,9.62,o,4
59009.35,1176.75,14.38,o,4
59013.34,1157.00,7.12,o,4
59017.33,1059.00,7.50,o,4
59019.32,527.00,37.48,c,2
59021.29,841.25,7.00,o,4
59023.28,456.75,6.00,c,4
59025.29,636.25,6.38,o,4
59027.30,556.67,7.89,o,3
59029.31,540.00,16.17,o,3
59031.28,496.75,8.75,o,4
59033.33,445.50,8.62,o,4
59035.32,432.00,12.38,o,4
59037.26,375.75,5.38,o,4
59039.27,347.00,9.00,o,4
59041.30,344.67,6.74,o,3
59043.33,219.67,8.08,c,3
59045.31,242.50,132.23,o,2
59047.31,197.50,8.84,c,2
59051.29,202.00,5.50,c,4
59057.29,197.00,7.38,o,4
59059.29,194.50,10.38,o,4
59065.27,130.33,14.24,o,3
59073.26,144.33,6.93,o,3
59077.25,126.67,7.70,o,3
59089.24,118.67,15.40,o,3
