# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58901.62,-12.00,6.12,o,4
58903.57,3.00,5.77,c,3
58905.63,-2.33,4.62,o,3
58911.54,-5.00,5.77,c,3
58913.61,2.50,4.38,o,4
58917.50,27.50,19.50,o,4
58925.64,-3.50,5.75,o,4
58931.59,-8.67,5.00,c,3
58933.49,7.50,8.38,o,4
58945.59,30.00,22.71,o,3
58947.55,-10.25,12.50,o,4
58948.53,10.00,9.38,o,4
58951.49,-9.50,23.88,o,4
58957.47,10.75,6.62,o,4
58959.48,-4.75,4.50,c,4
58961.58,-41.60,4.56,o,5
58963.51,-22.00,198.00,c,1
58965.50,-28.20,7.07,o,5
58967.52,-5.50,4.00,c,4
58969.50,18.50,4.62,o,4
58971.60,-2.00,4.88,c,4
58973.46,-5.25,5.62,o,4
58974.44,7.25,9.12,o,4
58975.46,-6.75,10.88,o,4
58976.47,-24.50,14.50,o,4
58977.60,-7.60,9.21,o,5
58979.57,12.00,10.00,o,4
58981.45,11.33,8.47,o,3
58983.49,14.50,5.88,o,4
58985.47,39.00,4.88,o,4
58987.53,32.60,3.85,c,5
58989.45,72.50,5.25,o,4
58991.56,73.40,6.53,c,5
58993.50,56.50,6.75,o,4
58995.51,91.00,5.50,c,4
58997.42,46.33,36.95,o,3
58999.45,108.75,5.12,o,4
59001.50,66.25,5.62,o,4
59002.45,54.75,7.25,o,4
59003.52,72.50,9.12,o,4
59004.38,49.00,9.50,o,4
59005.42,58.00,24.00,o,1
59006.46,75.67,15.40,o,3
59007.41,59.00,13.44,o,2
59009.48,52.67,6.35,o,3
59013.45,47.00,4.23,o,3
59017.45,46.50,4.00,o,4
59021.41,30.75,4.88,o,4
59023.45,6.75,4.38,c,4
59025.42,23.75,4.25,o,4
59027.44,-1.50,4.12,c,4
59029.43,19.50,5.50,o,4
59031.43,8.75,8.25,o,4
59033.42,24.33,8.66,o,3
59034.42,32.50,20.15,o,2
59035.42,25.67,15.40,o,3
59037.39,33.25,6.00,o,4
59038.41,-2.00,9.43,o,3
59039.40,18.75,7.38,o,4
59041.40,8.00,5.12,o,4
59043.38,6.50,5.12,c,4
59047.41,5.50,5.25,c,4
59051.38,6.75,3.75,c,4
59053.34,31.00,3.50,o,4
59059.36,-4.33,9.05,o,3
59061.34,5.75,6.00,o,4
59063.33,0.75,13.12,o,4
59064.42,11.00,16.97,o,2
59065.40,-8.00,9.75,o,4
59068.36,-6.33,23.67,o,3
59069.35,-2.00,7.07,o,2
59071.31,-0.88,3.14,c,8
59073.35,0.33,3.88,o,6
59075.37,5.67,5.20,c,3
59077.36,-5.71,3.51,o,7
59079.29,6.33,5.00,c,3
59083.29,6.00,6.01,c,2
59085.33,-7.00,7.62,o,4
59087.28,14.25,6.00,o,4
59089.33,8.00,6.38,o,4
59092.27,-16.00,9.24,o,3
59093.28,12.00,8.84,o,2
59095.27,10.00,8.50,o,4
59096.35,1.67,7.70,o,3
59097.31,-3.00,16.00,o,1
