# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58905.61,12.40,6.71,o,5
58911.55,-8.67,5.00,c,3
58913.58,-10.00,5.77,o,3
58917.52,-7.75,13.88,o,4
58925.60,-9.25,8.25,o,4
58931.62,-9.00,5.38,c,4
58933.50,-10.75,5.50,o,4
58937.60,5.00,5.19,o,5
58941.56,19.00,11.00,o,1
58945.48,19.33,70.63,o,3
58947.59,36.00,15.75,o,4
58948.48,7.50,11.88,o,4
58951.54,1.67,33.29,o,3
58953.55,-71.00,137.00,o,1
58957.54,-18.50,5.25,o,4
58959.60,-9.50,4.75,c,4
58961.52,5.00,6.54,o,3
58963.50,3.50,84.50,c,2
58965.47,-3.00,6.74,o,3
58967.47,4.00,4.62,c,3
58969.46,-0.75,5.25,o,4
58971.54,1.75,4.50,c,4
58973.43,-5.25,7.62,o,4
58975.41,-13.00,13.47,o,3
58977.50,-13.00,12.62,o,4
58979.49,-13.00,11.31,o,2
58981.52,-2.00,14.14,o,2
58983.41,-4.75,3.62,c,4
58985.48,2.75,4.88,o,4
58987.47,-8.75,4.25,c,4
58989.37,-1.25,4.25,o,4
58993.45,49.67,8.85,o,3
58995.46,103.33,6.16,c,3
58997.36,420.00,277.00,o,1
58999.38,414.50,7.00,o,4
59001.42,520.25,7.12,o,4
59002.38,574.25,9.75,o,4
59003.43,631.25,12.38,o,4
59005.38,660.50,10.62,o,4
59007.44,682.25,12.88,o,4
59009.42,685.00,8.50,o,4
59013.42,635.00,6.62,o,4
59017.40,503.25,6.50,o,4
59021.38,393.00,5.12,o,4
59025.38,366.50,5.50,o,4
59027.36,378.50,5.88,o,4
59029.38,379.00,10.96,o,2
59031.36,350.00,8.25,o,4
59033.38,351.75,8.38,o,4
59035.38,324.33,13.09,o,3
59037.35,317.50,9.55,o,2
59039.35,246.25,5.50,o,4
59040.36,143.00,4.00,c,4
59041.35,251.67,5.77,o,3
59043.37,121.75,4.88,c,4
59045.35,215.50,33.23,o,2
59047.36,90.00,11.31,c,2
59051.36,85.67,5.39,c,3
59053.30,158.50,4.50,o,4
59055.31,141.33,6.35,o,3
59059.38,97.25,7.50,o,4
59061.31,96.67,7.51,o,3
59063.31,132.00,145.00,o,1
59065.36,75.50,10.12,o,4
59069.29,77.25,4.88,o,4
59071.29,65.75,4.38,c,4
59073.33,65.50,4.25,o,4
59075.31,50.50,4.00,c,4
59077.31,56.25,4.62,o,4
59079.26,59.25,4.25,c,4
59083.25,48.50,5.75,c,4
59085.25,54.50,5.38,o,4
59087.26,27.50,7.75,o,4
59089.31,46.25,6.88,o,4
59093.24,42.00,9.24,o,3
59095.24,39.00,10.58,o,3
59097.30,40.25,8.25,o,4
59101.25,39.50,7.42,o,2
59103.28,27.75,5.12,c,4
59105.28,-4.50,13.44,o,2
59107.27,25.25,4.88,c,4
59113.25,9.75,9.25,o,4
59121.24,2.00,9.00,o,4
59123.25,11.00,13.00,o,4
59129.23,-10.25,6.25,o,4
59131.22,5.33,8.66,c,3
59133.22,3.00,8.08,o,3
59137.22,-3.75,6.88,o,4
59139.22,-3.50,6.38,c,4
59147.20,-7.50,19.80,o,2
