# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58901.61,21.50,6.50,o,4
58903.66,-20.25,9.12,c,4
58905.65,-19.17,4.22,o,6
58911.61,13.20,13.42,c,5
58913.64,13.75,4.25,o,4
58917.58,22.67,10.39,o,3
58933.59,8.75,4.50,o,4
58947.61,27.50,12.25,o,4
58948.56,-2.75,9.75,o,4
58951.59,14.50,13.00,o,4
58953.57,18.00,65.00,o,1
58957.57,13.00,5.58,o,3
58959.59,-14.75,4.62,c,4
58961.55,0.50,5.62,o,4
58965.48,-7.67,7.12,o,3
58967.52,-11.00,4.62,c,4
58969.55,-2.00,6.54,o,3
58971.58,-2.00,4.56,c,5
58973.46,0.00,7.70,o,3
58975.44,35.75,10.12,o,4
58977.58,23.25,9.38,o,4
58979.53,2.25,9.00,o,4
58981.49,3.00,8.75,o,4
58983.48,-21.50,6.75,o,4
58985.52,24.00,4.38,o,4
58987.50,-16.25,4.12,c,4
58989.38,11.75,4.62,o,4
58991.58,23.67,5.39,c,3
58993.49,48.00,13.38,o,4
58995.49,88.50,4.75,c,4
58999.43,349.00,7.51,o,3
59000.47,364.50,9.55,o,2
59001.49,384.20,6.44,o,5
59003.45,405.00,9.38,o,4
59005.39,425.50,11.38,o,4
59007.45,416.33,11.55,o,3
59009.45,400.67,9.05,o,3
59013.46,329.00,5.62,o,4
59015.42,191.50,3.67,c,8
59017.43,270.50,6.00,o,4
59021.44,204.25,5.25,o,4
59023.45,110.25,4.38,c,4
59025.40,185.50,4.88,o,4
59027.42,68.25,4.75,c,4
59029.41,126.00,5.75,o,4
59031.40,93.00,9.00,o,4
59033.41,134.00,8.12,o,4
59035.42,111.50,11.12,o,4
59037.37,108.75,6.75,o,4
59039.36,114.50,5.62,o,4
59041.41,80.75,5.25,o,4
59043.45,68.00,9.55,o,2
59045.42,88.00,79.00,o,1
59047.40,57.75,5.50,c,4
59051.41,30.33,5.39,c,3
59053.34,103.00,5.00,o,3
59059.39,79.25,8.25,o,4
59061.32,60.50,6.38,o,4
59063.30,37.67,55.62,o,3
59065.37,69.00,12.37,o,2
59069.30,60.67,4.81,o,3
59071.31,25.33,5.77,c,3
59073.39,56.67,5.77,o,3
59075.35,22.00,5.00,c,3
59077.34,40.00,4.38,o,4
59079.29,35.33,4.62,c,3
59083.28,27.25,4.50,c,4
59085.28,69.75,6.00,o,4
59087.29,43.25,6.38,o,4
59089.34,45.00,6.88,o,4
59093.30,47.25,7.12,o,4
59095.25,59.00,18.00,o,1
59097.33,42.00,12.73,o,2
