# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58959.62,-6.75,13.50,c,4
58973.61,1.00,8.66,o,3
58975.61,24.75,15.38,o,4
58989.60,-22.00,6.62,o,4
58999.60,-5.25,5.12,c,4
59001.61,12.67,6.54,o,3
59003.60,1.50,6.00,o,4
59005.56,24.33,12.32,o,3
59007.56,-13.25,8.25,o,4
59009.60,54.40,38.19,o,5
59013.60,48.00,7.89,o,3
59017.59,74.67,4.83,o,6
59021.55,91.25,4.68,o,8
59023.55,117.50,72.83,c,2
59025.57,113.75,5.38,o,4
59027.56,51.50,3.61,c,6
59029.56,94.50,6.12,o,4
59031.55,38.20,4.29,c,5
59033.56,74.20,6.98,o,5
59035.54,83.60,14.13,o,5
59036.50,107.00,30.00,o,1
59037.53,110.33,10.58,o,3
59039.55,96.25,8.62,o,4
59041.54,80.50,7.12,o,4
59043.59,98.25,6.50,o,4
59045.52,141.00,262.00,o,1
59047.57,25.00,6.62,c,5
59051.50,30.50,5.12,c,4
59053.52,70.75,4.25,o,4
59059.58,24.33,4.62,c,3
59061.48,77.00,6.93,o,3
59063.49,90.00,113.49,o,2
59064.45,75.25,9.00,o,4
59065.54,63.00,17.32,o,2
59069.44,72.00,10.96,o,2
59071.48,43.50,7.00,o,4
59073.51,32.50,5.25,o,4
59075.51,54.25,5.12,o,4
59077.50,40.25,4.38,o,4
59079.46,20.33,5.39,c,3
59083.45,6.67,4.62,c,3
59085.51,-5.75,5.62,o,4
59087.50,22.50,4.50,c,4
59089.46,41.00,5.12,o,4
59092.39,6.50,9.12,o,4
59097.50,-24.50,25.38,o,4
59098.49,23.33,8.47,o,3
