# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59003.60,-15.67,7.31,o,3
59005.57,1.50,14.14,o,2
59007.58,-6.50,9.50,o,4
59009.60,29.75,16.50,o,4
59013.59,12.50,5.24,o,6
59017.58,-5.67,5.58,o,3
59021.54,0.25,5.38,o,4
59023.53,-2.00,51.00,c,1
59025.58,14.67,5.97,o,3
59027.55,4.25,3.88,c,4
59029.56,15.50,4.88,o,4
59031.55,5.00,4.25,c,4
59033.55,0.33,7.89,o,3
59035.57,1.50,10.00,o,4
59037.53,-0.25,7.00,o,4
59039.51,-1.50,8.88,o,4
59041.57,7.25,5.50,o,4
59043.58,11.75,5.62,o,4
59047.52,1.25,5.00,c,4
59051.49,5.75,4.12,c,4
59053.52,6.25,5.00,o,4
59059.58,3.50,3.75,c,4
59061.48,2.50,5.25,o,4
59065.54,-8.25,10.00,o,4
59069.50,16.00,14.00,o,1
59071.46,-3.50,5.25,o,4
59073.52,15.33,5.39,o,3
59075.51,12.00,7.07,o,2
59077.58,29.25,4.38,o,4
59079.41,48.75,4.62,c,4
59083.43,99.50,4.50,c,4
59085.41,130.00,6.62,o,4
59087.52,139.50,5.62,c,4
59089.46,153.00,5.58,o,6
59093.37,167.60,10.20,o,5
59097.50,101.25,25.50,o,4
59101.45,101.67,5.58,o,3
59103.48,108.00,8.13,o,2
59105.44,73.25,6.88,o,4
59107.44,37.00,6.01,c,2
59109.36,62.00,4.50,o,4
59111.49,30.75,6.88,c,4
59113.42,40.00,13.47,o,3
59115.48,25.20,4.47,c,5
59117.37,31.75,5.75,o,4
59119.42,30.43,5.99,o,7
59121.40,30.00,7.25,o,4
59125.41,28.00,8.38,o,4
59129.42,28.50,5.75,o,4
59131.43,20.75,6.88,o,4
59133.39,13.00,5.39,o,3
59135.43,16.75,5.50,c,4
59137.37,18.00,5.97,o,3
59139.37,9.25,3.88,c,4
59141.36,9.00,8.00,o,1
59143.34,8.67,7.12,c,3
59145.37,21.25,4.62,o,4
59147.37,17.25,6.88,o,4
59153.37,-9.00,9.38,o,4
59155.39,3.00,34.00,o,1
59157.33,-4.00,22.13,o,3
59159.30,30.50,44.90,c,2
59161.36,10.33,5.58,o,3
59163.37,8.75,5.00,c,4
59165.32,11.00,5.12,o,4
59169.30,9.67,7.12,o,3
59179.31,-1.00,33.00,o,1
59183.31,-6.50,34.65,o,2
59185.29,8.50,7.88,o,4
59187.32,1.00,10.61,o,2
59189.23,2.25,5.50,o,4
59191.24,-21.00,9.00,c,1
59193.28,-1.00,8.13,o,2
59195.29,1.25,6.00,c,4
59199.21,9.80,7.16,c,5
