MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58900.424245,21.014,1.031,14,15,o,0,0.66,218.70164,8.16956,6029.23,773.56,2.70,2.28,83.6,-0.413,19.24,20.91,01a58900o0467o
58900.428378,22.037,1.923,6,11,o,0,1.56,218.70164,8.16956,6008.65,733.39,2.66,2.27,80.3,-0.407,19.29,20.96,01a58900o0475o
58900.435393,-20.031,0.293,-35,10,o,0,1.27,218.70164,8.16956,6065.09,811.25,2.52,2.15,83.0,-0.423,19.37,21.01,01a58900o0489o
58900.453339,21.152,0.928,13,12,o,0,1.36,218.70164,8.16956,6084.86,696.58,2.27,2.16,-88.1,-0.417,19.54,21.09,01a58900o0526o
58901.459469,-21.501,1.321,-9,12,o,0,1.23,218.70164,8.16956,6024.10,769.64,2.28,2.14,81.9,-0.402,19.34,20.56,01a58901o0506o
58901.462704,-21.029,1.029,-14,14,o,0,0.75,218.70164,8.16956,6004.68,731.15,2.17,2.13,83.4,-0.412,19.38,20.58,01a58901o0513o
58901.472466,-24.864,30.250,0,12,o,0,0.85,218.70164,8.16956,6060.72,809.88,2.24,2.06,87.2,-0.416,19.38,20.67,01a58901o0532o
58901.482603,-21.736,1.615,-7,12,o,0,1.46,218.70164,8.16956,6081.43,690.20,2.39,2.10,81.9,-0.432,19.31,20.65,01a58901o0552o
58902.588955,22.149,1.703,5,8,c,0,1.30,218.70164,8.16956,8576.39,1328.75,2.69,2.34,-55.3,-0.410,19.71,21.70,02a58902o0795c
58902.592129,-22.179,1.763,-5,9,c,0,1.33,218.70164,8.16956,8595.78,1368.61,2.61,2.27,-56.7,-0.414,19.75,21.70,02a58902o0801c
58902.597958,-21.316,0.802,-11,9,c,0,1.20,218.70164,8.16956,8539.48,1288.95,2.68,2.31,-62.2,-0.411,19.75,21.70,02a58902o0813c
58902.609664,22.408,2.300,4,9,c,0,1.31,218.70164,8.16956,8519.86,1413.09,2.66,2.29,-55.7,-0.414,19.75,21.69,02a58902o0837c
58904.614182,20.822,0.738,17,13,o,0,0.90,218.70164,8.16956,2724.66,1656.47,2.23,2.04,69.7,-0.447,19.59,21.14,01a58904o0842o
58904.619164,-21.017,0.879,-14,12,o,0,0.74,218.70164,8.16956,7809.00,8891.55,2.85,2.10,-81.8,-0.377,19.58,21.17,01a58904o0852o
58904.630766,21.120,0.732,13,10,o,0,1.02,218.70164,8.16956,2687.70,1614.84,2.04,1.96,49.0,-0.439,19.72,21.20,01a58904o0875o
58904.635302,22.054,2.000,6,11,o,0,1.19,218.70164,8.16956,2670.89,1731.21,2.30,2.21,39.8,-0.432,19.59,21.21,01a58904o0884o
58906.579258,21.883,1.849,6,12,o,0,0.84,218.70164,8.16956,4214.56,1554.35,2.36,2.33,-65.3,-0.421,19.55,21.10,01a58906o0705o
58912.635818,21.847,1.487,7,10,o,0,1.07,218.70164,8.16956,3023.38,7463.73,2.05,1.94,-77.2,-0.422,19.79,21.38,01a58912o0583o
58912.640020,21.581,1.083,8,9,o,0,1.09,218.70164,8.16956,3042.52,7502.69,1.97,1.84,-75.9,-0.431,19.84,21.36,01a58912o0592o
58912.645313,-22.574,3.394,-3,12,o,0,1.10,218.70164,8.16956,2985.07,7425.16,2.25,2.09,-83.9,-0.428,19.70,21.30,01a58912o0603o
58912.648214,21.657,1.028,8,8,o,0,1.22,218.70164,8.16956,2966.66,7542.09,1.91,1.75,-79.7,-0.439,19.87,21.27,01a58912o0609o
58913.465412,-20.892,0.691,-16,11,o,0,1.07,218.70164,8.16956,7546.09,3110.81,2.10,1.90,-14.5,-0.385,19.45,20.15,01a58913o0472o
58913.468665,-21.003,0.828,-14,12,o,0,1.40,218.70164,8.16956,7527.98,3071.49,2.13,1.91,-15.0,-0.381,19.43,20.18,01a58913o0478o
58913.475743,-21.583,1.147,-8,10,o,0,1.64,218.70164,8.16956,7586.48,3148.91,2.05,1.91,-24.5,-0.396,19.46,20.22,01a58913o0493o
58913.490661,-20.289,0.311,-28,9,o,0,2.30,218.70164,8.16956,7605.19,3031.05,2.18,2.05,-18.3,-0.391,19.44,20.33,01a58913o0522o
58917.416880,19.082,0.370,84,31,o,0,1.40,218.70164,8.16956,7544.67,3111.13,2.33,2.10,-5.9,-0.370,18.30,18.20,01a58917o0421o
58917.419770,-21.202,2.461,-12,30,o,0,1.04,218.70164,8.16956,7525.45,3072.65,2.33,2.11,-8.2,-0.361,18.29,18.22,01a58917o0427o
58917.427520,21.266,2.780,11,32,o,0,0.84,218.70164,8.16956,7583.05,3148.81,2.21,1.99,-12.3,-0.386,18.39,18.29,01a58917o0442o
58917.441765,-20.118,0.915,-33,30,o,0,0.84,218.70164,8.16956,7606.91,3037.01,2.46,2.01,-6.4,-0.362,18.46,18.41,01a58917o0471o
58924.625907,-21.906,1.557,-6,10,o,0,1.55,218.70164,8.16956,4763.19,3487.38,1.98,1.86,87.9,-0.402,19.63,20.78,01a58924o0489o
58924.631191,22.172,1.844,5,9,o,0,1.06,218.70164,8.16956,4783.67,3525.43,1.97,1.84,-87.9,-0.393,19.65,20.81,01a58924o0500o
58924.635524,-19.505,1.771,-57,101,o,0,1.28,218.70164,8.16956,4725.13,3448.29,2.04,1.95,88.8,-0.386,17.07,17.35,01a58924o0509o
58924.642461,-20.007,1.010,-36,36,o,0,0.98,218.70164,8.16956,4707.25,3565.16,1.98,1.87,-84.0,-0.385,18.05,18.83,01a58924o0523o
58931.466042,-22.275,2.077,-4,9,c,0,1.75,218.70164,8.16956,2599.75,9877.36,3.00,2.52,-46.8,-0.419,19.67,21.86,02a58931o0482c
58931.471319,23.116,4.929,2,10,c,0,0.81,218.70164,8.16956,2626.12,9912.57,2.66,2.32,-43.5,-0.433,19.74,21.86,02a58931o0492c
58931.474274,-20.447,0.351,-24,8,c,0,1.72,218.70164,8.16956,2566.73,9835.92,2.63,2.25,-43.9,-0.428,19.78,21.87,02a58931o0498c
58931.484472,-21.071,0.710,-14,10,c,0,1.51,218.70164,8.16956,2543.91,9956.19,2.57,2.16,-42.2,-0.425,19.83,21.88,02a58931o0518c
58936.532471,17.386,0.818,403,330,o,0,1.12,218.70164,8.16956,2921.15,5531.50,1.98,1.90,-81.7,-0.423,15.93,17.06,01a58936o0550o
58936.535253,19.615,1.072,52,56,o,0,1.32,218.70164,8.16956,2941.77,5570.16,2.22,2.12,-85.7,-0.416,17.72,18.97,01a58936o0556o
58942.512676,21.209,1.295,12,15,o,0,0.94,218.70164,8.16956,3837.44,7185.06,1.93,1.81,-44.8,-0.464,19.11,19.91,02a58942o0503o
58942.517155,20.514,1.616,23,36,o,0,1.06,218.70164,8.16956,6763.08,3420.29,1.93,1.76,-46.5,-0.439,18.06,18.44,02a58942o0512o
58942.522783,-20.754,1.416,-18,26,o,0,0.68,218.70164,8.16956,3873.29,7221.28,1.88,1.75,-45.2,-0.471,18.80,19.61,02a58942o0523o
58942.528263,20.979,1.416,15,21,o,0,0.84,218.70164,8.16956,3892.31,7105.36,1.92,1.77,-48.9,-0.472,18.95,19.83,02a58942o0534o
58944.510798,-18.041,0.981,-221,216,o,0,1.33,218.70164,8.16956,6578.16,1430.87,1.96,1.92,-14.7,-0.413,16.18,15.89,01a58944o0484o
58944.517277,-17.523,0.912,-356,324,o,0,0.73,218.70164,8.16956,6598.32,1470.29,2.28,2.09,-15.4,-0.402,16.36,16.28,01a58944o0497o
58944.520914,18.662,0.608,125,76,o,0,1.36,218.70164,8.16956,6541.92,1391.67,2.13,2.05,-71.2,-0.410,17.39,17.36,01a58944o0504o
58944.539507,-14.313,0.294,-6839,2009,o,0,1.40,218.70164,8.16956,6527.65,1507.13,2.27,2.15,-82.3,-0.406,14.13,14.00,01a58944o0542o
