MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58814.656178,-20.924,1.337,-16,21,c,0,1.35,185.46033,4.48168,10149.63,8799.69,2.81,2.65,-63.1,-0.367,19.06,20.23,02a58814o0904c
58814.659255,19.104,0.492,83,41,c,0,0.85,185.46033,4.48168,10169.76,8839.57,2.90,2.66,-53.2,-0.365,18.60,19.65,02a58814o0910c
58814.663093,19.211,1.275,75,96,c,0,1.54,185.46033,4.48168,10110.34,8761.53,2.92,2.67,-61.7,-0.394,17.83,18.72,02a58814o0917c
58814.666678,18.468,1.966,149,293,c,0,1.33,185.46033,4.48168,10092.12,8879.57,2.81,2.69,-89.0,-0.468,16.94,17.65,02a58814o0924c
58822.623664,18.964,5.833,94,550,o,0,1.35,185.46033,4.48168,5359.82,4391.37,2.62,2.57,11.5,-0.338,15.32,16.81,02a58822o0820o
58822.633475,18.029,0.748,223,167,o,0,1.20,185.46033,4.48168,5338.68,4508.50,2.14,1.76,34.5,-0.437,16.58,17.74,02a58822o0840o
58824.653178,21.183,1.144,12,14,o,0,1.20,185.46033,4.48168,554.47,3732.25,2.66,2.01,78.1,-0.401,19.48,20.66,01a58824o0993o
58824.656425,-20.414,0.528,-25,13,o,0,1.82,185.46033,4.48168,534.69,3693.77,2.70,2.12,78.6,-0.394,19.36,20.44,01a58824o1000o
58824.659659,19.996,0.445,36,16,o,0,1.14,185.46033,4.48168,593.97,3772.20,2.77,2.10,79.3,-0.398,19.20,20.07,01a58824o1007o
58824.662921,19.794,0.449,44,20,o,0,1.34,185.46033,4.48168,612.89,3656.35,2.70,2.08,78.8,-0.404,18.94,19.43,01a58824o1014o
58826.618803,21.267,1.144,11,13,o,0,0.86,185.46033,4.48168,7167.70,439.26,1.90,1.74,-72.7,-0.465,19.60,20.76,02a58826o0904o
58826.621635,-21.488,1.479,-9,14,o,0,1.15,185.46033,4.48168,7187.35,479.10,1.87,1.69,-64.9,-0.484,19.59,20.77,02a58826o0910o
58826.627434,-21.963,2.732,-6,16,o,0,0.81,185.46033,4.48168,7129.73,401.30,1.93,1.74,-65.7,-0.480,19.58,20.78,02a58826o0922o
58826.639977,21.297,1.354,11,15,o,0,0.74,185.46033,4.48168,7109.38,519.47,1.92,1.82,-68.9,-0.467,19.58,20.81,02a58826o0948o
58828.618607,21.279,1.962,11,22,o,0,1.17,185.46033,4.48168,553.87,3730.07,2.81,2.44,72.2,-0.380,18.82,19.50,01a58828o0923o
58828.621840,20.292,0.876,28,24,o,0,1.03,185.46033,4.48168,534.46,3691.53,3.04,2.53,78.9,-0.383,18.77,19.52,01a58828o0930o
58828.629217,21.052,1.542,14,21,o,0,1.13,185.46033,4.48168,593.58,3770.82,2.89,2.44,77.2,-0.382,18.86,19.56,01a58828o0946o
58828.639065,20.173,0.725,31,22,o,0,1.03,185.46033,4.48168,612.35,3654.96,3.01,2.60,71.6,-0.387,18.80,19.60,01a58828o0966o
58829.545052,-20.575,1.669,-21,36,o,0,0.80,185.46033,4.48168,548.32,3710.87,2.72,2.26,77.0,-0.382,18.44,18.70,01a58829o0746o
58829.555377,-19.397,0.523,-63,33,o,0,0.91,185.46033,4.48168,530.68,3674.93,2.53,2.12,72.5,-0.402,18.58,18.82,01a58829o0768o
58829.559103,20.631,1.483,20,30,o,0,0.95,185.46033,4.48168,589.50,3753.28,2.34,1.94,77.8,-0.417,18.69,18.85,01a58829o0776o
58829.569555,21.602,3.277,8,27,o,0,1.08,185.46033,4.48168,610.93,3639.17,2.41,1.95,75.8,-0.400,18.73,18.95,01a58829o0798o
58844.661887,-21.357,1.359,-10,14,o,0,1.19,185.46033,4.48168,3267.99,6244.79,2.42,2.01,89.1,-0.409,19.44,20.50,01a58844o0974o
58844.667384,-21.796,2.953,-7,20,o,0,1.04,185.46033,4.48168,3247.85,6205.95,2.52,2.08,-87.4,-0.403,18.84,19.25,01a58844o0985o
58844.667844,-20.137,0.773,-32,25,o,0,0.99,185.46033,4.48168,3305.66,6283.05,2.53,2.02,87.3,-0.407,18.78,19.11,01a58844o0986o
58844.668304,-21.997,3.887,-6,22,o,0,1.44,185.46033,4.48168,3324.77,6166.59,2.53,2.06,88.4,-0.406,18.72,18.97,01a58844o0987o
58846.554675,22.778,4.923,3,14,c,0,0.93,185.46033,4.48168,5295.84,2477.37,3.23,3.11,-12.1,-0.376,19.33,21.55,02a58846o0777c
58846.556508,-22.620,4.000,-3,13,c,0,1.07,185.46033,4.48168,5315.56,2516.42,3.12,3.01,-17.8,-0.387,19.44,21.55,02a58846o0781c
58846.562381,-20.589,0.604,-21,13,c,0,1.10,185.46033,4.48168,5260.54,2438.32,3.08,3.01,-47.7,-0.379,19.45,21.54,02a58846o0793c
58846.573189,21.662,1.489,8,12,c,0,1.37,185.46033,4.48168,5243.62,2555.03,2.96,2.78,-7.4,-0.376,19.52,21.54,02a58846o0815c
58850.635477,-21.735,1.623,-7,12,o,0,1.64,185.46033,4.48168,3786.68,8578.77,2.14,1.86,-53.1,-0.441,19.78,21.27,02a58850o0914o
58850.638836,-20.562,0.505,-22,11,o,0,1.15,185.46033,4.48168,3803.93,8620.09,2.14,1.90,-50.3,-0.447,19.78,21.27,02a58850o0921o
58850.654765,20.791,0.906,18,16,o,0,0.83,185.46033,4.48168,3747.69,8544.46,2.03,1.89,-43.1,-0.444,19.79,21.29,02a58850o0953o
58850.668026,-20.915,0.957,-16,15,o,0,1.39,185.46033,4.48168,3729.25,8663.16,2.15,1.90,-51.4,-0.443,19.43,20.42,02a58850o0980o
58852.579822,-21.325,1.592,-11,17,o,0,1.19,185.46033,4.48168,9477.27,6441.63,3.59,3.10,-85.5,-0.345,19.12,20.83,01a58852o0815o
58852.583079,20.976,1.227,15,18,o,0,1.00,185.46033,4.48168,9457.80,6403.00,3.64,3.08,-87.5,-0.352,19.13,20.87,01a58852o0822o
58852.588868,-21.778,1.918,-7,14,o,0,1.24,185.46033,4.48168,9517.89,6480.71,2.83,2.49,-89.4,-0.388,19.43,20.89,01a58852o0834o
58852.602480,20.596,0.937,21,20,o,0,0.99,185.46033,4.48168,9534.86,6361.20,3.80,3.69,-74.2,-0.309,19.04,20.88,01a58852o0862o
58866.622432,-21.434,1.500,-10,14,o,0,0.93,185.46033,4.48168,3293.92,622.99,2.34,2.01,-53.1,-0.432,19.56,20.75,02a58866o0687o
58866.626370,-20.920,0.877,-16,14,o,0,1.20,185.46033,4.48168,7277.14,9898.30,2.57,2.28,-53.6,-0.426,19.49,20.66,02a58866o0695o
58866.631484,22.209,2.583,5,12,o,0,1.47,185.46033,4.48168,3254.87,584.17,2.19,1.91,-55.9,-0.444,19.58,20.75,02a58866o0705o
58866.642074,-21.268,1.241,-11,14,o,0,1.13,185.46033,4.48168,7353.35,9862.06,2.46,2.17,-54.4,-0.522,19.56,20.69,02a58866o0726o
