MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58900.405317,-22.910,4.125,-2,10,o,0,1.56,142.24344,-14.80552,6151.79,3435.04,2.26,2.16,-70.9,-0.390,19.70,21.53,01a58900o0429o
58900.409076,21.025,0.846,14,12,o,0,0.78,142.24344,-14.80552,4401.44,7089.13,2.34,2.08,-86.0,-0.395,19.73,21.52,01a58900o0436o
58900.416643,-20.589,0.520,-21,11,o,0,1.23,142.24344,-14.80552,6115.13,3395.24,2.33,2.08,-83.7,-0.392,19.67,21.50,01a58900o0452o
58900.427659,-23.756,10.583,-1,12,o,0,0.93,142.24344,-14.80552,6097.03,3509.20,2.23,1.99,-82.5,-0.399,19.73,21.50,01a58900o0474o
58902.398251,20.625,0.470,20,10,c,0,1.56,142.24344,-14.80552,10176.66,5211.53,2.79,2.46,-68.0,-0.412,19.73,21.83,02a58902o0408c
58902.402066,20.965,0.608,15,9,c,0,1.76,142.24344,-14.80552,10199.25,5250.12,2.73,2.40,-65.5,-0.419,19.83,21.84,02a58902o0416c
58902.409509,-22.034,2.068,-6,12,c,0,0.67,142.24344,-14.80552,422.59,5377.84,2.53,2.28,-51.4,-0.399,19.80,21.86,02a58902o0431c
58902.412262,21.191,0.901,12,11,c,0,1.73,142.24344,-14.80552,10480.00,5364.63,2.98,2.57,-64.4,-0.422,19.75,21.86,02a58902o0437c
58902.415808,-18.485,0.729,-146,107,c,0,0.08,142.24344,-14.80552,101.89,5224.00,2.60,2.19,-56.0,-0.372,19.79,21.87,02a58902o0444c
58902.421323,21.581,1.081,8,9,c,0,1.43,142.24344,-14.80552,449.16,5265.54,2.66,2.31,-57.9,-0.409,19.73,21.88,02a58902o0455c
58902.422237,19.880,3.297,41,134,c,0,0.06,142.24344,-14.80552,10522.50,5404.67,2.85,2.56,-67.2,-0.421,19.75,21.88,02a58902o0457c
58903.404883,21.080,0.895,13,12,o,0,1.87,142.24344,-14.80552,4425.45,7126.54,2.98,2.52,-89.2,-0.386,19.36,21.16,01a58903o0417o
58903.407858,-20.206,0.466,-30,14,o,0,1.13,142.24344,-14.80552,6183.66,3470.28,2.90,2.61,-86.2,-0.368,19.39,21.15,01a58903o0423o
58903.414318,-21.217,1.070,-12,13,o,0,1.63,142.24344,-14.80552,6125.62,3392.08,3.06,2.69,89.8,-0.356,19.35,21.16,01a58903o0437o
58903.431086,21.072,0.874,14,12,o,0,1.61,142.24344,-14.80552,6104.09,3505.61,2.80,2.47,-89.4,-0.375,19.40,21.06,01a58903o0472o
