MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58901.518444,-21.020,0.737,-14,10,o,0,1.43,198.72267,27.00864,1460.71,6812.54,2.77,2.14,89.9,-0.401,19.63,21.05,01a58901o0624o
58901.521280,20.179,0.328,31,10,o,0,2.09,198.72267,27.00864,1441.24,6774.21,2.75,2.08,88.6,-0.406,19.61,21.07,01a58901o0630o
58901.530056,23.141,5.562,2,11,o,0,1.76,198.72267,27.00864,1500.56,6850.67,2.82,2.14,90.0,-0.398,19.64,21.10,01a58901o0647o
58901.545181,21.074,0.766,14,10,o,0,1.71,198.72267,27.00864,1517.50,6733.81,2.73,2.12,86.9,-0.408,19.60,21.09,01a58901o0675o
58903.619161,21.157,0.738,12,9,c,0,1.39,198.72267,27.00864,2909.76,5045.50,2.41,2.16,-53.5,-0.430,19.82,21.89,02a58903o0765c
58903.637731,20.635,0.371,20,8,c,0,2.26,198.72267,27.00864,2881.69,5004.78,2.48,2.30,-54.5,-0.413,19.73,21.81,02a58903o0803c
58903.648051,-20.984,0.578,-15,8,c,0,1.55,198.72267,27.00864,2938.21,5080.56,2.51,2.30,38.9,-0.397,19.79,21.77,02a58903o0823c
58903.653543,21.904,1.231,6,8,c,0,2.73,198.72267,27.00864,2958.40,4964.15,2.41,2.23,-59.9,-0.422,19.72,21.66,02a58903o0833c
58905.600975,20.403,0.365,25,9,o,0,1.97,198.72267,27.00864,1831.57,5822.31,2.64,2.04,-87.2,-0.413,19.79,21.61,01a58905o0811o
58905.604539,-20.168,0.271,-31,8,o,0,1.82,198.72267,27.00864,1854.80,5861.74,2.36,1.88,89.8,-0.428,19.85,21.63,01a58905o0818o
58905.611062,-21.698,1.215,-8,9,o,0,1.58,198.72267,27.00864,1796.80,5783.04,2.33,1.91,89.4,-0.435,19.87,21.66,01a58905o0831o
58905.623823,-21.068,0.615,-14,8,o,0,2.13,198.72267,27.00864,1778.32,5897.58,2.59,2.02,-89.9,-0.415,19.81,21.55,01a58905o0857o
58911.541185,25.542,45.000,0,10,c,0,1.16,198.72267,27.00864,2234.42,9358.13,2.38,2.04,-41.9,-0.437,19.86,21.92,02a58911o0522c
58911.544032,-25.435,37.500,0,9,c,0,1.69,198.72267,27.00864,2215.42,9473.13,2.52,2.11,-43.7,-0.435,19.85,21.93,02a58911o0528c
58913.505864,-20.913,0.604,-16,10,o,0,2.17,198.72267,27.00864,2935.38,9124.37,2.05,1.94,-46.9,-0.416,19.50,20.52,01a58913o0552o
58913.516468,-22.103,2.294,-5,12,o,0,2.08,198.72267,27.00864,7587.61,1472.66,2.36,2.12,-16.5,-0.385,19.51,20.57,01a58913o0573o
58913.525746,20.020,0.233,36,8,o,0,2.18,198.72267,27.00864,2973.69,9164.80,1.93,1.78,-65.7,-0.426,19.61,20.59,01a58913o0591o
58913.528826,20.451,0.435,24,10,o,0,1.61,198.72267,27.00864,7514.29,1511.19,2.38,2.10,-16.0,-0.378,19.54,20.63,01a58913o0597o
58921.580705,-17.764,0.882,-285,251,o,0,1.40,198.72267,27.00864,3842.10,7665.07,1.91,1.76,-17.5,-0.420,16.02,15.57,01a58921o0361o
58921.583563,-19.074,2.257,-85,192,o,0,0.77,198.72267,27.00864,3862.22,7703.28,1.89,1.73,-16.1,-0.425,16.41,15.97,01a58921o0367o
58921.593624,19.389,3.440,64,219,o,0,0.87,198.72267,27.00864,3805.63,7625.85,2.01,1.89,-21.4,-0.424,16.25,15.87,01a58921o0387o
58921.606568,-21.238,7.865,-12,91,o,0,1.25,198.72267,27.00864,3789.08,7742.12,1.97,1.80,-11.1,-0.448,17.00,16.68,01a58921o0413o
58925.536457,-20.158,0.320,-31,10,o,0,1.86,198.72267,27.00864,3834.11,7662.77,1.84,1.72,-51.3,-0.446,19.22,21.32,01a58925o0214o
58925.539836,-19.875,0.300,-41,12,o,0,2.59,198.72267,27.00864,3853.86,7701.45,1.91,1.78,-51.4,-0.438,19.18,21.29,01a58925o0221o
58925.547410,-20.732,0.732,-18,14,o,0,2.46,198.72267,27.00864,3797.68,7624.74,1.94,1.77,-66.2,-0.431,19.20,21.17,01a58925o0236o
58925.563149,21.910,1.232,6,8,o,0,2.94,198.72267,27.00864,3783.53,7743.67,2.11,1.99,-74.6,-0.420,19.67,21.07,01a58925o0267o
58931.586747,-21.185,0.653,-12,8,c,0,2.10,198.72267,27.00864,3361.69,6690.44,2.32,2.28,-41.6,-0.417,19.74,21.64,02a58931o0721c
58931.590031,19.835,0.221,42,9,c,0,1.76,198.72267,27.00864,3342.71,6651.70,2.42,2.38,-42.1,-0.413,19.70,21.63,02a58931o0728c
