MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58910.637335,20.317,0.435,27,12,o,0,1.54,280.81857,71.67683,1745.60,10104.74,2.37,2.17,-68.2,-0.418,19.44,20.79,01a58910o0889o
58910.641505,20.804,0.619,17,11,o,0,1.38,280.81857,71.67683,1729.40,10069.72,2.16,2.00,-70.4,-0.436,19.54,20.79,01a58910o0898o
58910.646632,-22.705,3.867,-3,12,o,0,1.10,280.81857,71.67683,1782.99,10144.34,2.18,2.02,-73.9,-0.438,19.53,20.80,01a58910o0909o
58910.652709,22.264,2.442,4,11,o,0,1.51,280.81857,71.67683,1803.10,10026.29,2.27,2.07,-75.9,-0.430,19.37,20.57,01a58910o0922o
58934.464188,-14.782,0.371,-4438,1645,o,0,1.27,280.81857,71.67683,4360.92,6108.20,2.66,2.52,-82.2,-0.377,14.48,16.10,01a58934o0520o
58934.469393,-18.380,0.810,-161,131,o,0,1.43,280.81857,71.67683,4341.66,6071.21,2.51,2.46,-49.6,-0.359,16.72,18.18,01a58934o0531o
58934.482120,-17.930,1.104,-244,270,o,0,1.06,280.81857,71.67683,4418.86,6030.33,2.43,2.37,84.5,-0.354,15.86,17.31,01a58934o0558o
58962.603457,19.893,0.370,40,15,o,0,1.29,280.81857,71.67683,1485.87,8112.36,2.35,2.28,-17.0,-0.379,19.05,20.42,01a58962o0791o
58962.607697,20.113,0.658,33,22,o,0,0.88,280.81857,71.67683,1465.54,8077.73,2.22,2.16,-62.7,-0.398,18.89,20.20,01a58962o0800o
58962.615301,21.246,1.918,12,22,o,0,1.14,280.81857,71.67683,8933.38,2362.31,2.57,2.40,-16.6,-0.366,18.76,20.03,01a58962o0816o
58962.622010,-21.044,1.500,-14,21,o,0,1.60,280.81857,71.67683,8921.60,2480.76,2.52,2.43,-25.8,-0.360,18.76,19.89,01a58962o0829o
58964.573892,20.809,0.740,17,13,c,0,1.55,280.81857,71.67683,2445.96,452.03,3.11,2.69,-61.5,-0.375,19.18,21.03,02a58964o0734c
58964.578482,19.854,0.674,42,28,c,0,1.08,280.81857,71.67683,2462.98,491.21,2.91,2.57,-69.5,-0.375,18.32,20.11,02a58964o0744c
58964.584594,21.763,1.385,7,10,c,0,1.80,280.81857,71.67683,2413.46,408.98,2.90,2.56,-64.8,-0.380,19.34,21.20,02a58964o0757c
58964.594979,20.467,0.496,24,12,c,0,1.26,280.81857,71.67683,2399.35,524.97,3.09,2.80,-63.3,-0.380,19.41,21.43,02a58964o0779c
58966.362662,-24.651,29.750,0,15,o,0,1.44,280.81857,71.67683,1469.78,8032.26,2.29,2.17,-51.2,-0.389,19.15,20.13,01a58966o0303o
58966.367791,19.349,0.249,66,16,o,0,1.22,280.81857,71.67683,1451.59,7998.84,2.52,2.38,-54.8,-0.387,19.07,20.21,01a58966o0314o
58966.384441,20.911,0.842,16,13,o,0,1.46,280.81857,71.67683,1511.59,8074.73,2.27,2.11,-51.8,-0.396,19.22,20.26,01a58966o0350o
58966.389571,-20.979,0.871,-15,13,o,0,1.67,280.81857,71.67683,1533.05,7956.18,2.37,2.21,-33.6,-0.387,19.18,20.28,01a58966o0361o
58966.538669,22.370,3.108,4,13,o,0,1.07,280.81857,71.67683,9935.31,8110.07,2.25,2.10,40.4,-0.413,19.35,20.47,01a58966o0679o
58966.541888,20.397,0.455,25,12,o,0,1.37,280.81857,71.67683,9916.85,8067.80,2.26,2.09,33.2,-0.410,19.34,20.47,01a58966o0686o
58966.547878,20.314,0.483,27,13,o,0,1.00,280.81857,71.67683,9971.84,8151.77,2.43,2.14,20.9,-0.394,19.26,20.45,01a58966o0699o
58966.561274,19.327,0.175,68,12,o,0,1.83,280.81857,71.67683,9987.26,8035.31,2.30,2.13,86.4,-0.410,19.34,20.52,01a58966o0728o
58968.518730,20.879,0.534,16,9,c,0,2.04,280.81857,71.67683,2432.20,456.12,2.54,2.34,-79.5,-0.409,19.51,21.28,02a58968o0609c
58968.522491,20.255,0.306,29,9,c,0,1.81,280.81857,71.67683,2450.55,492.77,2.52,2.36,-79.4,-0.411,19.51,21.29,02a58968o0617c
58968.528459,20.150,0.319,32,10,c,0,1.57,280.81857,71.67683,2398.17,409.55,2.52,2.32,-80.0,-0.400,19.57,21.35,02a58968o0630c
58968.534892,20.260,0.329,29,9,c,0,1.12,280.81857,71.67683,2384.66,530.08,2.49,2.31,81.2,-0.413,19.50,21.37,02a58968o0644c
58970.568661,20.437,0.411,24,10,o,0,1.23,280.81857,71.67683,6209.09,3984.55,2.17,1.89,-1.2,-0.393,19.58,20.74,01a58970o0726o
58970.570978,20.858,0.527,16,9,o,0,1.79,280.81857,71.67683,6188.01,3946.12,2.26,1.93,0.3,-0.390,19.55,20.73,01a58970o0731o
58970.577853,20.712,0.545,19,10,o,0,1.49,280.81857,71.67683,6248.41,4025.12,2.28,2.00,1.5,-0.383,19.52,20.73,01a58970o0745o
58970.592148,19.641,0.227,50,12,o,0,1.20,280.81857,71.67683,6261.18,3908.79,2.88,2.25,-1.8,-0.349,19.36,20.77,01a58970o0776o
58972.583436,21.125,0.772,13,10,c,0,1.20,280.81857,71.67683,2437.12,4536.67,2.76,2.60,43.4,-0.394,19.47,21.34,02a58972o0744c
58972.585738,21.192,0.873,12,11,c,0,1.22,280.81857,71.67683,2458.16,4577.11,2.64,2.56,34.9,-0.396,19.53,21.36,02a58972o0749c
58972.597636,20.726,0.508,19,10,c,0,1.55,280.81857,71.67683,2401.10,4496.48,2.67,2.52,34.7,-0.395,19.55,21.42,02a58972o0774c
58972.606867,20.226,0.305,30,9,c,0,1.57,280.81857,71.67683,2384.25,4611.43,2.80,2.45,35.6,-0.392,19.49,21.42,02a58972o0794c
58974.550721,21.375,1.483,10,15,o,0,1.63,280.81857,71.67683,6213.87,3985.65,2.07,1.89,-0.7,-0.394,18.98,19.36,01a58974o0699o
58974.553976,-21.320,1.593,-11,17,o,0,1.11,280.81857,71.67683,6192.68,3947.98,2.19,1.94,6.5,-0.386,18.95,19.36,01a58974o0706o
58974.560439,-23.911,15.727,-1,16,o,0,1.15,280.81857,71.67683,6251.81,4024.66,2.11,1.89,2.9,-0.393,19.01,19.39,01a58974o0720o
58974.570800,0.000,20.852,0,17,o,0,1.34,280.81857,71.67683,6266.35,3908.89,2.43,2.00,2.2,-0.374,18.93,19.41,01a58974o0740o
58976.532774,-22.614,9.778,-3,32,o,0,1.19,280.81857,71.67683,2432.36,4541.29,2.33,2.02,-59.3,-0.437,18.22,18.48,02a58976o0597o
58976.535976,21.464,3.560,9,34,o,0,1.14,280.81857,71.67683,2451.47,4581.63,2.20,1.97,-62.2,-0.441,18.26,18.49,02a58976o0604o
58976.540115,19.723,0.704,47,33,o,0,1.08,280.81857,71.67683,2394.41,4499.13,2.26,1.95,-59.4,-0.447,18.28,18.50,02a58976o0613o
58976.546892,-21.529,3.589,-9,32,o,0,0.93,280.81857,71.67683,2374.07,4614.39,2.28,2.06,-58.0,-0.441,18.23,18.52,02a58976o0627o
58978.538698,20.302,0.715,28,20,o,0,1.04,280.81857,71.67683,2167.00,1735.02,1.95,1.76,9.9,-0.424,18.94,19.20,01a58978o0531o
58978.540538,20.677,0.743,20,14,o,0,1.36,280.81857,71.67683,2143.61,1698.18,1.88,1.66,5.2,-0.424,18.97,19.21,01a58978o0535o
58978.545143,-23.368,10.700,-2,18,o,0,1.74,280.81857,71.67683,2208.04,1770.72,1.89,1.78,82.0,-0.457,18.93,19.22,01a58978o0545o
58978.550684,20.360,0.655,26,17,o,0,1.38,280.81857,71.67683,2227.55,1651.92,2.02,1.88,12.9,-0.428,18.90,19.22,01a58978o0557o
58980.452334,19.679,0.347,49,17,o,0,1.60,280.81857,71.67683,7129.17,688.36,2.32,2.20,-84.0,-0.421,18.83,19.64,02a58980o0473o
58980.456465,-19.979,3.369,-37,125,o,0,1.28,280.81857,71.67683,7149.84,728.63,2.18,2.03,-71.0,-0.427,17.23,17.74,02a58980o0482o
58980.461961,-19.840,4.533,-42,191,o,0,1.22,280.81857,71.67683,7099.28,654.32,2.18,2.01,-69.8,-0.418,16.22,16.58,02a58980o0494o
58980.472067,18.323,3.132,170,533,o,0,0.83,280.81857,71.67683,7084.51,773.24,2.14,1.98,-78.6,-0.426,16.10,16.63,02a58980o0516o
58982.528539,21.908,1.912,6,12,o,0,1.04,280.81857,71.67683,2170.90,1735.79,2.05,1.94,7.7,-0.429,19.34,20.23,01a58982o0625o
58982.530382,20.685,0.629,19,12,o,0,1.55,280.81857,71.67683,2147.60,1699.52,2.00,1.95,56.4,-0.443,19.32,20.21,01a58982o0629o
58982.542774,-23.192,6.050,-2,12,o,0,1.58,280.81857,71.67683,2206.96,1774.77,2.18,1.95,-5.4,-0.405,19.29,20.18,01a58982o0655o
58982.549689,20.963,0.875,15,13,o,0,1.18,280.81857,71.67683,2228.06,1656.30,2.43,2.06,-8.3,-0.385,19.23,20.17,01a58982o0670o
58984.525298,21.551,1.304,9,11,o,0,1.66,280.81857,71.67683,7153.29,695.35,2.30,1.84,-54.8,-0.462,19.39,20.49,02a58984o0541o
58984.546411,20.667,0.564,20,11,o,0,1.04,280.81857,71.67683,7174.52,733.43,2.36,1.88,-56.6,-0.457,19.41,20.52,02a58984o0586o
58984.549613,20.157,0.398,31,12,o,0,1.76,280.81857,71.67683,7125.00,659.21,2.32,1.88,-55.0,-0.460,19.40,20.51,02a58984o0593o
58984.555102,21.035,1.008,14,14,o,0,0.75,280.81857,71.67683,7108.64,778.96,2.19,1.90,-60.4,-0.453,19.35,20.44,02a58984o0605o
58986.552422,-22.053,1.600,-6,9,o,0,1.30,280.81857,71.67683,7737.17,2153.27,2.08,1.95,-5.0,-0.399,19.65,20.97,01a58986o0601o
58986.586498,21.373,1.019,10,10,o,0,0.87,280.81857,71.67683,7766.49,2185.62,2.27,1.95,-4.6,-0.389,19.66,21.02,01a58986o0674o
58986.589781,21.133,0.669,13,9,o,0,1.19,280.81857,71.67683,7710.20,2110.78,2.13,1.96,-89.2,-0.414,19.71,21.05,01a58986o0681o
58986.594896,19.766,0.217,45,10,o,0,1.68,280.81857,71.67683,7699.66,2231.10,2.45,2.00,-6.7,-0.375,19.60,21.04,01a58986o0692o
