MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58901.615714,-20.626,0.619,-20,13,o,0,1.19,263.14051,15.73588,9422.02,5283.48,2.90,2.26,-87.1,-0.394,19.29,20.60,01a58901o0818o
58901.618952,-22.597,3.667,-3,12,o,0,1.60,263.14051,15.73588,9402.19,5243.29,2.92,2.23,-87.1,-0.399,19.31,20.60,01a58901o0825o
58901.624719,-21.141,0.916,-13,12,o,0,1.63,263.14051,15.73588,9463.61,5322.73,2.63,2.10,-85.4,-0.408,19.42,20.60,01a58901o0837o
58901.634939,-21.242,1.083,-12,12,o,0,1.44,263.14051,15.73588,9484.56,5206.76,2.91,2.23,-85.5,-0.399,19.32,20.65,01a58901o0859o
58901.666989,19.898,0.917,40,37,o,0,1.22,263.14051,15.73588,9446.61,5260.36,2.45,1.98,-83.0,-0.426,18.19,18.29,01a58901o0927o
58903.563306,21.416,1.015,10,10,c,0,1.28,263.14051,15.73588,7862.84,7017.08,2.51,2.49,40.0,-0.404,19.62,21.49,02a58903o0654c
58903.566529,-21.576,1.189,-8,10,c,0,0.93,263.14051,15.73588,7885.40,7056.37,2.60,2.58,20.9,-0.394,19.59,21.51,02a58903o0661c
58903.572069,-20.020,0.326,-36,12,c,0,0.95,263.14051,15.73588,7822.04,6977.22,2.89,2.79,-16.1,-0.384,19.49,21.53,02a58903o0673c
58903.590950,21.796,1.457,7,10,c,0,1.30,263.14051,15.73588,7812.11,7088.90,3.03,2.87,-62.8,-0.386,19.53,21.61,02a58903o0710c
58905.614941,-26.280,71.000,0,8,o,0,2.04,263.14051,15.73588,8550.57,3234.36,2.59,1.98,-88.7,-0.427,19.65,21.38,01a58905o0839o
58905.618464,-19.921,0.282,-39,11,o,0,0.88,263.14051,15.73588,8535.21,3196.60,2.74,1.94,89.1,-0.427,19.62,21.37,01a58905o0846o
58905.625860,-21.019,0.601,-14,8,o,0,1.64,263.14051,15.73588,8590.02,3272.54,2.47,1.83,-88.1,-0.435,19.74,21.31,01a58905o0861o
58905.636778,21.834,1.183,7,8,o,0,1.68,263.14051,15.73588,8610.35,3155.31,2.53,2.05,-87.0,-0.421,19.65,21.39,01a58905o0882o
58911.531044,22.603,3.348,3,11,c,0,0.82,263.14051,15.73588,5344.40,763.46,2.49,2.29,-48.6,-0.414,19.58,21.33,02a58911o0501c
58911.536154,-20.763,0.561,-18,10,c,0,1.16,263.14051,15.73588,5284.95,684.08,2.47,2.21,-50.3,-0.413,19.55,21.36,02a58911o0512c
58911.554539,25.207,30.000,0,9,c,0,1.32,263.14051,15.73588,5270.37,799.55,2.67,2.36,-51.1,-0.412,19.57,21.47,02a58911o0549c
58913.600875,20.765,0.519,18,9,o,0,1.64,263.14051,15.73588,894.59,7627.97,1.95,1.81,-65.6,-0.426,19.78,21.20,01a58913o0739o
