MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58902.612992,-21.505,1.549,-9,14,o,0,1.04,277.63342,42.68772,648.66,6703.78,3.15,2.69,-87.5,-0.366,19.33,20.83,01a58902o0863o
58902.615971,-22.018,2.606,-6,15,o,0,0.79,277.63342,42.68772,629.56,6666.29,3.16,2.59,87.8,-0.362,19.39,20.85,01a58902o0869o
58902.622112,20.216,0.515,30,15,o,0,0.98,277.63342,42.68772,692.04,6750.39,3.46,3.15,82.3,-0.380,19.14,20.84,01a58902o0881o
58902.627618,-20.707,0.590,-19,11,o,0,1.34,277.63342,42.68772,10350.22,6726.46,2.86,2.32,-85.7,-0.384,19.39,20.74,01a58902o0892o
58902.630865,-21.323,1.520,-11,16,o,0,1.02,277.63342,42.68772,10328.87,6678.41,3.31,2.77,84.9,-0.468,19.28,20.72,01a58902o0898o
58902.632243,-25.168,40.500,0,13,o,0,1.21,277.63342,42.68772,714.81,6637.62,2.92,2.47,-89.6,-0.398,19.42,20.84,01a58902o0901o
58902.636165,22.615,3.120,3,10,o,0,1.63,277.63342,42.68772,10390.59,6762.62,2.70,2.25,-88.5,-0.395,19.38,20.73,01a58902o0909o
58902.649793,-22.854,4.095,-3,11,o,0,1.36,277.63342,42.68772,10409.25,6639.16,2.75,2.18,-86.5,-0.374,19.39,20.68,01a58902o0937o
58906.551699,-24.274,19.800,-1,14,o,0,1.27,277.63342,42.68772,8170.73,303.06,2.64,2.36,-82.9,-0.382,19.09,20.24,01a58906o0659o
58910.616107,-22.125,1.761,-5,9,o,0,0.88,277.63342,42.68772,137.94,4700.58,1.83,1.79,-25.8,-0.421,19.70,21.00,01a58910o0844o
58910.616567,-24.705,20.400,0,10,o,0,1.14,277.63342,42.68772,10017.59,4669.36,2.13,2.06,-3.4,-0.395,19.68,20.87,01a58910o0845o
58910.619333,-22.844,3.548,-3,9,o,0,1.10,277.63342,42.68772,117.93,4662.90,2.03,1.93,80.5,-0.415,19.69,21.00,01a58910o0851o
58910.619794,-21.367,1.187,-10,12,o,0,0.64,277.63342,42.68772,9998.19,4628.90,2.12,2.12,60.3,-0.390,19.64,20.88,01a58910o0852o
58910.624768,-21.543,1.091,-9,10,o,0,0.90,277.63342,42.68772,174.27,4736.51,2.14,1.94,-10.5,-0.393,19.59,21.05,01a58910o0862o
58910.625229,-21.134,0.768,-13,10,o,0,0.93,277.63342,42.68772,10055.95,4706.40,2.21,2.18,4.8,-0.382,19.66,20.96,01a58910o0863o
58910.635479,21.311,0.808,11,9,o,0,1.08,277.63342,42.68772,195.39,4622.34,2.11,1.99,78.2,-0.410,19.67,21.05,01a58910o0885o
58910.638717,-21.890,1.725,-6,11,o,0,1.04,277.63342,42.68772,10079.10,4589.77,2.61,2.34,3.7,-0.365,19.52,20.93,01a58910o0892o
58910.661256,-22.841,6.727,-3,18,o,0,1.04,277.63342,42.68772,152.01,4690.70,2.03,1.83,84.8,-0.429,18.89,19.09,01a58910o0940o
58918.614907,-23.712,13.583,-1,16,o,0,1.56,277.63342,42.68772,4409.43,8945.69,2.26,2.09,-5.9,-0.393,18.88,19.32,01a58918o0674o
58918.618196,-21.655,2.376,-8,19,o,0,1.35,277.63342,42.68772,4391.11,8908.12,2.15,2.06,-6.8,-0.395,18.95,19.35,01a58918o0681o
58918.624833,22.248,4.528,5,21,o,0,1.23,277.63342,42.68772,4448.24,8986.37,2.49,2.38,13.7,-0.420,18.78,19.37,01a58918o0695o
58918.641281,-20.424,0.619,-25,15,o,0,1.05,277.63342,42.68772,4473.21,8872.65,2.03,1.95,-11.1,-0.409,18.99,19.44,01a58918o0728o
58932.618009,-22.125,1.722,-5,9,c,0,1.27,277.63342,42.68772,8017.69,3989.37,2.64,2.47,-54.4,-0.388,19.67,21.59,02a58932o0849c
58932.620906,-22.656,2.909,-3,9,c,0,1.07,277.63342,42.68772,8037.37,4030.53,2.63,2.48,-48.3,-0.383,19.61,21.58,02a58932o0855c
58932.630798,-21.334,0.836,-11,9,c,0,1.55,277.63342,42.68772,7980.68,3956.31,2.75,2.62,-59.6,-0.380,19.57,21.54,02a58932o0876c
58932.641991,21.413,0.986,10,10,c,0,1.30,277.63342,42.68772,7967.28,4070.11,2.54,2.37,-64.3,-0.392,19.56,21.24,02a58932o0898c
58934.522349,23.301,39.000,2,68,o,0,1.63,277.63342,42.68772,5652.77,795.28,2.41,2.18,-14.5,-0.388,17.23,18.57,01a58934o0641o
58934.525219,-21.497,7.500,-9,69,o,0,1.26,277.63342,42.68772,5631.97,753.93,2.39,2.23,-20.1,-0.391,17.17,18.50,01a58934o0647o
58934.530505,18.546,0.875,139,121,o,0,0.65,277.63342,42.68772,5695.36,839.44,2.52,2.20,-13.8,-0.378,17.09,18.40,01a58934o0657o
58934.541738,19.185,1.100,77,85,o,0,1.32,277.63342,42.68772,5710.13,716.08,2.95,2.89,-33.9,-0.361,17.02,18.59,01a58934o0680o
58934.644570,20.244,1.133,29,33,o,0,1.08,277.63342,42.68772,5647.38,778.54,2.16,2.01,-12.0,-0.404,18.41,19.32,01a58934o0893o
58942.584827,20.937,0.768,15,12,o,0,1.34,277.63342,42.68772,7660.30,713.31,2.15,2.01,-75.3,-0.419,19.38,20.72,01a58942o0483o
58942.588067,-21.682,1.533,-8,12,o,0,1.41,277.63342,42.68772,7639.61,673.67,2.13,1.99,-78.1,-0.427,19.31,20.67,01a58942o0490o
58942.593297,-21.468,1.055,-9,10,o,0,2.02,277.63342,42.68772,7699.08,752.14,2.25,2.15,-65.9,-0.405,19.41,20.81,01a58942o0501o
58942.610262,-21.614,2.516,-8,21,o,0,0.97,277.63342,42.68772,7714.37,636.40,2.59,2.27,-13.7,-0.355,18.70,20.06,01a58942o0537o
58942.641871,21.259,1.308,11,15,o,0,1.01,277.63342,42.68772,7665.00,694.48,2.16,2.08,-60.7,-0.420,19.32,20.32,01a58942o0602o
58946.573003,-20.473,2.422,-24,57,o,0,1.50,277.63342,42.68772,6095.18,4781.62,2.10,2.05,-31.1,-0.405,17.44,17.48,01a58946o0717o
58946.576801,-22.376,13.576,-4,55,o,0,0.87,277.63342,42.68772,6075.23,4743.43,2.03,1.97,-33.4,-0.400,17.78,17.99,01a58946o0725o
58946.582811,-21.269,2.792,-11,32,o,0,0.94,277.63342,42.68772,6133.37,4821.28,2.06,2.03,-24.6,-0.395,18.25,18.41,01a58946o0738o
58946.595104,-20.712,2.063,-19,39,o,0,0.93,277.63342,42.68772,6150.78,4705.59,1.98,1.94,-47.6,-0.409,18.07,18.11,01a58946o0764o
58946.635032,-22.788,9.367,-3,26,o,0,0.91,277.63342,42.68772,6105.08,4764.68,1.98,1.93,-62.6,-0.401,18.52,18.81,01a58946o0847o
58950.541998,23.384,9.611,2,16,o,0,1.11,277.63342,42.68772,6094.51,4777.94,2.11,1.91,-7.8,-0.384,19.11,19.76,01a58950o0674o
58950.545860,21.144,1.013,13,13,o,0,1.18,277.63342,42.68772,6074.74,4741.12,2.03,1.84,-6.1,-0.383,19.16,19.76,01a58950o0682o
58950.553531,-21.087,1.088,-13,14,o,0,1.21,277.63342,42.68772,6133.93,4817.27,2.01,1.87,-6.2,-0.385,19.14,19.71,01a58950o0698o
58950.563868,21.415,1.774,10,18,o,0,1.04,277.63342,42.68772,6153.81,4701.74,2.01,1.88,-7.9,-0.388,18.86,19.31,01a58950o0720o
58950.637031,23.540,11.611,1,16,o,0,0.91,277.63342,42.68772,6103.93,4763.93,1.96,1.80,-7.9,-0.393,19.12,19.60,01a58950o0875o
58956.599541,-22.439,3.194,-4,12,o,0,0.86,277.63342,42.68772,2320.01,1276.03,2.34,2.14,-60.0,-0.454,19.49,20.84,02a58956o0776o
