MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58905.589693,21.069,0.673,14,9,o,0,3.57,243.43963,22.92066,1517.79,7015.52,2.75,2.17,-89.7,-0.413,19.76,21.57,01a58905o0789o
58905.592513,22.837,3.304,3,9,o,0,5.23,243.43963,22.92066,1498.71,6977.84,2.61,2.06,89.8,-0.424,19.80,21.60,01a58905o0795o
58905.598493,21.280,0.906,11,10,o,0,1.94,243.43963,22.92066,1557.01,7055.01,2.50,1.96,90.0,-0.423,19.85,21.61,01a58905o0806o
58905.609983,-23.233,5.250,-2,10,o,0,2.60,243.43963,22.92066,1576.76,6939.96,2.63,2.06,-89.0,-0.419,19.81,21.64,01a58905o0829o
58905.666488,20.002,1.021,36,37,o,0,1.44,243.43963,22.92066,9020.95,3539.70,2.43,1.78,-86.4,-0.462,18.25,18.20,01a58905o0937o
58911.535696,-21.020,0.586,-14,8,c,0,2.77,243.43963,22.92066,8390.09,7130.41,2.86,2.31,34.4,-0.381,19.76,21.78,02a58911o0511c
58911.538463,-21.656,1.140,-8,9,c,0,2.53,243.43963,22.92066,8409.47,7169.33,2.72,2.33,34.5,-0.386,19.77,21.80,02a58911o0517c
58911.556835,-20.010,0.198,-36,7,c,0,3.19,243.43963,22.92066,8353.78,7094.11,2.63,2.34,34.1,-0.391,19.83,21.84,02a58911o0554c
58911.562420,-22.370,2.100,-4,9,c,0,2.76,243.43963,22.92066,8332.56,7211.90,2.56,2.39,-59.9,-0.405,19.84,21.84,02a58911o0566c
58913.569347,-20.481,0.476,-23,11,o,0,1.98,243.43963,22.92066,4606.12,1131.08,2.26,1.92,-9.1,-0.412,19.79,21.26,01a58913o0676o
58913.573339,21.509,0.882,9,8,o,0,2.67,243.43963,22.92066,4665.13,1209.40,2.17,1.88,-10.9,-0.414,19.80,21.29,01a58913o0684o
58913.583883,-20.865,0.670,-16,11,o,0,2.51,243.43963,22.92066,4681.99,1089.60,2.00,1.76,-10.0,-0.423,19.91,21.37,01a58913o0705o
58917.516205,-19.939,0.808,-38,31,o,0,1.58,243.43963,22.92066,4633.16,1170.86,3.00,2.34,-7.5,-0.399,18.57,18.86,01a58917o0625o
58917.521535,20.253,0.865,29,25,o,0,1.78,243.43963,22.92066,4608.01,1127.91,2.19,1.93,-10.2,-0.425,18.76,18.89,01a58917o0635o
58917.525348,-20.285,1.005,-28,28,o,0,1.22,243.43963,22.92066,4670.40,1209.50,2.93,2.25,-8.8,-0.384,18.62,18.91,01a58917o0643o
58917.536226,21.950,4.475,6,27,o,0,1.09,243.43963,22.92066,4683.80,1086.65,2.27,1.99,-7.4,-0.421,18.83,18.97,01a58917o0666o
58925.586312,-19.441,0.201,-61,12,o,0,3.22,243.43963,22.92066,6145.56,5141.70,2.63,2.62,-30.5,-0.387,19.24,21.23,01a58925o0312o
58925.589136,-22.634,3.789,-3,12,o,0,2.31,243.43963,22.92066,6125.89,5103.33,2.46,2.45,31.0,-0.384,19.26,21.17,01a58925o0318o
58925.599312,21.277,1.394,11,16,o,0,3.46,243.43963,22.92066,6184.57,5179.24,2.07,1.86,3.0,-0.397,18.93,20.67,01a58925o0338o
58925.610927,20.866,1.600,16,26,o,0,0.99,243.43963,22.92066,6202.88,5064.15,2.04,1.80,-1.1,-0.407,18.53,20.40,01a58925o0361o
58931.600264,21.573,1.106,8,9,c,0,2.22,243.43963,22.92066,9044.07,1602.84,2.61,2.25,-53.1,-0.412,19.79,21.82,02a58931o0748c
58931.605601,-20.486,0.345,-23,8,c,0,2.84,243.43963,22.92066,9065.17,1640.67,2.70,2.29,-52.9,-0.404,19.75,21.81,02a58931o0759c
58931.609205,-21.200,0.678,-12,8,c,0,2.47,243.43963,22.92066,9009.72,1568.62,2.65,2.37,-51.7,-0.407,19.74,21.82,02a58931o0765c
58931.619329,-22.066,1.675,-5,9,c,0,2.88,243.43963,22.92066,1594.07,8893.83,2.60,2.19,-39.3,-0.422,19.79,21.84,02a58931o0785c
58931.649342,22.299,4.147,4,18,c,0,2.34,243.43963,22.92066,1551.18,8954.19,2.54,2.21,-46.0,-0.430,19.13,20.30,02a58931o0841c
58933.495507,-20.664,0.597,-20,12,o,0,1.80,243.43963,22.92066,6077.26,3213.32,2.95,2.55,-5.4,-0.358,19.36,21.04,01a58933o0557o
58933.499202,-20.929,0.632,-15,10,o,0,3.66,243.43963,22.92066,6057.47,3174.30,2.72,2.34,-7.5,-0.368,19.44,21.07,01a58933o0565o
58933.505243,-21.393,1.121,-10,11,o,0,2.31,243.43963,22.92066,6115.53,3252.06,2.84,2.49,-5.8,-0.382,19.42,21.09,01a58933o0578o
58933.516478,23.050,5.105,2,11,o,0,2.06,243.43963,22.92066,6132.46,3133.13,2.33,2.28,-64.7,-0.393,19.50,21.07,01a58933o0602o
58937.581511,-21.824,1.492,-7,10,o,0,2.32,243.43963,22.92066,8546.40,3116.40,2.39,1.93,-89.5,-0.399,19.55,20.94,01a58937o0604o
58937.584751,-23.484,6.706,-2,10,o,0,8.89,243.43963,22.92066,1631.90,7202.91,2.14,1.71,-88.4,-0.410,19.61,21.03,01a58937o0610o
58937.592545,22.885,3.871,2,10,o,0,6.55,243.43963,22.92066,1572.82,7155.80,2.17,1.71,-86.1,-0.419,19.74,21.14,01a58937o0626o
58937.608255,21.939,1.389,6,8,o,0,4.40,243.43963,22.92066,1554.18,7333.24,2.24,1.71,-84.4,-0.412,19.76,21.24,01a58937o0655o
