MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58901.600050,20.662,0.638,20,13,o,0,4.13,256.72750,30.27150,1276.88,2954.49,2.62,2.14,78.9,-0.406,19.46,20.79,01a58901o0785o
58901.603907,-23.384,8.077,-2,13,o,0,2.28,256.72750,30.27150,1257.02,2916.70,2.64,2.18,77.9,-0.403,19.44,20.80,01a58901o0793o
58901.610067,20.299,0.484,28,13,o,0,2.57,256.72750,30.27150,1317.99,2996.55,2.70,2.24,78.7,-0.396,19.45,20.83,01a58901o0806o
58901.619951,19.888,0.320,40,13,o,0,3.93,256.72750,30.27150,1336.80,2881.90,2.37,2.04,78.4,-0.411,19.54,20.81,01a58901o0827o
58903.660305,-22.405,3.074,-4,12,c,0,2.68,256.72750,30.27150,6174.72,9393.83,2.71,2.39,-45.5,-0.431,19.57,21.14,02a58903o0845c
58903.662854,21.876,2.279,6,15,c,0,2.61,256.72750,30.27150,6195.45,9432.67,2.74,2.46,-41.0,-0.430,19.30,20.64,02a58903o0850c
58903.663769,-19.719,0.395,-47,19,c,0,1.21,256.72750,30.27150,6135.86,9354.91,2.69,2.39,-45.4,-0.430,19.17,20.43,02a58903o0852c
58903.666056,-20.000,0.749,-36,27,c,0,1.77,256.72750,30.27150,6119.73,9471.50,2.70,2.42,-42.4,-0.433,18.80,19.85,02a58903o0857c
58905.631889,18.322,0.101,170,17,o,0,12.65,256.72750,30.27150,99.01,932.34,2.37,1.77,72.7,-0.479,19.89,21.62,01a58905o0873o
58905.632352,-19.184,0.130,-77,10,o,0,12.05,256.72750,30.27150,10385.34,902.52,2.60,1.92,-88.3,-0.434,19.82,21.56,01a58905o0874o
58905.635304,18.427,0.105,155,16,o,0,8.20,256.72750,30.27150,78.38,891.61,2.37,1.84,70.5,-0.465,19.85,21.62,01a58905o0879o
58905.635766,-20.402,0.412,-25,10,o,0,9.27,256.72750,30.27150,10366.19,859.94,2.57,1.97,-86.6,-0.432,19.80,21.58,01a58905o0880o
58905.644465,19.574,0.199,54,11,o,0,5.78,256.72750,30.27150,137.11,970.01,2.21,1.78,71.4,-0.465,19.86,21.65,01a58905o0897o
58905.650897,-19.985,0.332,-37,12,o,0,4.34,256.72750,30.27150,10424.04,939.00,2.55,1.94,-87.3,-0.438,19.79,21.43,01a58905o0908o
58905.655434,21.750,1.387,7,10,o,0,12.26,256.72750,30.27150,154.48,853.99,2.29,1.76,72.5,-0.481,19.67,21.11,01a58905o0916o
58905.656714,-19.992,0.243,-37,9,o,0,13.20,256.72750,30.27150,10444.37,820.42,2.31,1.91,-76.3,-0.413,19.73,20.82,01a58905o0918o
58911.595856,19.712,2.422,47,115,c,0,0.83,256.72750,30.27150,10527.42,2959.97,2.57,2.24,-52.4,-0.416,19.87,21.91,02a58911o0634c
58911.599546,21.100,0.736,13,10,c,0,5.47,256.72750,30.27150,644.59,3029.65,2.56,2.17,-54.5,-0.404,19.83,21.87,02a58911o0642c
58911.601899,-18.907,0.125,-99,12,c,0,5.72,256.72750,30.27150,10503.06,3080.50,2.46,2.31,-24.5,-0.405,19.85,21.94,02a58911o0647c
58911.603309,20.586,0.444,21,9,c,0,4.25,256.72750,30.27150,664.75,3068.63,2.58,2.15,-55.0,-0.403,19.86,21.89,02a58911o0650c
58911.610827,22.911,3.368,2,8,c,0,4.19,256.72750,30.27150,614.89,2986.78,2.68,2.18,-56.6,-0.412,19.83,21.90,02a58911o0665c
