MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58959.608516,-23.342,10.300,-2,17,c,0,1.56,344.64262,15.17085,7111.07,3769.07,2.68,2.36,31.8,-0.387,19.09,20.48,02a58959o0769c
58959.612838,-20.342,0.564,-26,15,c,0,2.10,344.64262,15.17085,7131.97,3806.65,2.38,2.35,-54.2,-0.399,19.18,20.47,02a58959o0776c
58959.619746,-21.663,2.021,-8,16,c,0,2.06,344.64262,15.17085,7072.74,3728.83,2.77,2.33,36.6,-0.386,19.02,20.35,02a58959o0791c
58959.631323,21.565,6.923,9,60,c,0,0.89,344.64262,15.17085,7054.29,3842.93,2.86,2.41,37.6,-0.377,17.63,18.70,02a58959o0811c
58973.595277,19.786,0.302,44,13,o,0,6.01,344.64262,15.17085,1130.82,6414.50,1.98,1.85,-11.9,-0.407,19.26,20.07,01a58973o0718o
58973.612001,20.175,0.436,31,14,o,0,4.83,344.64262,15.17085,1112.34,6375.42,1.88,1.74,-16.5,-0.419,19.30,20.01,01a58973o0754o
58973.616175,-19.255,0.252,-72,18,o,0,4.54,344.64262,15.17085,1171.22,6452.97,1.95,1.78,-16.2,-0.412,19.17,19.74,01a58973o0763o
58975.593377,19.296,0.439,69,30,o,0,1.63,344.64262,15.17085,9384.18,2191.48,2.27,1.80,-51.0,-0.450,18.56,18.78,02a58975o0761o
58975.603182,19.412,0.483,62,30,o,0,1.36,344.64262,15.17085,9396.03,2231.56,2.20,1.85,-54.4,-0.445,18.62,18.91,02a58975o0781o
58975.615299,-26.276,274.000,0,31,o,0,1.71,344.64262,15.17085,9341.86,2153.35,2.28,1.95,-57.6,-0.441,18.64,18.95,02a58975o0806o
58975.618991,-20.151,1.004,-32,32,o,0,1.25,344.64262,15.17085,9319.79,2271.08,2.29,1.92,-58.3,-0.448,18.56,18.81,02a58975o0814o
58989.588809,-19.928,0.341,-39,13,o,0,2.77,344.64262,15.17085,3190.40,480.06,2.53,2.10,-8.5,-0.371,19.37,20.56,01a58989o0740o
58989.599437,-20.289,0.425,-28,12,o,0,3.01,344.64262,15.17085,3169.94,441.61,2.38,2.00,-5.8,-0.390,19.44,20.58,01a58989o0763o
58989.610555,-20.551,0.601,-22,13,o,0,2.30,344.64262,15.17085,3228.65,520.08,2.55,2.13,-11.9,-0.372,19.30,20.34,01a58989o0787o
58989.615177,23.582,11.467,1,15,o,0,2.50,344.64262,15.17085,3246.74,403.16,2.14,1.88,-8.1,-0.409,19.15,19.69,01a58989o0797o
58999.590176,20.968,0.675,15,10,c,0,2.61,344.64262,15.17085,4784.45,6288.54,2.46,2.27,35.5,-0.400,19.72,21.57,02a58999o0717c
58999.595283,-20.282,0.272,-28,8,c,0,3.88,344.64262,15.17085,4802.57,6327.23,2.53,2.25,39.4,-0.395,19.74,21.58,02a58999o0728c
58999.608807,-20.907,0.607,-16,10,c,0,2.16,344.64262,15.17085,4741.97,6251.30,2.65,2.26,38.3,-0.388,19.59,21.16,02a58999o0753c
58999.613855,21.703,1.689,8,13,c,0,1.52,344.64262,15.17085,4723.48,6368.35,2.52,2.28,34.4,-0.389,19.27,20.41,02a58999o0764c
59001.592875,-21.095,0.833,-13,11,o,0,7.47,344.64262,15.17085,3552.78,8722.96,1.92,1.73,-10.7,-0.409,19.72,21.02,01a59001o0680o
59001.602570,19.996,0.277,36,10,o,0,5.20,344.64262,15.17085,3533.63,8685.24,1.88,1.72,-17.3,-0.415,19.74,20.96,01a59001o0699o
59001.605268,-20.006,0.326,-36,12,o,0,6.50,344.64262,15.17085,3592.26,8764.07,1.91,1.74,-12.4,-0.418,19.67,20.87,01a59001o0704o
