MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59003.581305,-20.597,0.625,-21,13,o,0,1.70,345.29006,23.48722,4888.82,438.99,2.04,2.01,81.2,-0.441,19.25,20.17,02a59003o0718o
59003.600138,22.719,4.118,3,12,o,0,1.89,345.29006,23.48722,4903.58,477.94,1.93,1.81,-68.7,-0.463,19.61,20.87,02a59003o0756o
59003.610517,-20.257,0.465,-29,13,o,0,1.58,345.29006,23.48722,4847.82,400.25,2.03,1.91,-65.3,-0.448,19.34,20.28,02a59003o0776o
59005.564800,-22.499,5.800,-4,21,o,0,0.98,345.29006,23.48722,1122.11,4517.27,2.13,1.94,-13.4,-0.399,18.84,19.18,01a59005o0680o
59005.568497,21.731,2.615,7,19,o,0,1.00,345.29006,23.48722,1102.13,4480.47,2.23,1.95,-8.9,-0.391,18.81,19.20,01a59005o0688o
59007.567087,-20.918,1.445,-16,22,o,0,0.93,345.29006,23.48722,4881.44,438.25,2.02,1.75,-52.7,-0.464,19.04,19.46,02a59007o0685o
59007.570325,23.630,12.067,1,16,o,0,1.60,345.29006,23.48722,4899.63,478.15,1.91,1.76,-60.3,-0.478,19.07,19.49,02a59007o0692o
59007.575559,-21.138,1.424,-13,18,o,0,1.22,345.29006,23.48722,4836.45,399.03,2.04,1.79,59.0,-0.426,19.05,19.53,02a59007o0702o
59007.593623,23.095,9.455,2,20,o,0,0.98,345.29006,23.48722,4816.81,518.31,2.07,1.84,-53.6,-0.458,19.11,19.61,02a59007o0741o
59009.583211,-18.208,1.532,-189,290,o,0,0.91,345.29006,23.48722,1863.37,10347.24,2.19,2.05,-58.1,-0.405,15.76,16.41,01a59009o0725o
59009.586488,20.318,1.268,27,34,o,0,2.68,345.29006,23.48722,903.08,132.39,2.54,2.37,-0.8,-0.435,18.13,18.97,01a59009o0732o
59009.588330,20.171,0.659,31,20,o,0,1.09,345.29006,23.48722,1845.46,10310.03,2.51,2.35,-59.0,-0.414,18.78,19.75,01a59009o0736o
59009.597874,19.822,5.086,43,218,o,0,0.66,345.29006,23.48722,880.94,95.50,2.49,2.22,-8.4,-0.478,18.36,19.44,01a59009o0755o
59009.604954,20.061,0.679,34,23,o,0,1.31,345.29006,23.48722,1905.23,10389.52,2.21,2.06,-64.1,-0.433,18.68,19.66,01a59009o0768o
59009.609873,18.356,0.892,165,147,o,0,1.02,345.29006,23.48722,1925.55,10272.58,2.23,2.13,-58.5,-0.410,16.31,16.84,01a59009o0778o
59009.610811,20.326,2.048,27,55,o,0,1.43,345.29006,23.48722,939.10,175.47,2.62,2.47,-10.9,-0.467,16.17,16.89,01a59009o0780o
59009.614804,-17.222,0.691,-469,324,o,0,0.81,345.29006,23.48722,956.84,57.75,2.39,2.23,2.8,-0.480,17.42,17.81,01a59009o0787o
59013.572118,21.198,1.137,12,14,o,0,1.21,345.29006,23.48722,897.96,129.97,2.04,1.82,2.9,-0.498,19.51,20.55,01a59013o0697o
59013.573038,-20.745,0.624,-18,11,o,0,2.71,345.29006,23.48722,1859.21,10347.38,1.85,1.68,-62.3,-0.448,19.53,20.50,01a59013o0699o
59013.597234,19.638,0.316,51,16,o,0,2.39,345.29006,23.48722,874.29,95.31,2.00,1.85,5.9,-0.516,19.45,20.53,01a59013o0745o
59013.597696,20.344,0.388,26,10,o,0,2.16,345.29006,23.48722,1843.93,10311.71,1.91,1.71,-60.5,-0.454,19.55,20.49,01a59013o0746o
59013.599600,23.250,7.737,2,14,o,0,0.86,345.29006,23.48722,934.32,173.07,2.08,1.90,0.7,-0.504,19.47,20.50,01a59013o0750o
59013.601534,23.241,6.417,2,12,o,0,1.20,345.29006,23.48722,1900.81,10390.40,1.93,1.74,-62.3,-0.449,19.42,20.32,01a59013o0753o
59013.605596,21.073,1.039,14,14,o,0,1.79,345.29006,23.48722,1921.20,10272.99,2.06,1.89,-25.9,-0.437,19.35,20.32,01a59013o0761o
59013.608566,-22.232,5.796,-5,27,o,0,2.62,345.29006,23.48722,952.20,58.27,1.99,1.86,8.8,-0.510,19.45,20.33,01a59013o0767o
59017.567610,-23.312,4.500,-2,8,o,0,1.91,345.29006,23.48722,7011.84,6136.86,1.94,1.87,-23.8,-0.412,19.80,21.13,01a59017o0695o
59017.575905,23.376,4.750,2,8,o,0,2.57,345.29006,23.48722,6993.13,6100.12,1.96,1.90,-24.9,-0.409,19.72,20.96,01a59017o0713o
59017.579794,-20.513,0.470,-23,11,o,0,1.03,345.29006,23.48722,7050.21,6175.34,1.98,1.92,-33.7,-0.408,19.74,20.98,01a59017o0721o
59017.597162,22.521,2.721,4,10,o,0,1.27,345.29006,23.48722,7069.19,6059.77,2.00,1.93,-34.8,-0.413,19.75,21.05,01a59017o0756o
59021.531957,-21.101,0.836,-13,11,o,0,1.12,345.29006,23.48722,7008.91,6139.36,2.23,2.03,-5.9,-0.382,19.47,20.67,01a59021o0605o
59021.535753,21.019,0.703,14,10,o,0,1.61,345.29006,23.48722,6988.84,6097.58,2.25,2.12,-6.8,-0.413,19.52,20.67,01a59021o0613o
