# #JD, Flux, Err, Zp
2.458904023229199927e+06 -1.111957102467279945e+01 2.888820127851300157e+01 2.619539999999999935e+01
2.458904944166699890e+06 -3.286249720695050058e+01 3.605377759090659850e+01 2.608990000000000009e+01
2.458909027349550277e+06 -2.227247723009979907e+01 1.890620702715087731e+01 2.496535000000000082e+01
2.458911978315950371e+06 -4.990975916639300181e+00 2.161907964736300514e+01 2.610394999999999754e+01
2.458914978703700006e+06 -1.376482510616600052e+01 3.688534812703230159e+01 2.571290000000000120e+01
2.458936963732650038e+06 7.517375649697148887e+00 1.556410149879915927e+01 2.608995000000000175e+01
2.458939957320599817e+06 1.384768790525749083e+00 2.136478958593210464e+01 2.472489999999999810e+01
2.458940878692099825e+06 -9.516913183981710489e+00 2.601512789593530073e+01 2.572119999999999962e+01
2.458941979004600085e+06 -1.155537940364880001e+01 2.491219692270960095e+01 2.607219999999999871e+01
2.458943915086800233e+06 -9.759368085043080399e+00 2.950452930529129603e+01 2.609729999999999706e+01
2.458954878043999895e+06 -2.369078706839420079e+01 2.947311142862569966e+01 2.609809999999999874e+01
2.458955832638899796e+06 -2.695312715949830018e+00 2.327255522510100150e+01 2.610409999999999897e+01
2.458963828871499747e+06 9.109923489543444930e+01 1.615963951443287527e+01 2.610454999999999970e+01
2.458964839971050154e+06 2.423563125722495215e+01 1.706243873675272482e+01 2.612310000000000088e+01
2.458967773802099749e+06 7.602899580325895101e+01 1.727526549256160848e+01 2.608099999999999952e+01
2.458970793831000105e+06 2.372965810973440171e+02 2.286027829285759339e+01 2.615194999999999936e+01
2.458973751672450453e+06 3.675725489504029611e+02 4.090867507277131665e+01 2.611315000000000097e+01
2.458976705167849548e+06 5.681780656054310157e+02 8.732178759240848365e+01 2.608285000000000053e+01
2.458979758819450159e+06 6.209924377057185438e+02 2.808510112597113562e+01 2.603395000000000081e+01
2.458985793993100058e+06 4.785750812610469893e+02 2.556278154481950082e+01 2.612630000000000052e+01
2.458991795549749862e+06 2.984358162365005001e+02 1.813001370564006720e+01 2.613405000000000200e+01
2.458994751481499989e+06 2.340033731789330034e+02 2.330834555806890052e+01 2.612590000000000146e+01
2.458995800833300222e+06 2.140479420107990052e+02 2.716081016442920060e+01 2.614049999999999940e+01
2.458997710451399907e+06 1.632372840693799958e+02 2.840006525316309904e+01 2.611390000000000100e+01
2.458998837789400015e+06 1.601139013554399924e+02 2.241243370856350126e+01 2.610859999999999914e+01
