# #JD, Flux, Err, Zp
2.458901001574099995e+06 3.106989749718309923e+01 3.123229687681320144e+01 2.528470000000000084e+01
2.458905012581000105e+06 -1.297250959698249950e+01 3.121775594545630028e+01 2.602730000000000032e+01
2.458909003825250082e+06 -4.523776829001364774e+01 2.692631549770996102e+01 2.467200000000000060e+01
2.458911978680550121e+06 5.091724813798450100e+00 2.654916049408415191e+01 2.601319999999999766e+01
2.458913981226900127e+06 1.400677897811699957e+01 2.506261659925370111e+01 2.572950000000000159e+01
2.458915005324049853e+06 1.900001333623350064e+01 1.819307306769419341e+01 2.602270000000000039e+01
2.458936947436350398e+06 1.787764617834693937e+01 1.680403008803946108e+01 2.600254999999999939e+01
2.458939904641199857e+06 -7.387600210851650218e+01 2.873155079118489752e+01 2.429319999999999879e+01
2.458940916122700088e+06 7.102165097942460648e+01 4.264214096070239890e+01 2.434710000000000107e+01
2.458941901932899840e+06 2.310481345226409999e+01 3.401509345236669901e+01 2.600120000000000076e+01
2.458944895555600058e+06 -2.777391514808810058e+01 5.599489479026090066e+01 2.599429999999999907e+01
2.458954949311350007e+06 -8.894108462811500360e+00 3.070714211068436583e+01 2.599119999999999919e+01
2.458956856307900045e+06 -2.588063476241219973e+01 2.836908105890639931e+01 2.535419999999999874e+01
2.458961904340249952e+06 1.627300635617845046e+02 2.876058120475796187e+01 2.596954999999999814e+01
2.458964781296249945e+06 9.607650993603344602e+01 1.935327829011264100e+01 2.597930000000000206e+01
2.458965828055600170e+06 1.181300012983139993e+02 2.454249184152720176e+01 2.600069999999999837e+01
2.458967845381950028e+06 2.020820512833660132e+02 1.956506198881785963e+01 2.599414999999999765e+01
2.458969809930600226e+06 5.987425124534470200e+01 3.908500698989750077e+01 2.454370000000000118e+01
2.458970859872650355e+06 3.210140919273345048e+02 1.928932573452459920e+01 2.605409999999999826e+01
2.458973804629649967e+06 4.959027832181660074e+02 3.705237515456814634e+01 2.604064999999999941e+01
2.458976803767350037e+06 5.907027149187380246e+02 8.062861498007281114e+01 2.601800000000000068e+01
2.458979797795150429e+06 6.978060805178359942e+02 3.274503032802132196e+01 2.599589999999999890e+01
2.458985781886549667e+06 7.175667526849565547e+02 1.910018934524007150e+01 2.601794999999999902e+01
2.458991771006899886e+06 5.837997976442840127e+02 2.939258776131969952e+01 2.603579999999999828e+01
2.458994773715300020e+06 4.586208614731410194e+02 2.707363049990210158e+01 2.600570000000000093e+01
2.458995754571800120e+06 4.565046312531230228e+02 2.404366519100980071e+01 2.603669999999999973e+01
2.458998767754649743e+06 3.609199306614709712e+02 1.950194168343057299e+01 2.601774999999999949e+01
2.459001731898100115e+06 3.593654838493670240e+02 4.989453639799229734e+01 2.599060000000000059e+01
2.459004750752300024e+06 5.274264086780240177e+02 8.569622011375089699e+01 2.605659999999999954e+01
2.459009706012750044e+06 2.054504348997434988e+02 2.756667649388277042e+01 2.607939999999999969e+01
2.459012731996499933e+06 2.352256596467514953e+02 1.930930353168221814e+01 2.607764999999999844e+01
2.459015713587999810e+06 2.611847499378609996e+02 2.814063028514430087e+01 2.601869999999999905e+01
2.459016737499999814e+06 2.084249766287800014e+02 3.443806383665879878e+01 2.596880000000000166e+01
2.459019713240699843e+06 2.203978853090119969e+02 2.567458635584160120e+01 2.605480000000000018e+01
2.459021735775500070e+06 1.625158894678029924e+02 2.623365852785750008e+01 2.603490000000000038e+01
2.459022720023099799e+06 2.024065646092880115e+02 2.240880479991639973e+01 2.607560000000000144e+01
2.459024713692099787e+06 1.644852232810430053e+02 2.711608704195640129e+01 2.581840000000000046e+01
2.459025688981499989e+06 2.008642681115059929e+02 2.481915202894110095e+01 2.585709999999999908e+01
2.459027754942100029e+06 1.572389405916649991e+02 3.719471901989240337e+01 2.592360000000000042e+01
2.459028714536999818e+06 1.720690127121970079e+02 3.852227920642509673e+01 2.597640000000000171e+01
2.459031711562499870e+06 1.686103036246059901e+02 5.602980427964750021e+01 2.596349999999999980e+01
2.459033672824100126e+06 1.870829472812359882e+02 6.677008648573540484e+01 2.607000000000000028e+01
2.459034813483799808e+06 1.635076710649829863e+02 7.826418277525560541e+01 2.594999999999999929e+01
2.459036778252299875e+06 1.942256766475179859e+02 6.092255023656699819e+01 2.602489999999999881e+01
2.459037691261599772e+06 1.185991038334680070e+02 3.732986079541740310e+01 2.603200000000000003e+01
2.459039728935199790e+06 1.676559337492319912e+02 2.617459263060399977e+01 2.605979999999999919e+01
2.459040698530099820e+06 1.668917499081730114e+02 2.825978950331580108e+01 2.605799999999999983e+01
2.459042712569400202e+06 1.162767510943299953e+02 2.858891154158590098e+01 2.598799999999999955e+01
2.459043734363399912e+06 1.119295133170780048e+02 3.275052375550190220e+01 2.596379999999999910e+01
