# #JD, Flux, Err, Zp
2.458805015520799905e+06 -9.694833671667089448e+01 8.524357126313779531e+01 2.594069999999999965e+01
2.458829046469899826e+06 -4.235067890634520182e+01 8.614632670228660061e+01 2.626500000000000057e+01
2.458838998599499930e+06 1.174946870944870057e+02 5.327018405347330088e+01 2.551899999999999835e+01
2.458851041597200092e+06 -8.037597590223890620e+01 3.723184494098639874e+01 2.624139999999999873e+01
2.458854002847199794e+06 -4.744800934866960063e+01 2.744406933552509997e+01 2.625230000000000175e+01
2.458857040277800057e+06 -5.561250634244649937e+00 2.751964095392339971e+01 2.625929999999999964e+01
2.458861960405100137e+06 -1.247999339715940010e+02 1.133403887113630049e+02 2.625949999999999918e+01
2.458873899826399982e+06 -2.563601879334339984e+01 2.691726674522449869e+01 2.599690000000000012e+01
2.458877006180599798e+06 -6.611658613340399882e+01 2.869590419374269885e+01 2.626300000000000168e+01
2.458880960034700111e+06 -6.219643844702900282e+01 3.219939343731059722e+01 2.624419999999999931e+01
2.458881960567099974e+06 -2.438460882546999997e+01 2.837400126054609828e+01 2.626170000000000115e+01
2.458884941400500014e+06 -7.089575528282060191e+01 6.050465015374020084e+01 2.628640000000000043e+01
2.458885942546300124e+06 -1.076287353174659955e+02 7.026207198784349828e+01 2.628569999999999851e+01
2.458886960202550050e+06 1.174216711488639930e+01 4.259655909984196853e+01 2.628674999999999784e+01
2.458888795162000228e+06 -1.604035134808690088e+02 1.332022713830089913e+02 2.613149999999999906e+01
2.458894873981500044e+06 -8.268694134329740564e+01 3.838042304708559982e+01 2.624769999999999825e+01
2.458895882719899993e+06 -5.593026192083320325e+01 2.930598498568490129e+01 2.623629999999999995e+01
2.458898897065999918e+06 -3.779331656186965205e+01 1.723169645995454857e+01 2.627045000000000030e+01
2.458899896932899952e+06 -4.598446737588609778e+00 2.765801231775990132e+01 2.623229999999999862e+01
2.458900857164400164e+06 -8.531855406031599642e+00 2.745566372424950075e+01 2.623079999999999856e+01
2.458905794085599948e+06 6.587483093332029860e+00 4.098328931087470295e+01 2.614059999999999917e+01
2.458906853171300143e+06 -4.105908727147880199e+01 3.230162203145790301e+01 2.620730000000000004e+01
2.458908836869199760e+06 -8.870184603736955609e+00 2.157351362354929591e+01 2.620649999999999835e+01
2.458909776030099951e+06 8.228526253884160369e+00 6.567625446693089941e+01 2.617439999999999856e+01
2.458911898043999914e+06 -3.167920077439779902e+01 2.587073710713835695e+01 2.620854999999999890e+01
2.458912773900500033e+06 -3.261517069433160287e+01 4.781354377066239891e+01 2.615869999999999962e+01
2.458913832245400175e+06 5.116779838268720404e+00 3.909039941538080143e+01 2.618019999999999925e+01
2.458914922453700099e+06 -3.135663874655291750e+01 3.564379951934955670e+01 2.616819999999999879e+01
2.458915942592599895e+06 1.392680146338780034e+01 7.218021422301630707e+01 2.608269999999999911e+01
2.458936812916699797e+06 -4.530162828384450080e+01 2.440956413784880041e+01 2.621930000000000049e+01
2.458939813425899949e+06 -5.409972525861660131e+01 3.240943382401729878e+01 2.557939999999999969e+01
2.458940858460649848e+06 5.898120430896829802e+00 2.779676701730849331e+01 2.380380000000000251e+01
2.458941767222200055e+06 1.873030879351360056e+01 4.372806792093030026e+01 2.623310000000000031e+01
2.458944747661999892e+06 -5.446403496558170332e+01 9.798152527966129810e+01 2.624340000000000117e+01
2.458955797644699924e+06 -7.041171449014210282e+01 2.049636646890927238e+01 2.622850000000000037e+01
2.458956746400500182e+06 -2.393114787709669855e+01 2.300574441052389929e+01 2.625349999999999895e+01
