# #JD, Flux, Err, Zp
2.458801030694399960e+06 8.812307520354840662e+00 7.116941401187010285e+01 2.606990000000000052e+01
2.458802044236150105e+06 3.913743078934984965e+01 6.927157963719497502e+01 2.466445000000000221e+01
2.458829067962999921e+06 -2.755171022993269858e+01 5.367525781167459797e+01 2.623089999999999833e+01
2.458833979699099902e+06 2.385075574486139871e+01 9.211232484768129325e+01 2.624099999999999966e+01
2.458839046550900210e+06 -9.818354530096719657e+00 7.821319829282219871e+01 2.476439999999999841e+01
2.458850984062499832e+06 -4.036706087700289913e+01 4.408751661605300143e+01 2.624020000000000152e+01
2.458874005983800162e+06 -6.265035381591290253e+00 3.477844070446799662e+01 2.626529999999999987e+01
2.458877045208299998e+06 -1.784153990641799936e+01 3.006993340979769869e+01 2.627289999999999992e+01
2.458880026192099787e+06 -2.873623669102429901e+01 5.754869261266389913e+01 2.623710000000000164e+01
2.458884020150499884e+06 -1.198946731758660178e+01 3.963408746464256183e+01 2.622449999999999903e+01
2.458884997199099977e+06 -6.084919701044770335e+01 6.362708926637329654e+01 2.625580000000000069e+01
2.458886030104199890e+06 -4.529445093982739934e+01 3.897791764386680313e+01 2.625550000000000139e+01
2.458887037748849951e+06 6.357122505466350049e+00 3.368525087825442199e+01 2.627369999999999806e+01
2.458887984155099839e+06 9.386865964855199707e+01 5.490630997006900316e+01 2.629360000000000142e+01
2.458888961828699801e+06 -1.294795719423350135e+02 1.073408976095250011e+02 2.626719999999999899e+01
2.458894963217600249e+06 -2.583292948796909982e+01 2.556110780374526570e+01 2.626725000000000065e+01
2.458895935023100115e+06 -1.073792214505990046e+02 3.308792810475279822e+01 2.625570000000000093e+01
2.458898858055599965e+06 -9.732123580094800275e+00 2.795854871860129975e+01 2.624549999999999983e+01
2.458899940104200039e+06 7.855163757657440016e+00 3.384841732202249887e+01 2.626190000000000069e+01
2.458901881973399781e+06 -3.586059580832075255e+01 2.462391028144955030e+01 2.622094999999999843e+01
2.458904973738400266e+06 -2.218342266854364908e+01 2.990471506210932873e+01 2.622319999999999851e+01
2.458906941365700215e+06 2.074612931974530117e+00 3.673817198423520125e+01 2.620619999999999905e+01
2.458908952158549801e+06 1.151125699346675191e+00 2.206958657367076881e+01 2.626104999999999734e+01
2.458911950439800043e+06 -7.103656821207604111e+00 3.312997953587428412e+01 2.620615000000000094e+01
2.458913943935200106e+06 2.283850071967109940e+01 3.652429625322920259e+01 2.607789999999999964e+01
2.458914878084500320e+06 -6.370029516893898958e+00 3.244770061315814047e+01 2.616720000000000113e+01
2.458915901840299834e+06 -1.261896909913510001e+02 6.611519481719899716e+01 2.613009999999999877e+01
2.458936900219900068e+06 -5.142413765086040200e+01 2.428464150429590518e+01 2.621355000000000146e+01
2.458939872436299920e+06 -2.812147067524449540e+00 3.634191650479408509e+01 2.568840000000000146e+01
2.458940736134249717e+06 2.991665308614091146e+01 4.447464917679451446e+01 2.449060000000000059e+01
2.458941873668999877e+06 5.971060839989159774e+01 3.827021017331009745e+01 2.623499999999999943e+01
2.458944840567099862e+06 5.651910105372199666e+01 7.688839935247220581e+01 2.624769999999999825e+01
2.458954755347200204e+06 -1.396657169300980073e+01 2.813689721294840140e+01 2.622830000000000084e+01
2.458955760601850227e+06 -2.730306327202035277e+01 2.258119982178946472e+01 2.622334999999999994e+01
2.458956798275500070e+06 -3.621636391549730050e+00 3.504288954280470136e+01 2.612010000000000076e+01
2.458962779386600014e+06 -3.394266008833770343e+01 2.241387844130938944e+01 2.622180000000000177e+01
2.458964752881899942e+06 -5.498681543868959665e+01 3.107099419103279914e+01 2.624390000000000001e+01
2.458965788044000044e+06 -1.126427849202219811e+01 1.902752788294142050e+01 2.627430000000000021e+01
2.458966707870400045e+06 -1.904786694446439999e+00 3.706745295860760336e+01 2.503340000000000032e+01
2.458967669814799912e+06 1.758912855930070052e+01 3.409434148603420311e+01 2.622180000000000177e+01
2.458968703194399830e+06 -5.620801714357895662e+01 2.191593672679862692e+01 2.628170000000000073e+01
2.458969796689799987e+06 6.609203929641630282e+01 5.958480884958859747e+01 2.470309999999999917e+01
2.458970691435200162e+06 -1.155485971949189938e+01 4.563808735947159789e+01 2.624859999999999971e+01
