# #JD, Flux, Err, Zp
2.458901038298599888e+06 1.536290070700600019e+01 4.548878978662830264e+01 2.467200000000000060e+01
2.458904032199100126e+06 1.949549219371079944e+00 2.480875565741540001e+01 2.627359999999999829e+01
2.458909050798600074e+06 -4.335106186894209657e+01 4.298032424813619912e+01 2.630249999999999844e+01
2.458912045358799864e+06 2.969545855064659889e+01 5.266936878712989767e+01 2.627700000000000102e+01
2.458913032673600130e+06 -8.240337189893429226e+00 2.367630738920179923e+01 2.626000000000000156e+01
2.458914031238399912e+06 -8.452803029656649869e+00 2.561600120088089838e+01 2.589430000000000121e+01
2.458914946377300192e+06 6.210843966098139646e+01 5.443423165826850152e+01 2.599500000000000099e+01
2.458915996134299785e+06 -8.244736744669009454e+01 9.147573755564930309e+01 2.389450000000000074e+01
2.458940990069400053e+06 9.892484958763270697e+01 2.684638128652549938e+01 2.613690000000000069e+01
2.458941991770800203e+06 8.910348943169259428e+01 3.151310569831489872e+01 2.629619999999999891e+01
2.458944966655100230e+06 9.942009201482520098e+01 5.770682768373119842e+01 2.627039999999999864e+01
2.458954927025500219e+06 1.039219707517570015e+02 4.298837939686359988e+01 2.627220000000000155e+01
2.458955967129599769e+06 1.054675370319030066e+02 3.617808768983400114e+01 2.629200000000000159e+01
2.458956970324099995e+06 9.282635987861709737e+01 2.630319238926820091e+01 2.586210000000000164e+01
2.458962993819400202e+06 1.124280798435840012e+02 3.006273711228419998e+01 2.629820000000000135e+01
2.458963936799749732e+06 9.806007817532844228e+01 1.843968426231466040e+01 2.626375000000000171e+01
2.458964894525500014e+06 7.261113114696119908e+01 2.041779090257299956e+01 2.625550000000000139e+01
2.458965924131900072e+06 7.873566054398520464e+01 2.085207157465919892e+01 2.628079999999999927e+01
2.458966945486099925e+06 8.952906190208339865e+01 2.103380133635500115e+01 2.625900000000000034e+01
2.458967950127299875e+06 9.834925465325339644e+01 2.270863044554300103e+01 2.629390000000000072e+01
2.458968964861100074e+06 9.987378773783790109e+01 2.259707475930889942e+01 2.633259999999999934e+01
2.458970967002300080e+06 9.486870300766770470e+01 1.831067576967139843e+01 2.634420000000000073e+01
2.458971952581000049e+06 9.171170089704159523e+01 2.342286246531159932e+01 2.632499999999999929e+01
2.458972971053199843e+06 1.250390471123519944e+02 2.089415994418209976e+01 2.633680000000000021e+01
2.458973953113399912e+06 9.456659007971519770e+01 4.077502104723630083e+01 2.633930000000000149e+01
2.458974975613399874e+06 7.386307706653289529e+01 4.371175754776110267e+01 2.631490000000000151e+01
2.458975764317099936e+06 5.567681348302900091e+01 8.514430641799610555e+01 2.624790000000000134e+01
2.458976964479200076e+06 1.539834259515889983e+02 8.123129292599929840e+01 2.632580000000000098e+01
2.458977886770800222e+06 1.501760481393619955e+02 8.045301744379750630e+01 2.617689999999999984e+01
2.458978930231499951e+06 3.050290966113830038e+01 6.339422933509450075e+01 2.616410000000000124e+01
2.458979774490700103e+06 7.416089826152210662e+01 5.131867588930239776e+01 2.615200000000000102e+01
2.458980922638900112e+06 1.203328852635579977e+02 5.040147585478629821e+01 2.631660000000000110e+01
2.458981803611100186e+06 4.967362043171799968e+01 3.931830712794339888e+01 2.626839999999999975e+01
2.458985949849499855e+06 1.405721435766189984e+02 2.713751251461490099e+01 2.631190000000000140e+01
2.458986902094900142e+06 8.723644280187990319e+01 2.141118606609880004e+01 2.631970000000000098e+01
2.458987934375000186e+06 7.982258826564840604e+01 1.822219891397179836e+01 2.633010000000000161e+01
2.458991914467600174e+06 9.282140104481329956e+01 2.282919281308500103e+01 2.632349999999999923e+01
2.458992848506900016e+06 5.227722975155460006e+01 1.938334037442729851e+01 2.629029999999999845e+01
2.458994923043999821e+06 8.603984957214379392e+01 2.293486876136870123e+01 2.631960000000000122e+01
2.458995841099500190e+06 6.261035213250760023e+01 2.229986677951350060e+01 2.629350000000000165e+01
2.458996827581000049e+06 1.253611481045820000e+02 2.260917101915810079e+01 2.630150000000000077e+01
2.458997912997699808e+06 9.196437455718429987e+01 1.899449422703110102e+01 2.632130000000000081e+01
2.458998935729200020e+06 7.811027344362059921e+01 1.881915169526200060e+01 2.630409999999999826e+01
