# #JD, Flux, Err, Zp
2.458203948391200043e+06 -3.832705338905169956e+00 2.358535880990898193e+01 2.622319999999999851e+01
2.458204917540499941e+06 5.127079787327890159e+00 3.410859828125047954e+01 2.623740000000000094e+01
2.458205936927050352e+06 2.189418813092149918e+01 4.257115004585666895e+01 2.573629999999999995e+01
2.458206917494200170e+06 -3.467126825924915323e+01 3.335859282058761721e+01 2.632499999999999929e+01
2.458207915653900243e+06 -2.491238867650330135e+01 4.125342994275423081e+01 2.632499999999999929e+01
2.458208927702549845e+06 -3.350677457196191966e+01 1.198309402577427960e+02 2.632499999999999929e+01
2.458209979930549860e+06 -1.427783936016205146e+01 6.058196163874911377e+01 2.626705000000000112e+01
2.458210915827549994e+06 8.033606481215940676e+01 4.952899654625199588e+01 2.627789999999999893e+01
2.458211913171299733e+06 -2.774430991472974739e+01 7.231717614031674657e+01 2.632499999999999929e+01
2.458227848454900086e+06 1.048829375651015638e+01 2.417815778483921463e+01 2.626089999999999947e+01
2.458228980468750000e+06 2.553157839083719693e+01 2.629756593809925036e+01 2.632499999999999929e+01
2.458229975677049719e+06 9.306549351134099979e+00 1.907967324634867268e+01 2.632499999999999929e+01
2.458230890827550087e+06 -1.334395417985840027e+01 3.394175711263279993e+01 2.632499999999999929e+01
2.458231890046300367e+06 8.091571452036581036e+01 1.791424292221224235e+01 2.632499999999999929e+01
2.458232952326400205e+06 9.017282382655604778e+00 1.868480779584900020e+01 2.611370000000000147e+01
2.458234848275450058e+06 -5.271847963348115229e+01 5.008226947318472355e+01 2.603209999999999980e+01
2.458235870694450103e+06 -4.467789232208370009e+01 4.384461006844489361e+01 2.632499999999999929e+01
2.458236832604149822e+06 2.166018492467374870e+02 6.358133495234464760e+01 2.632499999999999929e+01
2.458237835925899912e+06 -5.127186605123064567e+01 7.987575608424540974e+01 2.632499999999999929e+01
2.458244849143499974e+06 1.025710166035464965e+01 3.200893688819987659e+01 2.625784999999999769e+01
2.458245898130750284e+06 -4.845231744451325540e+01 1.837893640057387472e+02 2.597359999999999758e+01
2.458246850891199894e+06 1.155952828129270316e+01 2.133390668876095830e+01 2.627554999999999907e+01
2.458247851521999575e+06 2.824426167928250209e+01 1.550270852027837165e+01 2.623189999999999955e+01
2.458248862916700076e+06 -5.504635725511639599e+00 1.904779421298276532e+01 2.628134999999999977e+01
2.458249872355350293e+06 8.068369218898885720e+01 3.818143475882242655e+01 2.627570000000000050e+01
2.458252939710649662e+06 -6.314000389683700476e+00 1.410749323823850609e+01 2.632499999999999929e+01
2.458254913616900332e+06 1.686610245081130799e+01 1.585084118108277274e+01 2.628139999999999787e+01
2.458255869722199626e+06 4.001953488879159693e+00 1.499590920111329773e+01 2.623744999999999905e+01
2.458258827916650102e+06 1.506202094662907420e+01 1.665508576584809930e+01 2.617914999999999992e+01
2.458259895161999855e+06 -1.497528105317790015e+00 2.374202147170930033e+01 2.474330000000000140e+01
2.458261925567099825e+06 4.703181860936635417e+01 2.003162229680429007e+01 2.618990000000000151e+01
2.458262932129600085e+06 1.145691881023099157e+00 2.862086572526421691e+01 2.621219999999999928e+01
2.458263876770799980e+06 -7.760054152101940161e+00 3.177669674769672525e+01 2.622070000000000078e+01
2.458269818993099965e+06 -4.572224562808160186e+01 9.483087900901500689e+01 2.632499999999999929e+01
2.458272756568250246e+06 1.143116258559708420e+01 1.628898670447910746e+01 2.632499999999999929e+01
2.458273779618049972e+06 -1.660723664904899977e+01 1.657036201217692195e+01 2.632499999999999929e+01
2.458274779641199857e+06 4.381619033366114735e+01 1.319243927016825779e+01 2.632499999999999929e+01
2.458275776319399942e+06 2.977521757538420033e+01 1.905895507027879887e+01 2.632499999999999929e+01
2.458276852818300016e+06 3.127844965517585862e+01 1.395779330588178446e+01 2.632499999999999929e+01
2.458277827928249724e+06 8.530697727268799824e+00 1.539291821257986115e+01 2.632499999999999929e+01
2.458278848802099936e+06 2.349318742207809407e+01 1.378247314111079724e+01 2.632499999999999929e+01
2.458279837447949685e+06 6.391054784441889680e+00 1.560400075156067423e+01 2.632499999999999929e+01
2.458280778888899833e+06 1.282550477577896686e+01 1.337935274662114082e+01 2.632499999999999929e+01
2.458281766660850029e+06 1.817577498904550026e+01 1.392107734062790492e+01 2.632499999999999929e+01
2.458282874056699686e+06 -8.349575503920512176e-01 1.670915305242425930e+01 2.632499999999999929e+01
2.458283799189799931e+06 1.431710192768843370e+01 1.310524644893546764e+01 2.632499999999999929e+01
2.458284808790550102e+06 6.926230857493900217e+00 1.822267427962944097e+01 2.632499999999999929e+01
2.458286838501149788e+06 8.036920003030600945e-01 1.667982181041784528e+01 2.632499999999999929e+01
2.458287840989550110e+06 3.427956745678280015e+01 1.514729063307680157e+01 2.632499999999999929e+01
2.458288861215299927e+06 2.556051735992844698e+01 1.544692778259268806e+01 2.623564999999999969e+01
2.458289870515050367e+06 3.848424076621819978e+01 1.841840172618304194e+01 2.622579999999999956e+01
2.458290710613399744e+06 8.929837504749629673e+00 2.074078577898488618e+01 2.618639999999999901e+01
2.458291838344899938e+06 -1.069038156373500037e+01 2.905242856128199946e+01 2.622680000000000078e+01
2.458292784658599645e+06 -8.778301696845749902e+00 2.420013638860681837e+01 2.622285000000000110e+01
2.458293717806700151e+06 -5.579208546281648751e+00 3.206593555447572186e+01 2.623984999999999701e+01
2.458294703773150221e+06 4.162838214745045207e+01 3.072961441037064034e+01 2.622579999999999956e+01
2.458297735046300106e+06 6.433362227013275003e+01 4.414689708743733121e+01 2.621269999999999811e+01
2.458298702471099794e+06 3.493446754911760621e+01 3.506604340676032194e+01 2.622200000000000131e+01
2.458299703715249896e+06 4.379052253574474918e+01 2.598402008887291359e+01 2.618699999999999761e+01
2.458300710700250231e+06 3.857344425918375208e+01 1.501166808441874601e+01 2.615095000000000169e+01
2.458301773582200054e+06 1.827738993679750124e+01 2.176884319017639058e+01 2.620275000000000176e+01
2.458302710034749936e+06 1.651617658833806956e+01 1.964567314592639491e+01 2.620215000000000316e+01
2.458304717696799897e+06 4.053390308707820111e+01 1.145297525515589498e+01 2.618244999999999933e+01
2.458305711400500033e+06 4.213642129591361396e+01 1.301818508876240976e+01 2.606834999999999880e+01
2.458306816469950136e+06 6.760750397040830251e+01 1.980739817977199024e+01 2.607689999999999841e+01
2.458307723686350044e+06 2.185089819894121987e+01 1.223135642509521048e+01 2.610435000000000016e+01
2.458308716122699901e+06 2.635957125713309779e+01 1.238082604359701300e+01 2.613185000000000002e+01
2.458311756574099883e+06 5.139746693175030146e+01 1.943576370240720053e+01 2.602359999999999829e+01
2.458312838495399803e+06 -4.608963193754510357e+00 1.950172044972579855e+01 2.595019999999999882e+01
2.458313734016199596e+06 -4.129757604969200635e+00 1.547536857302697300e+01 2.609940000000000282e+01
2.458314788692099974e+06 -5.152909358158900055e+00 1.588801778121706754e+01 2.605049999999999955e+01
2.458315880173599813e+06 3.676365623503429703e+01 2.153861144336680056e+01 2.585760000000000147e+01
2.458316859143500216e+06 -1.232324779537199966e+01 2.108410627884289923e+01 2.601699999999999946e+01
2.458317839641199913e+06 1.738884165879339960e+01 2.555749201596600173e+01 2.605440000000000111e+01
2.458318895104200114e+06 2.133667658110159948e+01 2.460128232496180090e+01 2.608790000000000120e+01
2.458319671712949872e+06 -1.212805543424263988e+01 2.928663293189483952e+01 2.617665000000000219e+01
2.458320695075250231e+06 -5.672141863808294104e+00 2.184730765526263241e+01 2.621334999999999837e+01
2.458321791967599653e+06 -3.016391785353529897e+01 2.748904676319929408e+01 2.603265000000000029e+01
2.458322679560150020e+06 8.659487848654334741e+00 2.898218326066800898e+01 2.625750000000000028e+01
2.458323826163199730e+06 -1.282711481562285094e+01 3.327191607195749867e+01 2.613439999999999941e+01
2.458324772233800031e+06 9.265647034959499706e+00 3.717564757847520696e+01 2.618430000000000035e+01
2.458325671221049968e+06 5.204406399982609344e+01 3.854018731698980815e+01 2.617259999999999920e+01
2.458326688159700017e+06 2.878096206187804995e+01 4.747401198306791059e+01 2.621310000000000073e+01
2.458327688420100138e+06 6.808982514176994982e+01 4.019951370728578155e+01 2.613344999999999985e+01
2.458329665034700185e+06 -3.139666831628860066e+01 2.541470034891530005e+01 2.597169999999999845e+01
2.458330675439800136e+06 1.627397943665843627e+01 1.672419310814611038e+01 2.613850000000000051e+01
2.458331752719899639e+06 -3.381226436193789908e+01 1.843384871272152381e+01 2.613635000000000019e+01
2.458332701660900377e+06 1.754215231728428392e+01 1.325047613234202615e+01 2.617079999999999984e+01
2.458333673703699838e+06 -3.344393502890049774e+01 1.783864498319909941e+01 2.620349999999999824e+01
2.458336742488400079e+06 1.744281407943109841e+01 2.166516119143339836e+01 2.623209999999999908e+01
2.458340824722200166e+06 4.022523708063459935e+01 1.870908021521769982e+01 2.510480000000000089e+01
2.458343682175899856e+06 7.923275633841130094e+00 2.104341892930359847e+01 2.615940000000000154e+01
2.458346659768499900e+06 -1.570388299395509968e+01 2.361219541876840111e+01 2.616489999999999938e+01
2.458349663015049882e+06 7.401739297609509549e+01 2.428705965724031302e+01 2.615324999999999989e+01
2.458350750844900031e+06 1.349055367191565047e+01 2.494167396205346066e+01 2.614414999999999978e+01
2.458351787465299945e+06 2.173546230100840049e+01 5.165528886493490290e+01 2.607160000000000011e+01
2.458352661597250029e+06 -2.405739162034780065e+01 3.246731003699064644e+01 2.612695000000000078e+01
2.458359654768500011e+06 3.252543123125639823e+01 2.639269866576410095e+01 2.461799999999999855e+01
2.458360651313699782e+06 1.180467587210129921e+01 1.891160813689120701e+01 2.627404999999999902e+01
2.458361660879650153e+06 3.564050144037535262e+01 1.587769453470959213e+01 2.623935000000000173e+01
2.458362708518549800e+06 7.315024062723030340e+01 2.182134355408941317e+01 2.622115000000000151e+01
2.458363667598400265e+06 2.301885577969364860e+01 1.791490800826158036e+01 2.617970000000000041e+01
2.458364702447949909e+06 1.606327604483184857e+01 1.538274025085961760e+01 2.614679999999999893e+01
2.458365723396950401e+06 2.274769615307260295e+01 1.580213390626607151e+01 2.611899999999999977e+01
2.458366710057849996e+06 5.523121950817974835e+01 1.494371806994517904e+01 2.618015000000000114e+01
