# #JD, Flux, Err, Zp
2.458198937835650053e+06 1.159741673219049751e+00 2.024957860048207436e+01 2.627499999999999858e+01
2.458216874270800035e+06 -6.810881355730184339e+01 2.735130409434804122e+01 2.606320000000000192e+01
2.458217915792849846e+06 -1.546916657539778583e+01 1.838178043274675133e+01 2.612399999999999878e+01
2.458218931863400154e+06 -9.508528842512140500e+01 3.480383795141769809e+01 2.612059999999999960e+01
2.458219895381949842e+06 1.340692178274774982e+01 2.809123228838321396e+01 2.613015000000000043e+01
2.458222895080999937e+06 -5.286804945204059436e+01 2.890284550773934313e+01 2.627499999999999858e+01
2.458224919519700110e+06 2.829142961159700320e+00 3.654565223930426754e+01 2.426489999999999725e+01
2.458226918281249702e+06 -6.334049197310655188e+01 2.651776300339842152e+01 2.620174999999999699e+01
2.458227899849500041e+06 2.556803399935540000e+01 6.830619478196020111e+01 2.627499999999999858e+01
2.458229912031250075e+06 -7.473409511870364952e+01 2.681214659495584129e+01 2.627499999999999858e+01
2.458230942332199775e+06 8.328144762932765843e+01 5.308522647052217991e+01 2.619115000000000038e+01
2.458231815046300180e+06 7.862789973147284783e+00 3.234980341795730396e+01 2.627499999999999858e+01
2.458232892980350181e+06 -9.240113127774485235e+01 4.251941791209991095e+01 2.594219999999999970e+01
2.458244865300950129e+06 -2.789787897391649807e+01 3.587818791926381579e+01 2.585535000000000139e+01
2.458245873807900120e+06 -1.436227142165999915e+01 6.266174383238470114e+01 2.455799999999999983e+01
2.458246902175900061e+06 7.542586241686454684e+01 4.374152112559664829e+01 2.617239999999999966e+01
2.458247930868050084e+06 -6.552915965783489582e+01 3.150206049055899626e+01 2.615559999999999974e+01
2.458252889820599928e+06 6.736869500025545676e+01 2.494113215216968982e+01 2.620960000000000178e+01
2.458255877453699708e+06 -5.007451022644714556e+01 2.154636946461999614e+01 2.619865000000000066e+01
2.458256865972249769e+06 -1.069267558835034890e+02 2.087745362477681610e+01 2.619464999999999932e+01
2.458257817974499892e+06 -1.106097326110499957e+01 3.738764392099629674e+01 2.627499999999999858e+01
2.458258901799750049e+06 5.333977613377770410e+01 4.287460899990313834e+01 2.614795000000000158e+01
2.458259797245400026e+06 2.668464509532400086e+01 4.516001248700150228e+01 2.225590000000000046e+01
2.458261831851900090e+06 -1.304509141681080009e-01 8.385289926654040471e+01 2.613889999999999958e+01
2.458262872071799822e+06 -2.291552182708290175e+01 5.716493455878690355e+01 2.615729999999999933e+01
2.458263886793999933e+06 -5.458673727943750720e+00 6.151471903816351272e+01 2.616965000000000074e+01
2.458266815949100070e+06 -8.851510106431629765e+01 6.290535701396559887e+01 2.627499999999999858e+01
2.458269857893500011e+06 2.691208142278340176e+01 7.039893982659940264e+01 2.597879999999999967e+01
