# #JD, Flux, Err, Zp
2.458998950463000219e+06 3.060818887726820137e+01 2.384902818679880099e+01 2.604739999999999966e+01
2.459002929583299905e+06 -3.072244775657900107e+01 4.356174036164119912e+01 2.569409999999999883e+01
2.459014889571799897e+06 2.659740290390209907e+02 3.319135071783230018e+01 2.605239999999999867e+01
2.459018887905099895e+06 3.324981678707509900e+02 2.735070013706010172e+01 2.606929999999999836e+01
2.459023845925900154e+06 2.780725621593679762e+02 3.194457841723000158e+01 2.598430000000000106e+01
2.459030885104199871e+06 2.497242788188779912e+02 2.960254335363620015e+01 2.607250000000000156e+01
2.459032984728000127e+06 3.271639630473530360e+02 3.627172749337064772e+01 2.624520000000000053e+01
2.459033947673600167e+06 3.305467212221059867e+02 4.606239859313580354e+01 2.618819999999999837e+01
2.459036983483800199e+06 3.737991637689419804e+02 6.987560150288589966e+01 2.621819999999999951e+01
2.459039857094900217e+06 2.342244422732480018e+02 6.066991285801469758e+01 2.614570000000000149e+01
2.459045946713000070e+06 2.066794044641949881e+02 2.492629024917529890e+01 2.620410000000000039e+01
2.459048987094900105e+06 1.563538688555919975e+02 3.988576951811590021e+01 2.640170000000000172e+01
2.459051954444400035e+06 1.266578539225530022e+02 2.675168718125970102e+01 2.616750000000000043e+01
2.459052988379599992e+06 1.928275018658740123e+02 2.587852872017191430e+01 2.628634999999999877e+01
2.459053906157399993e+06 1.580810176029150114e+02 2.112466829481380159e+01 2.618799999999999883e+01
2.459054956898100208e+06 1.298473285193269930e+02 2.432601062631649924e+01 2.619910000000000139e+01
2.459056929444400128e+06 1.269837646468100019e+02 2.501377340243210057e+01 2.616669999999999874e+01
2.459057901435200125e+06 1.270763280180640038e+02 2.534751289253049933e+01 2.616260000000000119e+01
2.459059913946799934e+06 5.897638435478499730e+01 2.620265203957280065e+01 2.618090000000000117e+01
2.459060877881899942e+06 1.378993480877510081e+02 2.581579927258379925e+01 2.619150000000000134e+01
2.459062888205999974e+06 9.421268909844189920e+01 5.200982109482289673e+01 2.616959999999999908e+01
2.459063935046299826e+06 1.973784412259450107e+02 5.981845188903619714e+01 2.619279999999999831e+01
2.459066881608800031e+06 1.575556868148889862e+02 7.385241665186750026e+01 2.616659999999999897e+01
2.459069878483800218e+06 1.133992020647440029e+02 4.474087650678379902e+01 2.620090000000000074e+01
2.459071956516200211e+06 1.315302940157870069e+02 3.724005608058070038e+01 2.618250000000000099e+01
2.459072897187500261e+06 8.014699037123419600e+01 2.298697304591886237e+01 2.615959999999999752e+01
2.459073853599499911e+06 2.790823497501340000e+01 2.822026459166249879e+01 2.618649999999999878e+01
2.459075869461799972e+06 2.159646643929294640e+01 1.724926055977418216e+01 2.608389999999999986e+01
2.459077874039399903e+06 6.301751399643629981e+01 2.461154680658099991e+01 2.611080000000000112e+01
2.459078885677100159e+06 5.921664395796754832e+01 1.869593650990404754e+01 2.541564999999999941e+01
2.459079831064799801e+06 5.393659330904520033e+01 2.300662456085790097e+01 2.607570000000000121e+01
2.459080926527800038e+06 6.983070025821969296e+01 2.555287814085379949e+01 2.589539999999999864e+01
2.459081843993050046e+06 6.117084325312934823e+01 1.706324451692905342e+01 2.591069999999999851e+01
2.459082857083300129e+06 2.639668523754259866e+01 2.656526981503050067e+01 2.393440000000000012e+01
2.459084856041700114e+06 8.386718449447700152e+01 2.223283260320230070e+01 2.603030000000000044e+01
2.459085873020799831e+06 4.632015216293549997e+01 2.121272856897759951e+01 2.610839999999999961e+01
2.459087836226900108e+06 7.099180992598779483e+01 2.286531466496089848e+01 2.596910000000000096e+01
2.459088825057900045e+06 5.845416499506649899e+01 2.927551065966120092e+01 2.589989999999999881e+01
2.459089811504600104e+06 6.675599367132349471e+01 3.916649064163340199e+01 2.601820000000000022e+01
2.459090873217599932e+06 8.410202558694450659e+01 2.930063207660235136e+01 2.608145000000000024e+01
2.459091812777800020e+06 1.181505314917410061e+02 5.559890363296300109e+01 2.619249999999999901e+01
2.459092856203699950e+06 1.850228700544920102e+01 7.588664098071299691e+01 2.614320000000000022e+01
