# #JD, Flux, Err, Zp
2.459014981655099895e+06 4.198439065678620068e+02 5.205673490988669982e+01 2.607010000000000005e+01
2.459018965613400098e+06 6.016604030552659879e+02 2.612265616924669942e+01 2.604710000000000036e+01
2.459026974398099817e+06 6.530706820278029454e+02 3.035703216416060002e+01 2.608699999999999974e+01
2.459030966863399837e+06 5.607852340271830371e+02 3.114857550801719910e+01 2.602840000000000131e+01
2.459036882048599888e+06 5.571021029082160112e+02 6.213689372811590061e+01 2.606980000000000075e+01
2.459039956840300001e+06 4.931621179735490159e+02 5.348664906467980273e+01 2.608680000000000021e+01
2.459042963252299931e+06 5.469231761700799552e+02 3.492799295467529674e+01 2.602390000000000114e+01
2.459045862175900023e+06 4.798522675108000044e+02 2.823497487361419900e+01 2.605049999999999955e+01
2.459046922511599958e+06 4.976401081652899734e+02 2.670187320804479825e+01 2.607620000000000005e+01
2.459048918344900012e+06 4.918471406516450202e+02 3.079634862680239848e+01 2.608500000000000085e+01
2.459051918530100025e+06 3.990334923491919881e+02 2.737850643774039838e+01 2.605310000000000059e+01
2.459054903391200118e+06 3.863311260285980211e+02 2.706508599745379939e+01 2.607010000000000005e+01
2.459057954780099913e+06 3.213790003447040249e+02 2.674818476087749985e+01 2.605399999999999849e+01
2.459060926811350044e+06 3.649953972290500133e+02 1.707351602028399995e+01 2.606074999999999875e+01
2.459061841446800157e+06 4.173439762473199721e+02 3.522927448864260214e+01 2.606739999999999924e+01
2.459063882708350196e+06 2.819196913327809852e+02 4.066785430532484469e+01 2.607385000000000019e+01
2.459064866122699808e+06 3.000554195642810100e+02 6.843276169018780308e+01 2.606850000000000023e+01
2.459065907916700002e+06 1.636676619225330001e+02 7.577940110998599721e+01 2.604520000000000124e+01
2.459066941759299953e+06 3.582439048393219991e+02 6.165602178419729995e+01 2.606330000000000169e+01
2.459069903506900184e+06 3.512965357990730126e+02 4.254498365113239799e+01 2.608470000000000155e+01
2.459071888888900168e+06 3.033148175609570103e+02 3.654611346039710185e+01 2.608099999999999952e+01
2.459072961724500172e+06 3.485143934055989803e+02 3.157383601119069994e+01 2.606040000000000134e+01
2.459075814907399938e+06 3.320661022806970095e+02 2.670095292981460133e+01 2.598239999999999839e+01
2.459076866585600190e+06 2.858086901434289757e+02 2.969306453219390107e+01 2.594399999999999906e+01
2.459078846579850186e+06 2.759318743967535283e+02 1.818366751876759224e+01 2.599730000000000274e+01
2.459079873205999844e+06 2.409550393765750016e+02 2.756167334274940117e+01 2.597779999999999845e+01
2.459080841631900053e+06 2.713749384812700214e+02 2.666916199597439885e+01 2.592859999999999943e+01
2.459081876105349977e+06 2.445183131496200133e+02 1.911702999699458516e+01 2.591629999999999967e+01
2.459084793043999933e+06 1.849686364722720100e+02 2.800205764072559944e+01 2.592330000000000112e+01
2.459086833437500056e+06 2.735829130488199894e+02 2.477172072344700027e+01 2.601829999999999998e+01
2.459087873223349918e+06 2.073083672316799948e+02 1.892158296709580156e+01 2.593224999999999980e+01
2.459090939907399938e+06 9.297119950431320490e+01 2.712464538984119855e+01 2.599719999999999942e+01
2.459095881689799950e+06 1.074194358573110009e+02 8.519819510520899541e+01 2.603640000000000043e+01
2.459096868738399819e+06 1.528468633249729862e+02 6.760800380422550404e+01 2.604749999999999943e+01
2.459098843773149885e+06 9.350222428332735092e+01 3.626968229623773965e+01 2.603160000000000096e+01
