# #JD, Flux, Err, Zp
2.458900986828700174e+06 -1.502296728159890016e+01 5.523731746148789767e+01 2.408620000000000161e+01
2.458904013090299908e+06 -1.918197121410079831e+01 2.664902490048960004e+01 2.621340000000000003e+01
2.458909007314799819e+06 1.096695046888529923e+01 2.875481699273679936e+01 2.621209999999999951e+01
2.458912007893499918e+06 5.133731047910239909e+01 6.205968852051759654e+01 2.619800000000000040e+01
2.458912993553199805e+06 2.622123766397260169e+01 3.051185748700299882e+01 2.613129999999999953e+01
2.458913995034699794e+06 1.498392957620609955e+01 3.012120595111370136e+01 2.581090000000000018e+01
2.458915048495400231e+06 -1.804625083301170108e+00 2.678239138143199938e+01 2.622719999999999985e+01
2.458916028078699950e+06 -1.850088250825260072e+00 4.013336209112699748e+01 2.493779999999999930e+01
2.458941012835599948e+06 7.964141393715729578e+01 3.200458802179569773e+01 2.609029999999999916e+01
2.458945011608799919e+06 1.347546303508750043e+02 4.348091595129979936e+01 2.620019999999999882e+01
2.458954991296300199e+06 1.678797033444720057e+02 3.672644413316290013e+01 2.623049999999999926e+01
2.458955951828700025e+06 1.814945591734959862e+02 3.500551203448539894e+01 2.621640000000000015e+01
2.458956990081000142e+06 1.294048950443929868e+02 3.727754765526020009e+01 2.578960000000000008e+01
2.458961948541699909e+06 1.645570283260979920e+02 4.750227497958370293e+01 2.617340000000000089e+01
2.458962973009299953e+06 1.652147532239339967e+02 3.190472646165340009e+01 2.622129999999999939e+01
2.458964930786999874e+06 2.012267537077900101e+02 2.327381459267609998e+01 2.620899999999999963e+01
2.458965947291700169e+06 1.377065250021599923e+02 2.375705325843129856e+01 2.622670000000000101e+01
2.458966965451399796e+06 2.212390155912729881e+02 2.384263384179660150e+01 2.618659999999999854e+01
2.458967888749999925e+06 2.491494310655369873e+02 3.011640330913100172e+01 2.620670000000000144e+01
2.458968924224500079e+06 1.996862582845419922e+02 2.333399910001200084e+01 2.626170000000000115e+01
2.458970879363399930e+06 2.079150612082150076e+02 2.547377664293459887e+01 2.625260000000000105e+01
2.458971895486100111e+06 1.797595936156400001e+02 3.580672837812699782e+01 2.624830000000000041e+01
2.458972913576399907e+06 1.743810863105510123e+02 3.821039371240109972e+01 2.600829999999999842e+01
2.458973864097199868e+06 2.995716225048190040e+02 4.490747961518719933e+01 2.624070000000000036e+01
2.458974860844899900e+06 1.663244632092520021e+02 4.662292596563320046e+01 2.623329999999999984e+01
2.458976867893499788e+06 1.848027816847479983e+02 6.837131447816770446e+01 2.621760000000000090e+01
2.458977966354200151e+06 1.505553450217529985e+02 6.710903297390889577e+01 2.602189999999999870e+01
2.458978975544000044e+06 2.499425191740220100e+02 4.995688459485229771e+01 2.611360000000000170e+01
2.458979842164400034e+06 1.766539810580970027e+02 3.814823450781800318e+01 2.617299999999999827e+01
2.458980966944400221e+06 1.704450058866370057e+02 4.566843158785209766e+01 2.624709999999999965e+01
2.458981935879599769e+06 1.427651170241599914e+02 3.211412102237920152e+01 2.624520000000000053e+01
2.458983889131899923e+06 2.118050198844950103e+02 2.967592367915590046e+01 2.618270000000000053e+01
2.458985904027800076e+06 2.260324434933010025e+02 2.345110994065110077e+01 2.623369999999999891e+01
2.458986970868099947e+06 1.980857670646209954e+02 2.194770410016770157e+01 2.626050000000000040e+01
2.458987851793999784e+06 2.104840291059819890e+02 2.200524866114099964e+01 2.625710000000000122e+01
2.458991949583299924e+06 2.167190446551979903e+02 2.337355079938170022e+01 2.626060000000000016e+01
2.458992927060199901e+06 1.500604435803199976e+02 2.499737476264400016e+01 2.623420000000000130e+01
2.458995940474499948e+06 2.019626494257560125e+02 2.383964751019719941e+01 2.625410000000000110e+01
2.458996801805600058e+06 1.340238824440619965e+02 2.544716450150070131e+01 2.622479999999999833e+01
2.458997954398099799e+06 2.185129149906400130e+02 2.621550350456559997e+01 2.624810000000000088e+01
2.458998808368099853e+06 2.266481410395259957e+02 2.661893225618170078e+01 2.623649999999999949e+01
