# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-11-03 at 02:51:19
#
# Requested input R.A. = 218.701639922 degrees
# Requested input Dec. = +8.16956133833 degrees
# Requested JD start = 2458900.5 days
# Requested JD end = 2459100.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 529 1 3 ZTF_r 1146501570315 0 1.726 76.2382 7.8286 25.2847 2.0297e-05 0.0350826 0.0925928 3.39905e-05 361 30. 0.060306 0.057365 19.3314 25.2847 1 2458901.0015741 529120203 31.0698974971831 31.2322968768132 1.10660008032246 0.947014345870588 -16.5301911238781 61.7320413427718 -0.269576747345144 1.03655652094825 0.322233914824088 18.7959999084473 0.108000002801418 6.91099977493286 0.735000014305115 2458186.858426 2458279.736134 0
 1 530 4 2 ZTF_g 1149523221415 0 3.3427 90.1049 4.54863 26.1954 3.10864e-05 0.0404898 -0.135254 5.57127e-05 325 30. 0.088447 0.064376 20.2504 26.1954 1 2458904.0232292 530120114 -11.1195710246728 28.888201278513 -0.428176012037595 1.0106937167898 35.5678281322605 43.0489624837607 0.831782636216392 1.05735954404072 0.352300300200036 19.2009999275208 0.090999998152256 5.86600017547607 0.514999985694885 2458167.004965 2458315.670671 0
 2 478 15 1 ZTF_g 1150438705715 8 4.8423 149.913 5.64352 26.3031 5.12639e-05 0.0474666 -0.0826588 0.000122546 245 30. 0.111063 0.082299 19.807 26.3031 1 2458904.9387037 478120157 null null null null null null null null null null null null null 2458202.855613 2458348.652222 57,61
 3 529 1 3 ZTF_g 1150444160315 0 3.5869 76.7688 4.63334 26.0899 3.1102e-05 0.0414328 -0.0419354 6.0278e-05 323 30. 0.090654 0.08154 20.0907 26.0899 1 2458904.9441667 529120103 -32.8624972069505 36.0537775909066 -1.01392209695725 0.887711651383809 -34.1266735197949 48.1877205868615 -0.712972479524028 1.13159469037671 0.30880444540716 19.2250000953674 0.0860000029206276 6.22800016403198 0.40599998831749 2458167.041771 2458311.731308 0
 4 478 15 1 ZTF_r 1150506385715 0 2.8949 173.26 6.85342 26.1896 1.27815e-05 0.0280277 0.104635 2.10383e-05 349 30. 0.085567 0.061149 19.9853 26.1896 1 2458905.0063889 478120257 null null null null null null null null null null null null null 2458186.958530 2458246.752350 57,61
 5 529 1 3 ZTF_r 1150512580315 0 2.3127 151.103 5.82151 26.0273 1.19444e-05 0.0267569 0.0913008 1.99158e-05 364 30. 0.065615 0.062054 20.1278 26.0273 1 2458905.012581 529120203 -12.9725095969825 31.2177559454563 -0.462250213787328 0.963863316929999 39.8167732933318 53.0833285684822 0.755132404717305 1.06037448038743 0.322233914824088 18.7959999084473 0.108000002801418 6.91099977493286 0.735000014305115 2458186.858426 2458279.736134 0
 6 478 15 1 ZTF_r 1154484725715 0 2.1842 173.432 6.93717 26.1732 1.02867e-05 0.0251878 0.102566 1.693e-05 350 30. 0.066756 0.06393 20.2552 26.1732 1 2458908.9847222 478120257 null null null null null null null null null null null null null 2458186.958530 2458246.752350 56,57
 7 530 4 2 ZTF_r 1154485171415 0 1.8857 145.325 6.06014 26.0069 1.45508e-05 0.0283959 0.0998335 2.43202e-05 340 30. 0.062605 0.060018 20.2758 26.0069 1 2458908.9851736 530120214 -50.8419151136368 29.8841373309795 -1.89250039480604 0.969223314128233 -90.7453207655259 55.4032358369961 -1.64893790663579 1.0454654714839 0.461679663070118 18.918000125885 0.111000001430511 6.49700021743774 0.736000001430511 2458186.919514 2458279.734722 0
 8 530 4 2 ZTF_r 1154522471415 2080 2.2625 10.1589 8.45047 23.3371 0.0158176 0.368383 0.0851915 0.0392138 74 30. 0.083424 0.075812 17.0657 23.3371 1 2458909.0224769 530120214 -39.6336214663905 44.8000468873864 -0.984101944103525 0.956222694121717 -9.68360600590188 73.7704999926789 -0.132150733022882 1.07732853127842 0.461679663070118 18.918000125885 0.111000001430511 6.49700021743774 0.736000001430511 2458186.919514 2458279.734722 0
