# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-11-03 at 02:57:20
#
# Requested input R.A. = 185.460333 degrees
# Requested input Dec. = +4.481681 degrees
# Requested JD start = 2458800.5 days
# Requested JD end = 2459500.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 473 6 1 ZTF_r 1046530692115 0 2.1429 188.458 17.2877 26.0699 2.6096e-05 0.0400049 0.108226 4.04774e-05 334 30. 0.09264 0.078396 19.0977 26.0699 1 2458801.0306944 473120221 8.81230752035484 71.1694140118701 0.137737138198144 1.06174407702191 -17.4930180743005 132.550829835824 -0.132860990604908 1.03720132419854 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 1 473 6 1 ZTF_r 1047541662115 0 1.6185 56.1003 24.3711 24.7502 0.000446213 0.096484 0.107013 0.000659182 135 30. 0.085742 0.079024 17.5957 24.7502 2 2458802.0416667 473120221 61.104929832025 94.5956117249407 0.718555074573041 1.0092355521821 120.291020619929 193.689340640844 0.625234136086475 1.03803239197514 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 2 473 6 1 ZTF_r 1047546802115 0 1.6011 49.9397 25.2709 24.5787 0.000142028 0.0466948 0.121718 0.000227116 104 30. 0.094576 0.079397 17.3939 24.5787 2 2458802.0468056 473120221 17.1699317466747 101.221920669948 0.188689961621397 0.98643255348336 -126.768810467981 206.945941730813 -0.616695377704585 1.04050541069774 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 3 473 6 1 ZTF_r 1047551932115 0 1.7818 77.0491 24.1041 25.124 0.000134785 0.0610092 0.138926 0.000209604 163 30. 0.090513 0.070769 17.9157 25.124 2 2458802.0519329 473120221 209.482898068785 92.8501062366282 2.50969513951446 1.0334777977563 294.222661558076 184.334948700668 1.60688068214745 1.03971797942178 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 4 473 6 1 ZTF_g 1050515522115 0 3.9766 98.7225 12.6198 25.9407 9.72809e-05 0.0490227 -0.0371088 0.000213851 135 30. 0.117954 0.113913 18.7721 25.9407 1 2458805.0155208 473120121 -96.9483367166709 85.2435712631378 -1.26512526122588 1.01069892212983 -150.497847076923 109.220579299859 -1.38720614473121 1.12422491426637 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
 5 473 6 1 ZTF_g 1074546462115 0 3.1863 130.733 13.5741 26.265 4.28414e-05 0.0413237 -0.0492976 8.92872e-05 200 30. 0.091037 0.086631 19.2201 26.265 1 2458829.0464699 473120121 -42.3506789063452 86.1463267022866 -0.54686284064028 0.949442710594153 9.26500120761711 122.721632829566 0.0760045422208911 1.09607797186893 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
 6 473 6 1 ZTF_r 1074567962115 0 1.8719 218.21 12.4392 26.2309 1.26938e-05 0.0280221 0.124904 1.95933e-05 335 30. 0.0769 0.064461 19.7218 26.2309 1 2458829.067963 473120221 -27.5517102299327 53.6752578116746 -0.570990949057683 0.955122261660417 57.9877148218133 101.265419720443 0.576487665568534 1.04471462614118 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 7 473 6 1 ZTF_r 1079479692115 0 3.5863 221.086 12.9729 26.241 3.47185e-05 0.0444762 0.108812 5.35815e-05 313 30. 0.096285 0.088532 19.1315 26.241 1 2458833.9796991 473120221 23.8507557448614 92.1123248476813 0.28803098009411 0.949901275665699 -120.701816023522 122.675163130739 -0.990540763084266 1.1194012242386 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 8 473 6 1 ZTF_g 1084498592115 0 2.7364 67.1394 10.7097 25.519 5.09789e-05 0.043472 -0.0618186 0.000104179 191 30. 0.093023 0.074773 18.8553 25.519 1 2458838.9985995 473120121 117.494687094487 53.2701840534733 2.45351565153333 1.03184425241912 231.281224540209 82.7115875902554 2.8150700969215 1.07115340812249 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
 9 473 6 1 ZTF_r 1084546552115 0 2.9724 62.6445 18.4291 24.7644 0.000108605 0.0449133 0.0876178 0.000172427 119 30. 0.107964 0.085876 17.4448 24.7644 1 2458839.0465509 473120221 -9.81835453009672 78.2131982928222 -0.139641165718254 1.04202345204727 -126.411559733394 121.21689673862 -1.04987796491518 1.06445948731185 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 10 473 6 1 ZTF_r 1096484062115 0 2.7697 226.476 7.09536 26.2402 1.69138e-05 0.0326712 0.127325 2.62517e-05 341 30. 0.124715 0.068474 20.0033 26.2402 1 2458850.9840625 473120221 -40.3670608770029 44.087516616053 -1.01851233810875 1.01303517012892 -115.360799669411 68.9943400233283 -1.68329403909348 1.06818204162979 0.920334964719872 19.711999797821 0.109999999403954 4.27500009536743 0.555999994277954 2458185.927488 2458271.687905 0
 11 473 6 1 ZTF_g 1096541592115 0 3.3509 133.711 4.79571 26.2414 4.76236e-05 0.0532923 -0.0824614 8.35304e-05 309 30. 0.240484 0.074579 20.2713 26.2414 1 2458851.0415972 473120121 -80.3759759022389 37.2318449409864 -2.40141104005547 0.96601001077778 -52.0581605986823 52.8869696917735 -0.990958181399228 1.08580823698348 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
 12 473 6 1 ZTF_g 1099502842115 0 2.1436 134.628 4.96541 26.2523 4.97912e-05 0.055967 -0.100452 7.79278e-05 338 30. 0.202033 0.068992 20.6405 26.2523 1 2458854.0028472 473120121 -47.4480093486696 27.4440693355251 -1.92319928923218 1.01713683074382 -61.3997865930677 48.6377672523031 -1.27089135008507 1.0677167242628 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
 13 473 6 1 ZTF_g 1102540272115 0 2.2117 133.233 5.25247 26.2593 4.65282e-05 0.0542014 -0.113106 7.38616e-05 336 30. 0.183126 0.0629 20.5294 26.2593 1 2458857.0402778 473120121 -5.56125063424465 27.5196409539234 -0.22479389167782 1.07671769832322 -38.0316718335783 48.5779144440737 -0.788173345226787 1.06009050355269 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
 14 473 6 1 ZTF_g 1107460402115 0 3.4308 129.118 16.0234 26.2595 5.34432e-05 0.0409776 -0.037207 0.000108299 163 30. 0.095516 0.082481 18.9776 26.2595 1 2458861.9604051 473120121 -124.799933971594 113.340388711363 -1.22485437821052 0.9346284550626 -38.0130731927987 153.568180164987 -0.249199367907572 1.13046154696703 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
 15 473 6 1 ZTF_g 1119399822115 0 2.3165 105.439 4.94541 25.9969 5.15713e-05 0.0563149 -0.0970954 8.41749e-05 327 30. 0.186705 0.069696 20.2903 25.9969 1 2458873.8998264 473120121 -25.6360187933434 26.9172667452245 -1.0594352626629 1.05269321800929 -7.14155316138936 47.0680015085092 -0.152750312364975 1.05502384241732 0.914120007857437 19.8220002174377 0.096000000834465 4.85599994659424 0.340000003576279 2458230.815625 2458286.715914 0
