index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,fluxerr_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
127,473,6,1,ZTF_g,1226189542115,0,1.9412,127.669,3.93099,26.2382,8.63533e-05,0.0746189,-0.142826,0.000133118,346,30.0,0.250874,0.060356,20.946,26.2382,3,2458980.6895486,473120121,51259.1720547944,1414.5922689962238,475.517364874927,139.169012686533,51244.1906322346,102.814648269962,501.770166727735,1.04941614846156,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,51108.14177821195,6299.211452109021,14.466974772770365,0.13381534987582624,False,14.992559521649774,14.466974772770365,0.13381534987582624
128,473,6,1,ZTF_g,1227199272115,0,2.6856,132.531,4.38166,26.2302,5.71937e-05,0.0603663,-0.0999669,8.84704e-05,344,30.0,0.250223,0.066658,20.5731,26.2302,1,2458981.6992708,473120121,50602.1906557304,982.8231494715973,465.433443598753,66.0416153891841,53362.6530331734,112.359201819899,478.127760801279,1.06874151817368,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,50451.16037914796,4376.533771771849,14.473022101294859,0.09418222852167717,False,15.379949278973658,14.473022101294859,0.09418222852167717
129,473,6,1,ZTF_g,1227200212115,0,2.4327,132.084,4.3594,26.2523,6.82976e-05,0.0658366,-0.139291,0.000104873,344,30.0,0.242199,0.066338,20.6313,26.2523,3,2458981.7002199,473120121,51616.5395574951,1025.5817579554785,473.852789884352,71.6374445970101,53131.4273974604,108.141731570699,494.621917376317,1.06069440325601,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,51465.50928091266,4566.938824974235,14.473509313180932,0.09634268758928717,False,15.355812003690767,14.473509313180932,0.09634268758928717
132,473,6,1,ZTF_g,1232190552115,0,1.7346,130.777,5.10408,26.2467,4.17506e-05,0.0516786,-0.109069,6.59189e-05,340,30.0,0.15281,0.06155,20.7542,26.2467,3,2458986.6905556,473120121,46558.2316751277,1270.5049820372421,449.550739277317,121.620734212962,46129.3369336064,102.266641132842,454.107225557325,1.04092319475079,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,46407.20139854526,5657.587495858092,14.580236552655085,0.1323596889952877,False,15.117696791309553,14.580236552655085,0.1323596889952877
133,473,6,1,ZTF_g,1232192012115,0,1.6563,129.545,5.0656,26.2533,4.53807e-05,0.0537263,-0.115674,7.23009e-05,338,30.0,0.155067,0.061371,20.7648,26.2533,1,2458986.6920139,473120121,47030.9573908216,1477.2894052764898,451.015927254235,162.195082444673,46161.9458150545,102.988418001481,451.243451233264,1.03938513576168,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,46879.92711423915,6578.403221728501,14.575832680503302,0.15235033024744818,False,14.960573764300095,14.575832680503302,0.15235033024744818
135,473,6,1,ZTF_g,1233231582115,0,2.0913,133.216,4.37194,26.2886,6.79165e-05,0.0657646,-0.138288,0.000106208,341,30.0,0.228294,0.062683,20.8214,26.2886,3,2458987.7315856,473120121,45993.4890377664,1106.0668640603053,447.468398608032,93.580462772497,46210.7373004725,101.549197557151,458.122470625527,1.04951988932211,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,45842.45876118395,4925.340827594743,14.635430242557078,0.11664824882925864,False,15.310084267851423,14.635430242557078,0.11664824882925864
137,473,6,1,ZTF_g,1237170122115,0,1.708,130.801,5.71288,26.2395,2.97401e-05,0.0435534,-0.0828596,4.68111e-05,341,30.0,0.126797,0.061138,20.6259,26.2395,3,2458991.6701273,473120121,43800.4002262227,1315.7570558256593,435.937230026835,138.590536493232,43093.7106826107,98.5427245324794,440.255224414377,1.04015986362723,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,43649.369949640255,5859.096006605114,14.639555051681217,0.145734532748361,False,15.072498453222396,14.639555051681217,0.145734532748361
139,473,6,1,ZTF_g,1238192282115,0,2.0957,129.471,4.49244,26.2329,6.10008e-05,0.0621181,-0.129453,9.47097e-05,340,30.0,0.212085,0.062021,20.7316,26.2329,3,2458992.6922801,473120121,40710.3106835709,901.4959766240528,417.643626568706,69.122727486975,41036.8935686161,97.3161964358903,424.526244560646,1.053105671654,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,40559.28040698845,4014.382026850734,14.7126743968869,0.10745788689586509,False,15.476428240269525,14.7126743968869,0.10745788689586509
140,473,6,1,ZTF_g,1238193212115,0,2.1206,129.638,4.51012,26.2536,5.46306e-05,0.0588669,-0.125072,8.46878e-05,343,30.0,0.208808,0.061433,20.7467,26.2536,1,2458992.6932176,473120121,41359.035198395,996.4557095121233,421.023826889877,83.1531964058045,41217.0746093309,98.0140209662293,423.354470811297,1.04861122047598,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,41208.00492181256,4437.239870773635,14.716146028140237,0.11690717220694398,False,15.38839272245221,14.716146028140237,0.11690717220694398
143,473,6,1,ZTF_g,1239249002115,0,2.2524,123.655,5.35389,26.1785,4.27216e-05,0.0520389,-0.0975145,6.83269e-05,334,30.0,0.165111,0.074362,20.404,26.1785,3,2458993.7490046,473120121,37386.5689527418,747.2932100241302,395.17671549143,50.4224499047067,37990.3068714972,99.8490071197369,383.040101021551,1.05128672117577,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,37235.538676159355,3327.7136103731095,14.751105897394867,0.09702823687348187,False,15.625710131701702,14.751105897394867,0.09702823687348187
144,473,6,1,ZTF_g,1240221572115,0,1.8853,127.452,5.16901,26.2203,3.98076e-05,0.0503473,-0.115244,6.16643e-05,341,30.0,0.160007,0.063223,20.6426,26.2203,3,2458994.7215741,473120121,38973.3850545125,1073.1743934438466,408.847189876333,102.427548522519,37787.4168694912,95.2598458161316,399.348927874925,1.03930832626975,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,38822.35477793006,4778.869910047329,14.74759531481856,0.13364514056442361,False,15.274561968265782,14.74759531481856,0.13364514056442361
145,473,6,1,ZTF_g,1241200542115,0,1.7072,128.493,5.25466,26.2435,3.62595e-05,0.0480287,-0.111161,5.64004e-05,342,30.0,0.143993,0.061851,20.7189,26.2435,3,2458995.700544,473120121,38030.1361334333,1138.6512872628546,404.251445840031,118.391162348589,36851.8763710498,93.2648163644816,397.792836836669,1.0378074370076,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,37879.10585685085,5070.440003022524,14.797500702869039,0.14533016518619643,False,15.233460868640611,14.797500702869039,0.14533016518619643
146,473,6,1,ZTF_g,1241201462115,0,1.7016,128.397,5.27814,26.2355,3.7751e-05,0.0490773,-0.099329,5.82586e-05,343,30.0,0.150499,0.057802,20.7045,26.2355,1,2458995.7014699,473120121,37887.4395209991,1072.243259398848,401.378419774654,104.278451326952,36891.4666959516,96.0118806200098,386.826428217631,1.03970296223735,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,37736.40924441665,4774.723549029913,14.793598567232618,0.13737177068453515,False,15.29070441041104,14.793598567232618,0.13737177068453515
150,473,6,1,ZTF_g,1243186312115,0,1.7564,128.436,6.25268,26.2597,3.10955e-05,0.0443863,-0.100825,4.84037e-05,340,30.0,0.113125,0.065944,20.5448,26.2597,3,2458997.6863194,473120121,35406.2698492977,945.6634429813345,384.708168630125,85.3229897378595,34385.8896171209,96.7188665720848,357.918592194014,1.03793809862558,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,35255.239572715254,4211.060756111604,14.891640824453253,0.12968139539884713,False,15.451296220770969,14.891640824453253,0.12968139539884713
157,473,6,1,ZTF_g,1255231482115,0,4.0461,131.593,6.25031,26.252,4.23588e-05,0.0472779,-0.0707853,8.67544e-05,269,30.0,0.161861,0.08959,19.8279,26.252,1,2459009.7314815,473120121,25219.172568681,264.6913301972327,270.133946183338,6.4963062414841,27103.5325394028,108.627984887919,251.18827729897,1.16325701854936,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,25068.142292098553,1178.6764956912325,15.254194622043435,0.05104842059937276,False,16.826088431076542,15.254194622043435,0.05104842059937276
158,473,6,1,ZTF_g,1260199872115,0,1.9974,134.654,5.9464,26.2852,3.19995e-05,0.0447817,-0.107737,4.98746e-05,340,30.0,0.131442,0.069193,20.5227,26.2852,1,2459014.6998727,473120121,25959.5263050849,617.227113975077,324.07505384756,47.9819690487801,25376.5143501597,87.6335164835411,291.525750186478,1.04536066795331,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,25808.496028502454,2748.5263351982762,15.25579325729137,0.11562374804131198,False,15.940025232797977,15.25579325729137,0.11562374804131198
160,473,6,1,ZTF_g,1266197782115,0,1.8952,125.307,5.05998,26.1939,4.49847e-05,0.0535178,-0.101901,6.93748e-05,344,30.0,0.166802,0.06519,20.6386,26.1939,1,2459020.6977894,473120121,21777.571996068,595.2441261712934,297.324184328128,53.3730708275244,21184.0600915992,78.9599141213081,270.095733923599,1.04306107471003,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,21626.541719485554,2650.6355920066517,15.356432306605992,0.13306774146181327,False,15.888099926012574,15.356432306605992,0.13306774146181327
162,473,6,1,ZTF_g,1269214402115,0,1.8579,123.877,5.8321,26.1646,3.19503e-05,0.0450397,-0.0719967,4.99235e-05,339,30.0,0.141522,0.073845,20.4889,26.1646,1,2459023.7144097,473120121,19954.4861553566,488.34951468037013,279.848542005035,37.9067820538817,19603.99198212,79.5456711327658,248.109365537856,1.04744378931055,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,19803.455878774155,2174.631463021718,15.422747537210233,0.11922148305100909,False,16.07371082114883,15.422747537210233,0.11922148305100909
