index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,fluxerr_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
11,473,6,1,ZTF_g,1096541592115,0,3.3509,133.711,4.79571,26.2414,4.76236e-05,0.0532923,-0.0824614,8.35304e-05,309,30.0,0.240484,0.074579,20.2713,26.2414,1,2458851.0415972,473120121,-80.3759759022389,36.59361973501081,-2.40141104005547,0.96601001077778,-52.0581605986823,52.8869696917735,-0.990958181399228,1.08580823698348,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-231.40625248468342,162.95221850213443,,-0.7645308703984883,True,18.963824295373115,18.963824295373115,
12,473,6,1,ZTF_g,1099502842115,0,2.1436,134.628,4.96541,26.2523,4.97912e-05,0.055967,-0.100452,7.79278e-05,338,30.0,0.202033,0.068992,20.6405,26.2523,1,2458854.0028472,473120121,-47.4480093486696,27.678222621097834,-1.92319928923218,1.01713683074382,-61.3997865930677,48.6377672523031,-1.27089135008507,1.0677167242628,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-198.4782859311141,123.25175298219297,,-0.6742018532909435,True,19.27789222699309,19.27789222699309,
13,473,6,1,ZTF_g,1102540272115,0,2.2117,133.233,5.25247,26.2593,4.65282e-05,0.0542014,-0.113106,7.38616e-05,336,30.0,0.183126,0.0629,20.5294,26.2593,1,2458857.0402778,473120121,-5.56125063424465,28.555757767352944,-0.22479389167782,1.07671769832322,-38.0316718335783,48.5779144440737,-0.788173345226787,1.06009050355269,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-156.59152721668917,127.1594368880585,,-0.8816377430071537,True,19.25100349910892,19.25100349910892,
15,473,6,1,ZTF_g,1119399822115,0,2.3165,105.439,4.94541,25.9969,5.15713e-05,0.0563149,-0.0970954,8.41749e-05,327,30.0,0.186705,0.069696,20.2903,25.9969,1,2458873.8998264,473120121,-25.6360187933434,27.61734153822887,-1.0594352626629,1.05269321800929,-7.14155316138936,47.0680015085092,-0.152750312364975,1.05502384241732,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-176.6662953757879,122.98064813959608,,-0.7557756809308087,True,19.024883045264694,19.024883045264694,
17,473,6,1,ZTF_g,1122506182115,0,2.1629,133.115,4.91803,26.263,4.98094e-05,0.0559545,-0.115111,7.7897e-05,340,30.0,0.186255,0.067292,20.6117,26.263,1,2458877.0061806,473120121,-66.116586133404,28.346642058074597,-2.56298053864754,0.975805838176998,-96.090134501275,51.7785907507577,-1.8682877552874,1.05049857491453,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-217.1468627158485,126.22823989259012,,-0.6311212528578835,True,19.262683672858074,19.262683672858074,
20,473,6,1,ZTF_g,1126460032115,0,2.5298,133.743,4.94015,26.2442,4.61568e-05,0.0542275,-0.0939411,7.26071e-05,339,30.0,0.202705,0.075181,20.4609,26.2442,3,2458880.9600347,473120121,-62.196438447029,30.908812419855735,-2.14868438065513,0.921444657734245,-111.992946136822,53.8662276013255,-2.09309673413594,1.06405069998241,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-213.22671502947352,137.6376426151418,,-0.7008183217876985,True,19.149931925044825,19.149931925044825,
21,473,6,1,ZTF_g,1127460562115,0,2.1028,133.606,4.93598,26.2617,4.62032e-05,0.0540437,-0.110681,7.17847e-05,338,30.0,0.186578,0.066966,20.6423,26.2617,3,2458881.9605671,473120121,-24.38460882547,28.207868055727463,-0.955982650212862,0.988324040849478,-67.9064950237134,51.4756680171424,-1.32808085466566,1.05159550986351,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-175.4148854079145,125.61027611320345,,-0.7774430115150988,True,19.266712063493344,19.266712063493344,
38,473,6,1,ZTF_g,1141382712115,0,2.2847,131.25,5.24354,26.2363,4.83721e-05,0.0553805,-0.113847,7.57781e-05,339,30.0,0.183323,0.068692,20.4769,26.2363,3,2458895.8827199,473120121,-55.9302619208332,28.567241327174415,-2.12297720696839,0.950219550436538,-55.6397987995167,51.7322322374225,-1.08277825299682,1.05317459084926,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-206.96053850327772,127.21057344035262,,-0.6673374575801246,True,19.227566963316917,19.227566963316917,
41,473,6,1,ZTF_g,1144396622115,0,2.145,130.427,3.84881,26.2956,9.97767e-05,0.079682,-0.173142,0.000155596,340,30.0,0.291068,0.059905,20.8903,26.2956,1,2458898.8966204,473120121,-31.2614276106457,24.910514044969652,-1.37242140633833,0.966525084056959,2.85378486632317,45.6519565957958,0.062932796003199,1.0544040661512,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-182.29170419309023,110.92708393022775,,-0.6606638275512557,True,19.435580998327705,19.435580998327705,
42,473,6,1,ZTF_g,1144397512115,0,2.0491,131.166,3.85905,26.2453,9.92879e-05,0.079451,-0.15523,0.000155799,337,30.0,0.281236,0.060146,20.9333,26.2453,3,2458898.8975116,473120121,-44.3252055130936,21.815882646517178,-2.1107100826984,0.872150891465563,-63.9878455099261,43.3901891520512,-1.48463992874585,1.05603805841794,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-195.35548209553812,97.14662013692534,,-0.5398982631625304,True,19.529305750402976,19.529305750402976,
43,473,6,1,ZTF_g,1145396932115,0,2.3026,130.234,4.69206,26.2323,5.41497e-05,0.0582184,-0.116802,8.49635e-05,336,30.0,0.21253,0.069866,20.5846,26.2323,3,2458899.8969329,473120121,-4.59844673758861,26.959830733176307,-0.184946022602758,0.950150477425129,-25.3105316694508,48.5653380554078,-0.524674604908805,1.05134168270314,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-155.62872332003312,120.05273761452904,,-0.8375141455093861,True,19.28644481938251,19.28644481938251,
45,473,6,1,ZTF_g,1146357162115,0,2.3356,127.869,4.82696,26.2308,5.21801e-05,0.0576018,-0.12987,8.15366e-05,340,30.0,0.212092,0.066607,20.5361,26.2308,3,2458900.8571644,473120121,-8.5318554060316,27.494170310101232,-0.345673701983553,1.00280696828125,-21.6681336119933,48.2136480050003,-0.452445949252415,1.05100109336645,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-159.56213198847612,122.43216386762809,,-0.8330585625459297,True,19.263636175942487,19.263636175942487,
50,473,6,1,ZTF_g,1151294082115,0,3.5701,121.98,5.46793,26.1406,5.93095e-05,0.0583945,-0.0519331,0.000109138,294,30.0,0.203559,0.081416,19.9718,26.1406,3,2458905.7940856,473120121,6.58748309333203,40.78243575830707,0.178799995220735,0.990222289235347,25.9785524658944,55.4795332041873,0.471408427593834,1.10716807119963,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-144.4427934891125,181.60511124235055,,-1.3650294660818905,True,18.745354820422087,18.745354820422087,
51,473,6,1,ZTF_g,1152353172115,0,2.6194,129.272,5.12941,26.2073,4.58601e-05,0.0532625,-0.094251,7.35261e-05,331,30.0,0.197182,0.07025,20.3677,26.2073,3,2458906.8531713,473120121,-41.0590872714788,31.477293385039797,-1.4139685862851,0.949611798211352,-97.4905815210376,52.0768515009159,-1.88466052320708,1.06945996262287,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-192.08936385392332,140.16910124437243,,-0.7922437253566185,True,19.093244267458743,19.093244267458743,
