index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,fluxerr_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
10,473,6,1,ZTF_r,1096484062115,0,2.7697,226.476,7.09536,26.2402,1.69138e-05,0.0326712,0.127325,2.62517e-05,341,30.0,0.124715,0.068474,20.0033,26.2402,1,2458850.9840625,473120221,-40.3670608770029,44.37393041470353,-1.01851233810875,1.01303517012892,-115.360799669411,68.9943400233283,-1.68329403909348,1.06818204162979,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-282.6986084621969,288.7330139096355,,-1.1088750486142211,True,18.341533878617703,18.341533878617703,
16,473,6,1,ZTF_r,1119505982115,0,2.0232,228.129,6.14557,26.2653,1.87012e-05,0.0342873,0.12066,2.90883e-05,343,30.0,0.123253,0.067128,20.4483,26.2653,1,2458874.0059838,473120221,-6.26503538159129,33.536429391026914,-0.200386390550834,0.929851145149625,-43.1703377077978,63.36196941424,-0.685917638259107,1.05179700521948,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-248.5965829667853,218.2153855505742,,-0.9530156901791068,True,18.67066156963188,18.67066156963188,
18,473,6,1,ZTF_r,1122545202115,0,1.9527,225.28,6.61712,26.2729,1.37292e-05,0.0295108,0.106655,2.13145e-05,343,30.0,0.114586,0.056425,20.4407,26.2729,1,2458877.0452083,473120221,-17.841539906418,30.693680101436755,-0.660016314081518,1.04191668366836,14.5095056246353,58.4756685814831,0.249800102062379,1.03479589735585,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-260.17308749161197,199.71813812394402,,-0.8334220293563485,True,18.77443121745105,18.77443121745105,
19,473,6,1,ZTF_r,1125526192115,0,3.832,224.537,6.81998,26.2371,2.24614e-05,0.0376315,0.12708,3.48943e-05,342,30.0,0.13876,0.084742,19.7656,26.2371,1,2458880.0261921,473120221,-28.7362366910243,58.984817606326594,-0.555455448862539,1.05053265832591,-34.5419130154386,74.2203538239799,-0.468531245073747,1.17219422936084,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-271.0677842762183,383.8033729088272,,-1.5372366106866497,True,18.029403021542933,18.029403021542933,
22,473,6,1,ZTF_r,1129519692115,0,3.5242,221.066,7.20474,26.2292,2.1946e-05,0.036898,0.109555,3.42142e-05,337,30.0,0.129562,0.08171,19.7582,26.2292,3,2458884.0196991,473120221,21.9653251298367,57.2471155148413,0.41807834495284,0.959483895952485,-28.0513193732502,77.9559173078904,-0.362259179269522,1.13622816535171,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-220.36622245535727,372.49646460788085,,-1.8352150666225866,True,18.05396960120471,18.05396960120471,
23,473,6,1,ZTF_r,1129520602115,0,3.3136,221.052,7.23357,26.2198,1.95461e-05,0.03481,0.126585,3.05434e-05,338,30.0,0.126801,0.074464,19.8168,26.2198,1,2458884.0206019,473120221,-45.9442597650099,53.770662737601526,-0.954354738382733,1.008180578974,-68.1241853251039,74.8435987926005,-0.916350987114315,1.11556355476342,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-288.2758073502039,349.87582499570084,,-1.3176970578608764,True,18.112590150341084,18.112590150341084,
25,473,6,1,ZTF_r,1130497192115,0,4.1907,224.502,7.58239,26.2558,2.4754e-05,0.0389213,0.115614,3.79756e-05,334,30.0,0.128156,0.081713,19.5949,26.2558,3,2458884.9971991,473120221,-60.8491970104477,64.57316513569678,-1.06381864194173,1.02995923642429,-94.0259760401923,79.8247939222408,-1.18583765453637,1.1619916885451,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-303.18074459564167,420.1657237272002,,-1.5046269737843336,True,17.94982343754358,17.94982343754358,
27,473,6,1,ZTF_r,1131530102115,0,2.2278,224.978,7.61278,26.2555,1.52582e-05,0.0311037,0.116395,2.38438e-05,338,30.0,0.097013,0.063208,20.1158,26.2555,3,2458886.0301042,473120221,-45.2944509398274,39.36711830292423,-1.29265064415328,1.02007001901091,-94.9503789526386,68.4309477932806,-1.39688077252135,1.05230554782468,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-287.6259985250214,256.1546072279888,,-0.9669051424196418,True,18.486819560269712,18.486819560269712,
39,473,6,1,ZTF_r,1141435022115,0,2.1482,225.217,6.97419,26.2557,1.5621e-05,0.0313996,0.118081,2.42456e-05,341,30.0,0.112465,0.066405,20.2475,26.2557,3,2458895.9350231,473120221,-107.379221450599,34.097279967459016,-3.60998567430199,1.06194084254244,-228.594049459952,59.5830729856178,-3.86239970521077,1.0485247224727,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-349.71076903579296,221.86473722559597,,-0.6887936161358977,True,18.643054284788803,18.643054284788803,
40,473,6,1,ZTF_r,1144358052115,0,2.0184,221.48,5.60972,26.2455,1.86216e-05,0.034357,0.115178,2.89375e-05,341,30.0,0.162422,0.061192,20.5489,26.2455,3,2458898.8580556,473120221,-9.7321235800948,27.446660987706288,-0.387211094149366,0.963717594312213,-60.9289194308448,52.5533026410905,-1.16718219647705,1.04031811557337,0.920334964719872,19.711999797821,0.109999999403954,4.27500009536743,0.555999994277954,2458185.927488,2458271.687905,0,-252.06367116528878,178.5903812142487,,-0.7692325355253765,True,18.86842982839549,18.86842982839549,
