# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-11-03 at 04:10:13
#
# Requested input R.A. = 198.722667 degrees
# Requested input Dec. = 27.008639 degrees
# Requested JD start = 2458900.5 days
# Requested JD end = 2459150.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 626 9 2 ZTF_g 1146337983415 0 2.7335 67.0647 4.8507 26.0624 0.000163324 0.088873 -0.0493764 0.000265336 290 30. 0.170951 0.065843 20.2629 26.0624 2 2458900.8379861 626120134 -152.119891983278 28.4435918651609 -5.94916988833699 1.20913234328884 -291.834571601821 44.5149829187975 -6.6000271137512 1.07879198767892 1.94535399315518 17.8599998474121 0.0820000022649765 7.40100002288818 0.386999994516373 2458166.915532 2458243.728403 0
 1 626 9 2 ZTF_g 1146360383415 0 1.9682 81.0267 4.71103 26.2878 4.11122e-05 0.0448301 -0.105752 6.48339e-05 297 30. 0.14665 0.060437 20.8157 26.2878 2 2458900.8603819 626120134 23.6195364933199 22.5648699580845 1.16437624579813 1.16101598673958 16.3311104212002 41.6227153887512 0.395003094726953 1.05402869652723 1.94535399315518 17.8599998474121 0.0820000022649765 7.40100002288818 0.386999994516373 2458166.915532 2458243.728403 0
 2 626 9 2 ZTF_g 1146380403415 0 2.1049 82.7569 4.71558 26.2938 4.45628e-05 0.0464018 -0.0997558 7.05969e-05 294 30. 0.154478 0.062736 20.7801 26.2938 2 2458900.8804051 626120134 16.2387117143656 23.9070410957049 0.7555801585242 1.25691850022284 4.26012772370226 43.0118131811065 0.0997126047899643 1.05557865467711 1.94535399315518 17.8599998474121 0.0820000022649765 7.40100002288818 0.386999994516373 2458166.915532 2458243.728403 0
 3 626 9 2 ZTF_r 1146436563415 0 1.9566 271.739 6.34858 26.2759 1.62099e-05 0.0278376 0.1088 2.54588e-05 296 30. 0.098981 0.061396 20.5029 26.2759 2 2458900.9365625 626120234 -43.8710393311295 28.1655751944404 -1.73266299260786 1.14017291053744 -74.8849354776922 52.7646207069004 -1.4287848337887 1.04447808258667 1.74641014629453 16.9550003051758 0.0750000029802322 7.68499994277954 0.556999981403351 2458155.941539 2458184.848206 0
 4 626 9 2 ZTF_r 1146443933415 0 1.6669 211.127 7.41421 25.9893 1.78039e-05 0.0291184 0.117745 2.78568e-05 297 30. 0.078771 0.065146 20.1465 25.9893 2 2458900.9439352 626120234 11.8726642471461 29.2285388212775 0.451851660481573 1.07775524352495 58.8308897350947 57.6898320739307 1.02664745299292 1.03653378288379 1.74641014629453 16.9550003051758 0.0750000029802322 7.68499994277954 0.556999981403351 2458155.941539 2458184.848206 0
 5 626 9 2 ZTF_r 1146465923415 0 1.595 226.706 7.37983 26.0706 1.41723e-05 0.0259561 0.108276 2.22245e-05 296 30. 0.078275 0.065563 20.2313 26.0706 2 2458900.9659259 626120234 17.9884862914309 27.7075948243657 0.722188539771136 1.04413375667786 -78.8635350883224 55.7195673895392 -1.42489773797946 1.03083420122496 1.74641014629453 16.9550003051758 0.0750000029802322 7.68499994277954 0.556999981403351 2458155.941539 2458184.848206 0
 6 626 9 2 ZTF_r 1147384713415 0 2.0296 280.845 5.67026 26.305 1.81738e-05 0.0294653 0.115297 2.85596e-05 296 30. 0.118734 0.063151 20.5945 26.305 2 2458901.8847106 626120234 8.63638889736039 26.0876392933365 0.36825801726464 1.16512237710093 24.0708199911846 47.5520630174669 0.509608559776604 1.04457219095446 1.74641014629453 16.9550003051758 0.0750000029802322 7.68499994277954 0.556999981403351 2458155.941539 2458184.848206 0
 7 626 9 2 ZTF_r 1147417003415 0 2.0901 283.198 5.60135 26.3129 1.91999e-05 0.0302849 0.116979 3.0322e-05 294 30. 0.118446 0.063336 20.6197 26.3129 2 2458901.9170023 626120234 -2.69248301875999 27.4564933033569 -0.109084414496889 1.289961516428 43.5002227370607 49.7694142089773 0.879921934706575 1.04619269534799 1.74641014629453 16.9550003051758 0.0750000029802322 7.68499994277954 0.556999981403351 2458155.941539 2458184.848206 0
 8 626 9 2 ZTF_r 1147437833415 0 2.3235 286.005 5.44936 26.309 1.96715e-05 0.0304069 0.122162 3.0789e-05 292 30. 0.12967 0.065554 20.5335 26.309 2 2458901.9378356 626120234 33.744373110995 32.2928118748194 1.16238581892211 1.127495483642 -5.32988690093056 55.3847090775902 -0.0968820471431164 1.04926250427731 1.74641014629453 16.9550003051758 0.0750000029802322 7.68499994277954 0.556999981403351 2458155.941539 2458184.848206 0
