index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,fluxerr_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
0,626,9,2,ZTF_g,1146337983415,0,2.7335,67.0647,4.8507,26.0624,0.000163324,0.088873,-0.0493764,0.000265336,290,30.0,0.170951,0.065843,20.2629,26.0624,2,2458900.8379861,626120134,-152.119891983278,31.276731188422378,-5.94916988833699,1.20913234328884,-291.834571601821,44.5149829187975,-6.6000271137512,1.07879198767892,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-140.55041780083124,32.50448081697406,,-0.25108509369923787,True,20.535116905178135,20.535116905178135,
1,626,9,2,ZTF_g,1146360383415,0,1.9682,81.0267,4.71103,26.2878,4.11122e-05,0.0448301,-0.105752,6.48339e-05,297,30.0,0.14665,0.060437,20.8157,26.2878,2,2458900.8603819,626120134,23.6195364933199,24.31374933241229,1.16437624579813,1.16101598673958,16.3311104212002,41.6227153887512,0.395003094726953,1.05402869652723,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,35.18901067576665,25.26817121658341,22.421782357499627,0.7796085471859298,True,21.033940461654087,21.033940461654087,
2,626,9,2,ZTF_g,1146380403415,0,2.1049,82.7569,4.71558,26.2938,4.45628e-05,0.0464018,-0.0997558,7.05969e-05,294,30.0,0.154478,0.062736,20.7801,26.2938,2,2458900.8804051,626120134,16.2387117143656,26.80275196347648,0.7555801585242,1.25691850022284,4.26012772370226,43.0118131811065,0.0997126047899643,1.05557865467711,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,27.80818589681235,27.854878177340613,22.683368354943326,1.0875229815190983,True,20.93412183060286,20.93412183060286,
11,626,9,2,ZTF_g,1149354423415,0,2.0176,80.6119,4.51664,26.2623,4.99658e-05,0.0490126,-0.0955932,7.81898e-05,295,30.0,0.163657,0.063208,20.8235,26.2623,2,2458903.8544213,626120134,-17.4493505849948,25.026907482493034,-0.828500469667692,1.14112115103719,-18.3409234536699,42.6157428699393,-0.433277690001231,1.06201258605849,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-5.879876402548049,26.009323969059956,,-4.802536839204867,True,20.977052328616676,20.977052328616676,
12,626,9,2,ZTF_g,1149373023415,0,2.0314,81.4317,4.37687,26.2877,5.36723e-05,0.0507917,-0.10672,8.44615e-05,295,30.0,0.165669,0.056659,20.8677,26.2877,1,2458903.8730208,626120134,-17.9251002878217,25.426475603044544,-0.870397557205066,1.23189833701341,6.98812070767894,41.4875505385171,0.169573426519229,1.0614319966198,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-6.355626105374949,26.424576900426025,,-4.513979058102573,True,20.98525488343848,20.98525488343848,
13,626,9,2,ZTF_g,1149373923415,0,2.0776,81.5115,4.38396,26.2765,4.93872e-05,0.0487529,-0.0865675,7.77618e-05,294,30.0,0.17553,0.061734,20.8581,26.2765,2,2458903.8739236,626120134,16.003400118398,27.747222657786786,0.704026848666384,1.20415765859738,67.2438817982773,45.0770613498972,1.50180094229265,1.06824270303104,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,27.572874300844752,28.83642351148881,22.675294897581907,1.1354530784432664,True,20.879221501047653,20.879221501047653,
23,626,9,2,ZTF_g,1150421683415,0,3.1673,83.2423,4.54425,26.2821,4.75145e-05,0.0479021,-0.0590327,7.82401e-05,286,30.0,0.199814,0.072932,20.4214,26.2821,2,2458904.9216898,626120134,-80.3911269392389,36.128818681736824,-2.70408810090047,1.19350257825669,-53.6685309397935,47.3462734022981,-1.14116672128338,1.11709218017042,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-68.82165275679215,37.54703414195515,,-0.5923254286260591,True,20.598235895240492,20.598235895240492,
26,626,9,2,ZTF_g,1151297243415,0,3.3234,77.9457,5.53253,26.222,3.91751e-05,0.0422354,-0.0517207,6.84537e-05,275,30.0,0.150133,0.077892,20.1013,26.222,2,2458905.7972454,626120134,-64.6628594494017,41.19727769451584,-1.79545683586024,1.05746879870543,-70.6438720245697,56.2356324431083,-1.26467258350999,1.10161840101905,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-53.09338526695494,42.81445252273143,,-0.8755073889187607,True,20.395599001710323,20.395599001710323,
28,626,9,2,ZTF_g,1151516713415,8,5.325,81.1222,5.10934,26.2806,4.58004e-05,0.0389376,-0.0271364,9.58045e-05,191,30.0,0.183177,0.090816,19.8094,26.2806,2,2458906.016713,626120134,-54.7187896302814,55.430767496553436,-1.11644468702616,1.03369791341962,-83.8347616361166,62.5960055622295,-1.34831915904372,1.37457436320538,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-43.14931544783465,57.60666956874376,,-1.4494682129174707,True,20.131993069264368,20.131993069264368,
29,626,9,2,ZTF_g,1152332913415,0,2.5909,81.9303,5.17398,26.2754,3.77672e-05,0.0426369,-0.0745806,6.13821e-05,290,30.0,0.150847,0.067908,20.4528,26.2754,2,2458906.8329167,626120134,-74.3571614566538,32.79082323061477,-2.63683671211135,1.09273764829816,-154.331682268025,50.2464983264274,-3.09217796667518,1.08513616735625,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-62.787687274207045,34.07800764892104,,-0.5892635086693568,True,20.69678949900933,20.69678949900933,
30,626,9,2,ZTF_g,1152336093415,0,2.724,82.0508,5.15562,26.2747,3.74988e-05,0.0425129,-0.0657163,6.14083e-05,288,30.0,0.150954,0.067401,20.3999,26.2747,2,2458906.8360995,626120134,-25.2739466236679,32.589315446767,-0.953394504203448,1.22134971151204,-12.5712010431425,46.0804401822628,-0.274647307087194,1.09101159586397,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-13.70447244122115,33.868589795914225,,-2.683148008734844,True,20.70278220397021,20.70278220397021,
31,626,9,2,ZTF_g,1152350463415,0,2.6324,81.6609,5.03766,26.2838,4.52215e-05,0.0460322,-0.0754919,7.30514e-05,289,30.0,0.157556,0.065756,20.475,26.2838,1,2458906.850463,626120134,-11.0609555102957,34.21000920812729,-0.346629749352129,0.928844802374797,34.7682996945111,56.1008598061127,0.623920316271707,1.08598702831083,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,0.50851867215105,35.55290293461669,27.01803273928532,75.90633113398773,True,20.659187321290567,20.659187321290567,
37,626,9,2,ZTF_g,1154318643415,0,2.6978,80.218,5.04647,26.2607,4.6246e-05,0.0467884,-0.085865,7.3644e-05,291,30.0,0.158557,0.076413,20.4255,26.2607,2,2458908.8186458,626120134,-36.4141231112171,32.38765846092093,-1.33599002232075,1.14108032335309,-120.303873799011,47.9651231927867,-2.5250456842136,1.07834709243783,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-24.84464892877035,33.6590168840727,,-1.4708839209524867,True,20.69552142188884,20.69552142188884,
38,626,9,2,ZTF_g,1154343193415,0,2.6361,80.8099,4.89654,26.2738,4.58166e-05,0.0469822,-0.0881598,7.1981e-05,295,30.0,0.163769,0.074619,20.5067,26.2738,2,2458908.8431944,626120134,10.1751065191737,31.496115415454295,0.384375246996294,1.14402964899,-44.2228522424424,47.8609495815545,-0.930209201570275,1.07047833213989,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,21.74458070162045,32.732476842394554,22.930422405927654,1.6343221603320885,True,20.738927815923127,20.738927815923127,
43,626,9,2,ZTF_g,1155261863415,8,5.7191,74.3303,6.27089,26.2088,6.72349e-05,0.0418068,-0.0402765,0.000156488,151,30.0,0.139563,0.1049,19.4405,26.2088,2,2458909.7618634,626120134,-50.6149280057819,64.55538015497353,-0.867044231560372,0.988281221321788,-77.9352797257096,73.4873366229753,-1.06766936895807,1.39749894981557,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-39.04545382333515,67.08946351326323,,-1.8654932496345662,True,19.894739191619667,19.894739191619667,
47,626,9,2,ZTF_g,1157396533415,0,2.7508,82.4133,4.88396,26.2878,5.10506e-05,0.0490266,-0.0859299,8.17861e-05,288,30.0,0.161857,0.06551,20.463,26.2878,2,2458911.8965394,626120134,14.0863944704721,34.2197376321974,0.497964375417071,1.1826074349692,-41.1102556422799,49.0305213650397,-0.844109636754054,1.08766730944534,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,25.65586865291885,35.5630132422336,22.764833191190093,1.5049485947808787,True,20.662878610451,20.662878610451,
55,626,9,2,ZTF_g,1158507073415,0,1.8757,81.0425,4.90449,26.279,3.79221e-05,0.0427983,-0.0860292,5.99461e-05,294,30.0,0.130442,0.058129,20.7962,26.279,2,2458913.0070718,626120134,42.4669372668755,24.458834501126365,2.0388628068669,1.11438700845639,22.6838243805431,43.1184149026339,0.5296252493146,1.05835675610936,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,54.036411449322244,25.41895161799057,21.947283750323468,0.5107177740241761,True,21.018680902913843,21.018680902913843,
56,626,9,2,ZTF_g,1158544103415,0,1.8812,79.0238,6.20249,26.2387,3.35432e-05,0.0396908,-0.0617704,5.32147e-05,288,30.0,0.110154,0.065987,20.5136,26.2387,2,2458913.0441088,626120134,22.3416260379968,29.348832332324633,0.916587125612157,1.17162869991094,95.0140246609906,50.6360470521513,1.88904851686367,1.05532346348389,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,33.91110022044355,30.500903428800832,22.412845299079102,0.9765189167376396,True,20.78049323109363,20.78049323109363,
76,626,9,2,ZTF_g,1182287493415,0,2.1421,77.9134,4.7727,26.2407,4.38748e-05,0.0454166,-0.0950326,6.93039e-05,287,30.0,0.14886,0.06079,20.6822,26.2407,2,2458936.7875,626120134,-45.1159216776979,27.089499417775297,-1.88249186220604,1.03252102624033,-42.5555161864227,47.9604668754296,-0.893280087277762,1.06046792224334,1.94535399315518,17.8599998474121,0.0820000022649765,7.40100002288818,0.386999994516373,2458166.915532,2458243.728403,0,-33.546447495251144,28.15288173376796,,-0.9111421918126729,True,20.869467849360404,20.869467849360404,
