# ZTF DR2 lightcurve of ZTF18aahvndq
# --------------- #
# mjd_max_init:   58994.23253 (phot: fclump)
# baseline_range: 58894.23253 => 59785.92041
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  626   34   ztfg      509.63     1.37     291
#  626   34   ztfr      -22.66     1.36     189
#  626   34   ztfi       85.76     1.77      25
#  1671  09   ztfg     1578.36     1.00      11
#  1671  09   ztfr     -603.59     1.28      14
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58211.34478        ztfg -3792.35183  3939.55706    30.00000          32    99.00000    99.00000    19.26396         626          34   509.62506     1.37206           0  1226.77095   253.79764    26.30259     0.00007     0.04081     1.00121 ztf_20180403344676_000626_zg_c09_o_q3_sciimg.fits
 58211.34582        ztfg -4679.69102  4067.62462    30.00000          32    99.00000    99.00000    19.22922         626          34   509.62506     1.37206           0  1226.47035   254.09965    26.31783     0.00008     0.04050     1.00115 ztf_20180403345752_000626_zg_c09_o_q3_sciimg.fits
 58214.23682        ztfr   681.34621  4787.58917    30.00000          32    99.00000    99.00000    19.05228         626          34   -22.65673     1.36254           1  1203.79688   266.15923    26.27500     0.00006     0.04617     1.00150 ztf_20180406236794_000626_zr_c09_o_q3_sciimg.fits
 58214.24479        ztfr  3479.52810  4555.91629    30.00000           0    99.00000    99.00000    19.10614         626          34   -22.65673     1.36254           1  1203.47380   269.64373    26.27500     0.00005     0.04338     1.00112 ztf_20180406244769_000626_zr_c09_o_q3_sciimg.fits
 58214.26736        ztfg -1816.08708  5105.57527    30.00000          36    99.00000    99.00000    18.98246         626          34   509.62506     1.37206           0  1206.43562   272.05635    25.00869     0.00015     0.05626     1.00166 ztf_20180406267350_000626_zg_c09_o_q3_sciimg.fits
 58214.26831        ztfg -5710.33675  8020.28587    30.00000          52    99.00000    99.00000    18.49210         626          34   509.62506     1.37206           0  1206.64093   272.15576    24.55374     0.00029     0.06141     1.00143 ztf_20180406268287_000626_zg_c09_o_q3_sciimg.fits
 58214.38564        ztfi 23684.58184 54086.24570    30.00000          28    99.00000    99.00000    16.41986         626          34    85.75988     1.77058           0  1224.06732   272.10021    23.45268     0.00026     0.05709     1.00088 ztf_20180406385613_000626_zi_c09_o_q3_sciimg.fits
 58216.24058        ztfr  1672.39699  1342.06451    30.00000           0    99.00000    99.00000    20.43314         626          34   -22.65673     1.36254           1  1206.43221   308.29558    26.27500     0.00001     0.02417     1.00157 ztf_20180408240556_000626_zr_c09_o_q3_sciimg.fits
 58217.27792        ztfr -2720.48317  1170.69544    30.00000           0    99.00000    99.00000    20.58147         626          34   -22.65673     1.36254           0  1214.44747   314.41921    26.27500     0.00002     0.02676     1.00122 ztf_20180409277882_000626_zr_c09_o_q3_sciimg.fits
 58217.28396        ztfr -8131.76518  2251.29917    30.00000           4    99.00000    99.00000    19.87149         626          34   -22.65673     1.36254           0  1214.13533   316.32034    26.27500     0.00011     0.07060     1.00112 ztf_20180409283947_000626_zr_c09_o_q3_sciimg.fits
 58217.31644        ztfr   342.17620   952.78754    30.00000           0    99.00000    99.00000    20.80508         626          34   -22.65673     1.36254           1  1219.24488   315.89289    26.27500     0.00001     0.02529     1.00337 ztf_20180409316296_000626_zr_c09_o_q3_sciimg.fits
 58217.31913        ztfr   444.23362  1160.84322    30.00000           0    99.00000    99.00000    20.59064         626          34   -22.65673     1.36254           1  1221.81112   321.44563    26.27500     0.00002     0.02848     1.00142 ztf_20180409319062_000626_zr_c09_o_q3_sciimg.fits
 58218.25642        ztfr  1067.26832  1071.08331    30.00000           0    99.00000    99.00000    20.67802         626          34   -22.65673     1.36254           1  1209.51719   285.52505    26.27500     0.00001     0.02454     1.00138 ztf_20180410256412_000626_zr_c09_o_q3_sciimg.fits
 58218.27810        ztfr   501.36685  1151.23119    30.00000           0    99.00000    99.00000    20.59967         626          34   -22.65673     1.36254           1  1215.00933   290.67481    26.27500     0.00001     0.02576     1.00141 ztf_20180410278079_000626_zr_c09_o_q3_sciimg.fits
 58218.30473        ztfr  1972.31266  1047.20631    30.00000           0    99.00000    99.00000    20.70249         626          34   -22.65673     1.36254           1  1219.97780   293.10974    26.27500     0.00002     0.02690     1.00144 ztf_20180410304549_000626_zr_c09_o_q3_sciimg.fits
 58219.30297        ztfr -2261.80553  3535.72398    30.00000           4    99.00000    99.00000    19.38138         626          34   -22.65673     1.36254           0  1215.96677   277.92754    26.27500     0.00006     0.05108     1.00123 ztf_20180411302859_000626_zr_c09_o_q3_sciimg.fits
 58219.31352        ztfr  3631.05630  3877.94942    30.00000          32    99.00000    99.00000    19.28107         626          34   -22.65673     1.36254           0  1216.90652   277.86325    26.27500     0.00005     0.04673     1.00129 ztf_20180411313368_000626_zr_c09_o_q3_sciimg.fits
 58221.25880        ztfr  4128.98710  3683.53041    30.00000          44    99.00000    99.00000    19.33691         626          34   -22.65673     1.36254           0  1220.11005   272.65663    26.27500     0.00006     0.05143     1.00136 ztf_20180413258773_000626_zr_c09_o_q3_sciimg.fits
 58221.25971        ztfr  6586.90501  2505.02745    30.00000          32    99.00000    99.00000    19.75554         626          34   -22.65673     1.36254           0  1220.73108   272.47159    26.27500     0.00004     0.04194     1.00132 ztf_20180413259699_000626_zr_c09_o_q3_sciimg.fits
 58221.28633        ztfr  7693.84948  2612.39162    30.00000          32    99.00000    99.00000    19.70998         626          34   -22.65673     1.36254           0  1220.74515   278.16684    26.27500     0.00003     0.03770     1.00324 ztf_20180413285961_000626_zr_c09_o_q3_sciimg.fits
