# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-11-03 at 03:09:29
#
# Requested input R.A. = 280.818572284 degrees
# Requested input Dec. = +71.6768336908 degrees
# Requested JD start = 2458900.5 days
# Requested JD end = 2459000.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 849 15 3 ZTF_r 1146486825915 2080 3.6579 33.9659 10.1911 24.0862 0.00171124 0.251643 0.215577 0.00454381 349 30. 0.074822 0.071871 17.2802 24.0862 1 2458900.9868287 849120259 -15.0229672815989 55.2373174614879 -0.302536614801551 1.05527846651495 7.97972161013292 83.6741627637487 0.0960089139699186 1.04278006555672 0.81972013656116 18.6930002212524 0.090999998152256 6.77799987792969 0.425000011920929 2458187.019086 2458287.826724 0
 1 849 15 3 ZTF_g 1146538295915 0 2.2865 19.7591 7.51292 24.672 3.64602e-05 0.0449741 -0.0334206 0.000102806 532 30. 0.04876 0.066759 18.5558 24.672 1 2458901.0382986 849120159 15.362900707006 45.4887897866283 0.375684815489124 0.906585906808667 4.36302207295548 77.5997292331842 0.0566033840716621 1.0716773530578 1.09627216714184 19.141999912262 0.0869999974966049 6.68300008773804 0.310999989509583 2458205.978090 2458288.905393 0
 2 849 15 3 ZTF_r 1149513095915 0 1.8833 234.28 6.38568 26.2134 3.6335e-06 0.023243 0.0898928 6.79086e-06 1073 30. 0.049617 0.055194 20.4903 26.2134 1 2458904.0130903 849120259 -19.1819712141008 26.6490249004896 -0.800694256737204 1.02724862547943 -7.75538707644148 50.1214964304472 -0.155773881680514 1.05081387910964 0.81972013656116 18.6930002212524 0.090999998152256 6.77799987792969 0.425000011920929 2458187.019086 2458287.826724 0
 3 849 15 3 ZTF_g 1149532195915 0 1.9448 85.7068 4.95214 26.2736 7.3873e-06 0.0331316 -0.0873951 1.38305e-05 1068 30. 0.070655 0.051066 20.785 26.2736 1 2458904.0321991 849120159 1.94954921937108 24.8087556574154 0.0874146098279122 1.03709121953335 -13.5916500996091 45.2673735598294 -0.302274896221654 1.06678420589204 1.09627216714184 19.141999912262 0.0869999974966049 6.68300008773804 0.310999989509583 2458205.978090 2458288.905393 0
 4 849 15 3 ZTF_r 1154507315915 0 1.784 233.119 6.9278 26.2121 3.4093e-06 0.0223628 0.0833417 6.39702e-06 1062 30. 0.044263 0.053652 20.4194 26.2121 1 2458909.0073148 849120259 10.9669504688853 28.7548169927368 0.424258034079034 1.08453055346582 -20.1268396578187 55.4043796245545 -0.36571829191514 1.0427680255962 0.81972013656116 18.6930002212524 0.090999998152256 6.77799987792969 0.425000011920929 2458187.019086 2458287.826724 0
 5 849 15 3 ZTF_g 1154550795915 0 2.3667 87.3919 7.39433 26.3025 6.8748e-06 0.0312836 -0.0668665 1.34777e-05 1036 30. 0.04936 0.061196 20.1847 26.3025 1 2458909.0507986 849120159 -43.3510618689421 42.9803242481362 -1.12197932307965 0.997955695689683 -14.875593589121 72.70595023295 -0.205977385892451 1.06609468832752 1.09627216714184 19.141999912262 0.0869999974966049 6.68300008773804 0.310999989509583 2458205.978090 2458288.905393 0
 6 849 15 3 ZTF_r 1157507895915 0 4.5148 227.06 7.2072 26.198 1.03465e-05 0.0389808 0.0947856 1.93645e-05 1047 30. 0.077917 0.087225 19.551 26.198 1 2458912.0078935 849120259 51.3373104791024 62.0596885205176 0.920191722237812 1.00455879900021 71.8988766650434 75.5535711631593 0.958037040760987 1.20154492477988 0.81972013656116 18.6930002212524 0.090999998152256 6.77799987792969 0.425000011920929 2458187.019086 2458287.826724 0
 7 849 15 3 ZTF_g 1157545355915 0 3.7781 84.7598 6.64358 26.277 1.10844e-05 0.0357134 -0.0648119 2.53423e-05 900 30. 0.066968 0.075582 19.8937 26.277 1 2458912.0453588 849120159 29.6954585506466 52.6693687871299 0.627172090008581 1.05049889290466 -0.887326789574819 69.238419546389 -0.012901839649248 1.13031340019815 1.09627216714184 19.141999912262 0.0869999974966049 6.68300008773804 0.310999989509583 2458205.978090 2458288.905393 0
 8 849 15 3 ZTF_r 1158493555915 0 1.7827 219.62 7.67447 26.1313 3.1989e-06 0.0218398 0.0919378 5.96353e-06 1070 30. 0.045735 0.053271 20.247 26.1313 1 2458912.9935532 849120259 26.2212376639726 30.511857487003 0.955959163949503 1.07485069598912 4.30237238457474 58.0501604334645 0.0746139042128217 1.05028357412856 0.81972013656116 18.6930002212524 0.090999998152256 6.77799987792969 0.425000011920929 2458187.019086 2458287.826724 0
