index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
45,586,1,3,ZTF_g,1231419660315,0,2.0695,68.8252,4.74471,26.1308,2.2244e-06,0.0189438,-0.0632022,6.59279e-06,1903,30.0,0.04934,0.052062,20.5585,26.1308,1,2458985.9196644,586120103,187.242440362402,23.18975575153051,9.17781277713049,1.04412513193823,125.805795410514,40.3521925264392,3.13869202021289,1.0442585582736,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,181.87516062675635,20.481366525284557,0.13843076609622948,False,20.970134553132162,20.481366525284557,0.13843076609622948
48,586,1,3,ZTF_g,1233404510315,0,2.6165,70.975,3.79914,26.1738,2.7439e-06,0.0208965,-0.0915078,8.15262e-06,1907,30.0,0.070184,0.05419,20.6379,26.1738,1,2458987.9045139,586120103,301.879614160866,22.255754673283548,15.5705393303881,1.06491461627853,284.085740516914,34.2295251326534,8.3553328074456,1.04334249411431,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,296.5123344252204,19.993693089970268,0.08149095347289106,False,21.05776917561902,19.993693089970268,0.08149095347289106
50,586,1,3,ZTF_g,1237317770315,0,2.377,68.7041,4.79132,26.1004,3.703e-06,0.0245329,-0.0316396,1.09501e-05,1901,30.0,0.056913,0.061454,20.4343,26.1004,1,2458991.8177778,586120103,534.896323713297,27.896996186389796,22.1395033385631,1.07746161169081,525.005159108923,41.02374123898,12.8837859029648,1.07183597831735,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,529.5290439776513,19.2906755360428,0.05719755904615063,False,20.7390813815052,19.2906755360428,0.05719755904615063
52,586,1,3,ZTF_g,1238338840315,0,2.2886,68.8117,4.01305,26.1109,2.043e-06,0.0182421,-0.0461816,6.04229e-06,1906,30.0,0.06261,0.052346,20.6626,26.1109,1,2458992.8388426,586120103,534.763150854438,25.481545724161144,26.0256346063632,1.24285838025099,474.130864923478,34.2492417911191,13.9367804545555,1.06210559002612,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,529.3958711187923,19.301448625462186,0.05225827344337915,False,20.847910566666446,19.301448625462186,0.05225827344337915
54,586,1,3,ZTF_g,1241319660315,0,2.2607,67.9633,4.63297,26.1152,2.0454e-06,0.0182713,-0.0566875,6.04853e-06,1916,30.0,0.056369,0.053704,20.5033,26.1152,1,2458995.8196644,586120103,637.984048406856,26.620712899199944,27.5361142197435,1.06687964597925,607.738191154655,40.2936169923864,15.1843241810198,1.05030680891774,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,632.6167686712104,19.11234825123389,0.045686597994184154,False,20.80472578505082,19.11234825123389,0.045686597994184154
59,586,1,3,ZTF_g,1243381660315,0,1.9716,69.227,4.26318,26.1087,2.057e-06,0.0182623,-0.0421844,6.10005e-06,1916,30.0,0.047128,0.049924,20.7425,26.1087,1,2458997.8816667,586120103,617.275462699898,25.077111945657514,29.8492410324195,1.18837633186802,631.404438896108,36.2325360127681,17.543817079099,1.05776238803304,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,611.9081829642523,19.141984347509855,0.0444939636327611,False,20.86308119248401,19.141984347509855,0.0444939636327611
61,586,1,3,ZTF_g,1244360710315,0,2.081,68.9138,3.91814,26.1241,1.7563e-06,0.0169535,-0.0547475,5.18295e-06,1920,30.0,0.050019,0.049336,20.7647,26.1241,1,2458998.8607176,586120103,614.424994285493,24.73842387605574,31.9349734008033,1.33607186983554,569.554847390515,32.4574552118932,17.6659207665446,1.05117921053576,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,609.0577145498473,19.162453878750746,0.04409845924385796,False,20.893244922687167,19.162453878750746,0.04409845924385796
63,586,1,3,ZTF_g,1245400060315,0,2.9984,69.8303,4.19808,26.1216,3.0469e-06,0.022328,-0.0239333,9.01706e-06,1918,30.0,0.070112,0.062021,20.4343,26.1216,1,2458999.9000694,586120103,529.429265149679,29.42321686264207,21.1478543175126,1.11631673444273,522.507295049538,38.0298190314744,13.8319462237975,1.11262836396479,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,524.0619854140334,19.323143355388098,0.06095612243756361,False,20.702449607327964,19.323143355388098,0.06095612243756361
68,586,1,3,ZTF_g,1247395530315,0,1.8227,65.787,6.59505,26.062,2.2142e-06,0.0191317,-0.0429902,6.50939e-06,1912,30.0,0.041937,0.048836,20.325,26.062,1,2459001.8955324,586120103,514.412291218254,30.078507980200087,21.4140089476285,1.26699897281295,491.661532282624,46.2244424199709,10.7080339984025,1.05097109532724,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,509.0450114826084,19.295109535443796,0.06415196176658523,False,20.618934265082093,19.295109535443796,0.06415196176658523
80,586,1,3,ZTF_g,1257278290315,0,2.2761,62.7734,4.55256,26.0024,2.3939e-06,0.0198831,-0.0399684,7.03156e-06,1915,30.0,0.056498,0.055175,20.4231,26.0024,1,2459011.7782986,586120103,263.706358718858,23.742596727056704,12.3056155891566,0.992001466432721,250.242079673363,38.5561004595688,6.53404964388963,1.0722822871847,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,258.33907898321235,19.971924732698334,0.09978102177967646,False,20.816154449184836,19.971924732698334,0.09978102177967646
