index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
1,586,1,3,ZTF_g,1150551600315,0,3.3793,68.1383,6.15543,26.1042,4.2754e-06,0.0264051,-0.0407249,1.26462e-05,1898,30.0,0.070244,0.067166,19.8972,26.1042,1,2458905.0516088,586120103,3.74306494453503,37.61679531194777,0.109383463455637,0.97656825291816,-22.3207696849484,52.860736244467,-0.425100044938403,1.1218804912277,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-1.6242147911106102,,-25.144799132296797,True,20.418320504320526,20.418320504320526,
3,586,1,3,ZTF_g,1154545720315,0,2.3799,68.4502,5.37219,26.1117,3.3122e-06,0.0230912,-0.0471285,9.83848e-06,1908,30.0,0.054906,0.060023,20.307,26.1117,1,2458909.0457292,586120103,-36.621972981519,26.008968220934907,-1.61064485466163,1.05743273111893,-111.272445598499,43.0868894049348,-2.59990622365105,1.05145751791196,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-41.98925271716464,,-0.6725039139819162,True,20.826467179108796,20.826467179108796,
5,586,1,3,ZTF_g,1157537880315,0,3.0364,68.632,5.27724,26.0964,2.8018e-06,0.0214493,-0.0412361,8.29932e-06,1907,30.0,0.070522,0.063726,20.1476,26.0964,1,2458912.0378819,586120103,-51.398247584829,31.567491679445947,-1.80835934628117,0.996881171217969,-88.3392860091653,46.758526122524,-1.90199015148575,1.09349716126366,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-56.76552732047464,,-0.6037612497261639,True,20.60087480248877,20.60087480248877,
8,586,1,3,ZTF_g,1182497980315,0,2.2993,67.4609,4.75559,26.0832,2.1915e-06,0.018845,-0.0539729,6.50329e-06,1908,30.0,0.055746,0.052691,20.4542,26.0832,1,2458936.9979861,586120103,-43.8385676457446,23.21802987732895,-2.13089076805522,1.0293209051949,-57.7188150325436,40.0087771083478,-1.45237017405639,1.05151615911323,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-49.205847381390235,,-0.5122930785528895,True,20.92121157486808,20.92121157486808,
10,586,1,3,ZTF_g,1185465120315,0,2.3199,10.827,6.17342,24.0478,3.78965e-05,0.0552674,-0.0129061,0.000116591,1153,30.0,0.053651,0.062589,18.1254,24.0478,1,2458939.9651273,586120103,-21.9334953823123,32.23946750414342,-0.781413816390751,1.06613596569432,-7.44073897936114,52.9447372368092,-0.141484369843684,1.06737657812085,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-27.30077511795794,,-1.2821024208292384,True,18.529405339168665,18.529405339168665,
14,586,1,3,ZTF_g,1199433390315,0,2.6273,66.8695,6.84865,26.0705,4.367e-06,0.0266729,-0.0468978,1.29387e-05,1916,30.0,0.065729,0.063823,19.9507,26.0705,1,2458953.9333912,586120103,-32.0630371353448,37.18496766861211,-0.956100926332856,0.993626981630873,-50.6122967217131,59.6731030674837,-0.853871691480251,1.07509127948532,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-37.43031687099044,,-1.0785834257551103,True,20.397156468620928,20.397156468620928,
16,586,1,3,ZTF_g,1200433960315,0,2.9862,67.3566,6.00733,26.0966,3.9174e-06,0.0253737,-0.0518479,1.15858e-05,1911,30.0,0.077146,0.061411,20.008,26.0966,1,2458954.9339699,586120103,-11.0967999382583,33.16514987013437,-0.351132292638331,0.890021212896297,14.6106935817596,52.6568650779715,0.279338646952817,1.07999008961142,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-16.46407967390394,,-2.187027998356793,True,20.547470078725006,20.547470078725006,
20,586,1,3,ZTF_g,1202462070315,33554432,1.8498,19.5546,6.04892,24.6958,0.000114714,0.134879,-0.0441198,0.000337566,1854,30.0,0.047743,0.052618,18.9757,24.6958,1,2458956.9620718,586120103,-21.4053143748174,24.93002263369285,-0.967230084633415,1.02553884445901,-19.1780829348744,46.7614000595096,-0.412888587644493,1.04631305073029,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-26.77259411046304,,-1.010978818926718,True,19.456568307172134,19.456568307172134,
26,586,1,3,ZTF_g,1210381520315,0,2.1318,65.653,4.46092,26.0531,2.1907e-06,0.0190343,-0.033788,6.43876e-06,1911,30.0,0.051614,0.056489,20.595,26.0531,1,2458964.8815278,586120103,30.1661344265321,20.44616254567899,1.65595963828725,1.01806190411559,39.6329031552574,35.2535756870805,1.13179535013539,1.07384647056769,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,24.798854690886458,22.567020940365296,0.8951380599040955,True,21.029145466446245,21.029145466446245,
30,586,1,3,ZTF_g,1213435830315,0,1.8208,67.8086,4.43806,26.0827,2.1631e-06,0.0187669,-0.0413253,6.39797e-06,1910,30.0,0.0502,0.04807,20.7479,26.0827,1,2458967.9358333,586120103,-57.5535391423078,16.42039139196762,-3.9341101847495,1.01813736452368,-86.7324693206901,30.5570486894679,-2.85749511934394,1.05294451652358,1.5628282087875,19.6210000038147,0.108999997377396,3.71600008010864,0.335999995470047,2458207.009583,2458302.709873,0,-62.92081887795344,,-0.2833341849672874,True,21.296816227581118,21.296816227581118,
