index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,fluxerr_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
0,586,1,3,ZTF_r,1150523770315,0,2.4945,129.771,6.32433,26.0255,2.4265e-06,0.0195719,0.0741421,7.22649e-06,1907,30.0,0.065379,0.054413,20.0645,26.0255,1,2458905.0237731,586120203,-85.6138213310376,33.054567554372106,-2.98941216877378,1.07655739715587,-70.6607323325944,51.7708366682986,-1.37406773790606,1.07182363294078,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-114.1963799081921,50.00706013384416,,-0.47543245443474713,True,20.030496680284198,20.030496680284198,
2,586,1,3,ZTF_r,1154514310315,0,2.3417,126.296,6.62146,25.9805,1.7863e-06,0.016826,0.0765111,5.32842e-06,1912,30.0,0.050757,0.060784,20.0151,25.9805,1,2458909.0143171,586120203,20.5889143237698,31.245286749515905,0.767547757344413,1.09648665051779,41.6296534539603,50.334374039435,0.832632418003175,1.05697644302141,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-7.993644253384701,47.269864620436614,,-6.420212157512205,True,20.046614092916183,20.046614092916183,
4,586,1,3,ZTF_r,1157503330315,0,3.7602,127.25,6.63223,26.0045,3.5621e-06,0.0239683,0.0762188,1.05821e-05,1910,30.0,0.07709,0.082508,19.6794,26.0045,1,2458912.0033333,586120203,117.941702063404,46.72784870105043,3.06683409901608,1.19312997526847,69.4564207594188,55.7891759463736,1.25336523731083,1.16346917092486,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,89.3591434862495,70.69287281023661,21.126652506540044,0.8589076508089439,True,19.63363591206562,19.63363591206562,
7,586,1,3,ZTF_r,1160521970315,0,1.6525,130.004,5.67698,26.0084,1.6564e-06,0.0162867,0.0725042,4.92133e-06,1918,30.0,0.04363,0.052486,20.5306,26.0084,1,2458915.0219792,586120203,-12.2078664585528,20.991815334205377,-0.640459174950809,0.980152733704198,-85.7747844943981,40.9996495185047,-2.10617611655529,1.04484791082298,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-40.7904250357073,31.757758440173937,,-0.8452816637314792,True,20.5063503866535,20.5063503866535,
9,586,1,3,ZTF_r,1182506550315,0,2.136,127.878,6.10618,25.9993,1.6643e-06,0.0162981,0.0757431,4.94434e-06,1911,30.0,0.047433,0.052905,20.2284,25.9993,1,2458937.0065509,586120203,-53.0838820135544,28.52093476343746,-2.11527821856286,1.04382465999103,-136.540518751665,48.3547748356986,-2.84274153831488,1.06867495946414,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-81.6664405907089,43.14829100222231,,-0.5736272966259581,True,20.164465991523354,20.164465991523354,
13,586,1,3,ZTF_r,1189481000315,0,2.2176,127.594,6.42587,25.9964,1.5167e-06,0.0154553,0.076485,4.52838e-06,1910,30.0,0.048191,0.049816,20.1195,25.9964,1,2458943.9810069,586120203,-15.6240593100702,29.97031981944878,-0.573252820676248,0.977187258372534,-44.1992824434572,52.1430638446395,-0.853363110504869,1.06629072955361,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-44.2066178872247,45.34101324957376,,-1.1135603771056257,True,20.107746936131562,20.107746936131562,
15,586,1,3,ZTF_r,1199457440315,0,2.2157,128.626,7.13454,26.0067,1.7352e-06,0.016579,0.0761007,5.16683e-06,1914,30.0,0.05438,0.058838,20.0031,26.0067,1,2458953.9574421,586120203,-51.9253776497018,32.98869358171388,-1.70497757696684,0.948197154250363,-71.9397153981895,58.510760267089,-1.23779341081607,1.06251840952854,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-80.5079362268563,49.907401782345346,,-0.6730326059086977,True,20.013862587283775,20.013862587283775,
21,586,1,3,ZTF_r,1202484030315,0,1.6931,47.0897,7.57153,24.9425,1.57479e-05,0.0503809,0.0524652,4.6667e-05,1905,30.0,0.043859,0.050256,19.0558,24.9425,1,2458956.9840394,586120203,-79.5229264783669,30.91172514604801,-2.97877329697849,1.08349542117133,-64.7828674013605,59.0162461173291,-1.10510559432947,1.03827589841915,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-108.1054850555214,46.76523133078542,,-0.4696617533306238,True,19.020267271696422,19.020267271696422,
22,586,1,3,ZTF_r,1207457020315,0,2.5567,126.198,5.92403,25.9986,2.1702e-06,0.0185556,0.081321,6.45671e-06,1910,30.0,0.060903,0.060432,20.0825,25.9986,1,2458961.9570255,586120203,2.15346515848082,32.22420422938466,0.0720964830047187,0.940604951193345,-8.44789774895993,52.9873150445368,-0.160506242280813,1.08494058282769,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-26.42909341867368,48.750833482042346,,-2.002671036534917,True,20.03121987632703,20.03121987632703,
27,586,1,3,ZTF_r,1210421800315,0,1.7803,128.137,5.48113,25.9991,1.6e-06,0.0159761,0.0742081,4.75161e-06,1917,30.0,0.042965,0.051443,20.5097,25.9991,1,2458964.9218056,586120203,-42.2836780144026,21.146981492018423,-2.42529011434082,1.18896493664373,-64.1125194681709,36.6061191700241,-1.76321124552178,1.04684228682776,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-70.8662365915571,31.992503710150043,,-0.49013836417338547,True,20.489054416696337,20.489054416696337,
