# ZTF DR2 lightcurve of ZTF20abapyxl
# --------------- #
# mjd_max_init:   58995.43690 (phot: fclump)
# baseline_range: 58895.43690 => 59421.28618
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  586   03   ztfg     -247.17     1.00      98
#  586   03   ztfr     -519.93     1.08     257
#  586   03   ztfi    -1126.04     1.00      48
#  1582  38   ztfg        0.00     1.00       0
#  1582  38   ztfr     -779.57     1.35       2
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58209.48564        ztfg -1307.44425  2474.15872    30.00000          48    99.00000    99.00000    19.76901         586           3  -247.17384     1.00000           1  1628.33178  1112.58208    26.24260     0.00002     0.05207     1.00131 ztf_20180401485625_000586_zg_c01_o_q4_sciimg.fits
 58216.38209        ztfr  -913.44394  1518.34953    30.00000          32    99.00000    99.00000    20.29915         586           3  -519.93452     1.07853           1  1610.92850  1149.94602    25.90630     0.00000     0.02127     1.00140 ztf_20180408382083_000586_zr_c01_o_q4_sciimg.fits
 58218.42338        ztfr   228.38338  1126.17768    30.00000          32    99.00000    99.00000    20.62356         586           3  -519.93452     1.07853           1  1617.80519  1131.50237    25.97931     0.00000     0.01847     1.00147 ztf_20180410423356_000586_zr_c01_o_q4_sciimg.fits
 58219.42485        ztfr -1459.10744  1183.89373    30.00000          40    99.00000    99.00000    20.56929         586           3  -519.93452     1.07853           0  1617.52495  1125.60828    26.05226     0.00001     0.03819     1.00144 ztf_20180411424803_000586_zr_c01_o_q4_sciimg.fits
 58219.44615        ztfr  4298.73796  1948.90938    30.00000          40    99.00000    99.00000    20.02810         586           3  -519.93452     1.07853           0  1619.53106  1130.26065    25.82853     0.00001     0.03502     1.00107 ztf_20180411446123_000586_zr_c01_o_q4_sciimg.fits
 58219.46691        ztfr  3763.87632  1384.58906    30.00000          40    99.00000    99.00000    20.39927         586           3  -519.93452     1.07853           0  1623.45260  1131.87931    26.08301     0.00001     0.04140     1.00143 ztf_20180411466898_000586_zr_c01_o_q4_sciimg.fits
 58222.47500        ztfr   994.84364  1363.60482    30.00000          32    99.00000    99.00000    20.41585         586           3  -519.93452     1.07853           1  1631.89258  1164.73315    25.98946     0.00000     0.01843     1.00112 ztf_20180414475000_000586_zr_c01_o_q4_sciimg.fits
 58222.48692        ztfr    32.40044  1392.52558    30.00000          32    99.00000    99.00000    20.39307         586           3  -519.93452     1.07853           1  1636.01401  1163.03943    25.99189     0.00000     0.01948     1.00142 ztf_20180414486921_000586_zr_c01_o_q4_sciimg.fits
 58226.41881        ztfr  1296.24088   991.54440    30.00000          32    99.00000    99.00000    20.76179         586           3  -519.93452     1.07853           1  1624.98835  1162.23914    25.97445     0.00000     0.01931     1.00139 ztf_20180418418773_000586_zr_c01_o_q4_sciimg.fits
 58226.47794        ztfr    18.78287  1080.07266    30.00000          32    99.00000    99.00000    20.66894         586           3  -519.93452     1.07853           1  1636.09826  1165.87032    25.98336     0.00000     0.01831     1.00143 ztf_20180418477917_000586_zr_c01_o_q4_sciimg.fits
 58228.50313        ztfi  3530.27456  2120.85378    30.00000          32    99.00000    99.00000    19.93630         586           3 -1126.04243     1.00000           1  1637.70180  1205.99653    25.32562     0.00000     0.02311     1.00136 ztf_20180420503113_000586_zi_c01_o_q4_sciimg.fits
 58229.42013        ztfr    46.71020  1110.83122    30.00000           0    99.00000    99.00000    20.63845         586           3  -519.93452     1.07853           1  1624.82151  1198.67089    26.00883     0.00000     0.01838     1.00150 ztf_20180421420116_000586_zr_c01_o_q4_sciimg.fits
 58229.46219        ztfg -1678.58826   824.18765    30.00000          32    99.00000    99.00000    20.96251         586           3  -247.17384     1.00000           0  1633.58355  1209.58143    26.10738     0.00000     0.02269     1.00147 ztf_20180421462164_000586_zg_c01_o_q4_sciimg.fits
 58232.35329        ztfi  -725.64586  2365.15793    30.00000         128    99.00000    99.00000    19.81792         586           3 -1126.04243     1.00000           1  1622.27102  1142.58285    25.02834     0.00000     0.02964     1.00135 ztf_20180424353275_000586_zi_c01_o_q4_sciimg.fits
 58232.46007        ztfg   971.94513   578.37232    30.00000         128    99.00000    99.00000    21.34706         586           3  -247.17384     1.00000           1  1638.48865  1164.71036    26.07522     0.00000     0.02069     1.00159 ztf_20180424460069_000586_zg_c01_o_q4_sciimg.fits
