# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-11-03 at 03:42:54
#
# Requested input R.A. = 277.633422721 degrees
# Requested input Dec. = 42.687716439 degrees
# Requested JD start = 2458900.5 days
# Requested JD end = 2459100.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 726 15 3 ZTF_r 1146514015915 0 1.7161 128.096 8.63077 25.5924 2.1664e-06 0.0227921 0.0821543 6.4323e-06 2013 30. 0.038604 0.052758 19.6101 25.5924 1 2458901.0140162 726120259 30.3648046686515 34.4282644211939 0.981092968159909 0.989108004731038 -45.1675165558421 67.3269305959331 -0.675386832224034 1.04698943197095 null null null null null 2458158.990324 2458227.005937 57
 1 726 15 3 ZTF_g 1146555685915 0 1.8524 66.5527 7.33939 25.7785 3.1887e-06 0.0279442 -0.04798 9.39581e-06 2003 30. 0.041376 0.051756 19.9449 25.7785 1 2458901.0556829 726120159 17.4349678589971 29.732595944848 0.652293608639226 0.922824841694402 -24.7871294528689 56.8995991235124 -0.438563233840913 1.04341690688406 null null null null null 2458203.900718 2458230.904780 57
 2 726 15 3 ZTF_r 1158488475915 0 1.9481 226.752 7.18387 26.2116 1.2394e-06 0.0171086 0.0860753 3.68624e-06 1989 30. 0.045735 0.046911 20.3662 26.2116 1 2458912.9884722 726120259 -17.7025957746364 33.714363069262 -0.584085996826682 0.845637795801559 32.1248201875453 61.8477892187723 0.522915743769071 1.05529517013683 null null null null null 2458158.990324 2458227.005937 57
 3 726 15 3 ZTF_g 1158529495915 0 1.7902 107.329 5.11629 26.2984 2.63e-06 0.0252265 -0.0555984 7.77964e-06 1982 30. 0.061159 0.045576 20.8152 26.2984 1 2458913.0294907 726120159 2.96115722976336 20.7570492870661 0.158690399131047 0.943462681899234 4.44861194369155 39.1737047302435 0.114326016186699 1.04450265261629 null null null null null 2458203.900718 2458230.904780 57
 4 726 15 3 ZTF_g 1161487885915 0 2.0749 18.3812 17.5641 24.3845 0.000272174 0.0920909 -0.0174749 0.000986846 483 30. 0.046963 0.059673 17.4125 24.3845 1 2458915.9878819 726120159 15.748919505755 79.4579114005776 0.220479603493501 1.01383033989603 -139.860647593276 144.414588412922 -0.974988875078819 1.05004071944477 null null null null null 2458203.900718 2458230.904780 57
 5 726 15 3 ZTF_r 1161525315915 0 1.7444 229.66 7.20146 26.2393 1.1741e-06 0.0167351 0.0814879 3.48265e-06 2012 30. 0.041248 0.04814 20.4546 26.2393 1 2458916.0253125 726120259 -21.886868625591 29.0432782972138 -0.838287124698635 0.931542588295334 22.0905656390997 56.6442763155325 0.392614193634943 1.04217496211519 null null null null null 2458158.990324 2458227.005937 57
 6 726 15 3 ZTF_g 1182491125915 0 2.0824 106.206 4.94391 26.2754 2.8441e-06 0.0262837 -0.0528379 8.4233e-06 2006 30. 0.073805 0.048662 20.7668 26.2754 1 2458936.9911227 726120159 20.6829698424364 24.5482989754087 0.937230246640249 0.816465367287195 -15.4783347953419 43.7038854788818 -0.356549128298049 1.05379056068431 null null null null null 2458203.900718 2458230.904780 57
 7 726 15 3 ZTF_r 1182512255915 0 2.1424 225.852 6.33149 26.2197 1.1976e-06 0.0170011 0.0832712 3.56204e-06 2026 30. 0.052383 0.048432 20.3976 26.2197 1 2458937.0122569 726120259 -3.17955179000352 32.1051027635442 -0.110165761326997 0.895742388323081 -40.127240199078 57.3394493381043 -0.704532393262629 1.05712552963662 null null null null null 2458158.990324 2458227.005937 57
 8 1764 6 3 ZTF_r 1182522062315 0 2.0179 515.578 6.41729 26.3022 2.6213e-06 0.0248546 0.0886005 7.5391e-06 1988 30. 0.096566 0.047041 20.5048 26.3022 2 2458937.0220602 1764120223 -15.1525289729309 27.0627113300589 -0.622828703481022 1.03319890013507 -109.664143615314 51.4407221600058 -2.14621283092941 1.03750506047612 2.29402402032304 22.5870000362396 0.256999999284744 0.897000014781952 -0.527999997138977 2458244.915961 2458728.745995 0
 9 1764 6 3 ZTF_r 1182522512315 0 2.1867 514.013 6.50664 26.2987 2.4972e-06 0.0242028 0.0865415 7.19945e-06 1984 30. 0.102062 0.046721 20.3923 26.2987 3 2458937.0225116 1764120223 -24.668414116993 29.6229179318614 -0.926335261766662 1.0722147654834 -20.2918322594543 54.2664359715445 -0.376448140576663 1.04333335214077 2.29402402032304 22.5870000362396 0.256999999284744 0.897000014781952 -0.527999997138977 2458244.915961 2458728.745995 0
 10 726 15 3 ZTF_g 1185475215915 0 1.9215 16.9411 6.91491 24.2684 2.26449e-05 0.0484564 -0.0436104 7.75805e-05 1126 30. 0.048326 0.05467 18.4272 24.2684 1 2458939.9752199 726120159 10.8109229949895 34.5416607380117 0.348156382124741 1.00250554796022 -10.0898013087849 64.1599586569443 -0.15831925259534 1.05473855559191 null null null null null 2458203.900718 2458230.904780 57
 11 726 15 3 ZTF_r 1185506935915 0 2.0573 20.1635 10.3907 23.5855 2.98022e-05 0.0498686 0.0853264 8.27944e-05 722 30. 0.045223 0.070275 17.1939 23.5855 1 2458940.0069329 726120259 17.8760958135199 52.1993700202648 0.380944943401335 0.916889586559635 -3.04907156931161 94.2277852495242 -0.0325764553802295 1.06148833286016 null null null null null 2458158.990324 2458227.005937 57
 12 726 15 3 ZTF_g 1189452435915 0 2.3206 105.731 8.27503 26.2852 2.3474e-06 0.0238438 -0.0454907 6.92094e-06 1994 30. 0.042366 0.049168 20.1404 26.2852 1 2458943.9524306 726120159 21.3488576830343 42.5676980803261 0.557890900122921 1.02363559883476 -6.93438741592402 72.401232964347 -0.0964222655928712 1.05679676380779 null null null null null 2458203.900718 2458230.904780 57
 13 726 15 3 ZTF_r 1189488485915 0 1.8863 228.625 6.48378 26.2245 1.1082e-06 0.0162712 0.0796007 3.29488e-06 2016 30. 0.047783 0.047377 20.4842 26.2245 1 2458943.9884838 726120259 -10.2390652027026 26.0245386826692 -0.437655176779973 1.07140096930134 -14.0450884976746 48.2703163899943 -0.292927083024471 1.0515365719821 null null null null null 2458158.990324 2458227.005937 57
 14 726 15 3 ZTF_r 1199450965915 0 2.3302 225.2 7.17691 26.2168 1.6549e-06 0.019961 0.0829377 4.89798e-06 2011 30. 0.050619 0.054805 20.211 26.2168 1 2458953.9509606 726120259 -5.44926375373894 38.0511591842476 -0.15930328757659 1.05417092621562 1.04295104658283 64.4307562788879 0.0162961827941745 1.06940816158242 null null null null null 2458158.990324 2458227.005937 57
 15 726 15 3 ZTF_i 1199476035915 0 2.0256 231.073 6.37906 25.5703 1.2054e-06 0.0226154 0.196941 1.99398e-05 2018 30. 0.061335 0.057381 19.7468 25.5703 2 2458953.9760301 726120359 21.8324793875953 30.720961647484 0.790538551714078 0.964091687392843 -18.8389179769145 57.3173223577491 -0.330891227873632 1.04671759388033 null null null null null 2458232.850023 2458379.634340 57
