index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
2,726,15,3,ZTF_r,1158488475915,0,1.9481,226.752,7.18387,26.2116,1.2394e-06,0.0171086,0.0860753,3.68624e-06,1989,30.0,0.045735,0.046911,20.3662,26.2116,1,2458912.9884722,726120259,-17.7025957746364,31.003244992778875,-0.584085996826682,0.845637795801559,32.1248201875453,61.8477892187723,0.522915743769071,1.05529517013683,null,,null,,,2458158.990324,2458227.005937,57,-25.522044258876477,,-1.3188686120608508,True,20.73565710871113,20.73565710871113,
5,726,15,3,ZTF_r,1161525315915,0,1.7444,229.66,7.20146,26.2393,1.1741e-06,0.0167351,0.0814879,3.48265e-06,2012,30.0,0.041248,0.04814,20.4546,26.2393,1,2458916.0253125,726120259,-21.886868625591,28.03154232310641,-0.838287124698635,0.931542588295334,22.0905656390997,56.6442763155325,0.392614193634943,1.04217496211519,null,,null,,,2458158.990324,2458227.005937,57,-29.706317109831076,,-1.0244906962945193,True,20.872757504838887,20.872757504838887,
7,726,15,3,ZTF_r,1182512255915,0,2.1424,225.852,6.33149,26.2197,1.1976e-06,0.0170011,0.0832712,3.56204e-06,2026,30.0,0.052383,0.048432,20.3976,26.2197,1,2458937.0122569,726120259,-3.17955179000352,30.385446854875884,-0.110165761326997,0.895742388323081,-40.127240199078,57.3394493381043,-0.704532393262629,1.05712552963662,null,,null,,,2458158.990324,2458227.005937,57,-10.999000274243595,,-2.9993161949082183,True,20.76561092026552,20.76561092026552,
8,1764,6,3,ZTF_r,1182522062315,0,2.0179,515.578,6.41729,26.3022,2.6213e-06,0.0248546,0.0886005,7.5391e-06,1988,30.0,0.096566,0.047041,20.5048,26.3022,2,2458937.0220602,1764120223,-15.1525289729309,27.508269637368603,-0.622828703481022,1.03319890013507,-109.664143615314,51.4407221600058,-2.14621283092941,1.03750506047612,2.29402402032304,22.5870000362396,0.256999999284744,0.897000014781952,-0.527999997138977,2458244.915961,2458728.745995,0,-22.971977457170976,,-1.300093925347648,True,20.956116807494862,20.956116807494862,
9,1764,6,3,ZTF_r,1182522512315,0,2.1867,514.013,6.50664,26.2987,2.4972e-06,0.0242028,0.0865415,7.19945e-06,1984,30.0,0.102062,0.046721,20.3923,26.2987,3,2458937.0225116,1764120223,-24.668414116993,30.673880915646016,-0.926335261766662,1.0722147654834,-20.2918322594543,54.2664359715445,-0.376448140576663,1.04333335214077,2.29402402032304,22.5870000362396,0.256999999284744,0.897000014781952,-0.527999997138977,2458244.915961,2458728.745995,0,-32.487862601233076,,-1.0250792093922758,True,20.834353171177856,20.834353171177856,
13,726,15,3,ZTF_r,1189488485915,0,1.8863,228.625,6.48378,26.2245,1.1082e-06,0.0162712,0.0796007,3.29488e-06,2016,30.0,0.047783,0.047377,20.4842,26.2245,1,2458943.9884838,726120259,-10.2390652027026,26.937609774164834,-0.437655176779973,1.07140096930134,-14.0450884976746,48.2703163899943,-0.292927083024471,1.0515365719821,null,,null,,,2458158.990324,2458227.005937,57,-18.058513686942675,,-1.6195221510925004,True,20.901177345876643,20.901177345876643,
14,726,15,3,ZTF_r,1199450965915,0,2.3302,225.2,7.17691,26.2168,1.6549e-06,0.019961,0.0829377,4.89798e-06,2011,30.0,0.050619,0.054805,20.211,26.2168,1,2458953.9509606,726120259,-5.44926375373894,39.06820057757779,-0.15930328757659,1.05417092621562,1.04295104658283,64.4307562788879,0.0162961827941745,1.06940816158242,null,,null,,,2458158.990324,2458227.005937,57,-13.268712237979015,,-3.196719064090332,True,20.48981646731921,20.48981646731921,
19,726,15,3,ZTF_r,1202492885915,0,1.8741,194.017,7.55153,26.0579,1.3319e-06,0.0177509,0.0726321,3.97245e-06,1999,30.0,0.040458,0.045247,20.1711,26.0579,1,2458956.9928819,726120259,52.3785049088529,31.75666909344902,1.86589530214531,1.03425738867101,123.61437881508,60.6983211406512,2.05025322661183,1.03561646328383,null,,null,,,2458158.990324,2458227.005937,57,44.55905642461282,21.93556003571703,0.7737644914696415,True,20.555887629945296,20.555887629945296,
20,726,15,3,ZTF_r,1207439675915,0,2.6162,222.717,6.12503,26.2045,2.1271e-06,0.0225939,0.0847772,6.32966e-06,2022,30.0,0.065884,0.057182,20.2208,26.2045,1,2458961.9396759,726120259,-52.2385445115087,37.2055539072137,-1.62155675696417,1.07792394523614,-48.8530307380561,58.230193973671,-0.844614371936824,1.06592339012671,null,,null,,,2458158.990324,2458227.005937,57,-60.057992995748776,,-0.6725844115357172,True,20.530555552679846,20.530555552679846,
21,726,15,3,ZTF_r,1210442015915,0,1.3248,230.513,5.71081,26.236,1.9602e-06,0.0216315,0.0786892,5.80199e-06,2001,30.0,0.075182,0.08488,20.7335,26.236,1,2458964.9420139,726120259,-1.37776083485083,19.80647323659819,-0.0778447303889707,1.01208145775321,0.257144332664281,39.7779224701883,0.00650803758626575,1.03707295508149,null,,null,,,2458158.990324,2458227.005937,57,-9.197209319090906,,-2.3380883534246015,True,21.246557110540785,21.246557110540785,
23,726,15,3,ZTF_r,1213410915915,0,1.5184,230.598,5.8244,26.2211,1.6129e-06,0.0195519,0.0844611,4.80693e-06,1995,30.0,0.056036,0.058238,20.6881,26.2211,1,2458967.9109144,726120259,33.2134973293662,24.062949037974803,1.57669566692748,1.0545195399427,39.2563769189527,46.2296408020123,0.854879471059911,1.04302283453467,null,,null,,,2458158.990324,2458227.005937,57,25.39404884512612,22.709270123464638,1.0287900102052234,True,21.02030286094851,21.02030286094851,
25,726,15,3,ZTF_r,1216434495915,0,1.8355,241.682,5.20514,26.2844,1.024e-06,0.0155036,0.0830749,3.05318e-06,1995,30.0,0.043928,0.047419,20.7785,26.2844,1,2458970.9344907,726120259,-9.10573811991947,18.60725192056718,-0.577713279265382,1.12628749356511,58.0975550986676,33.1422767252069,1.76478055384801,1.04769284041819,null,,null,,,2458158.990324,2458227.005937,57,-16.925186604159546,,-1.1935994493079893,True,21.362769395379324,21.362769395379324,
33,726,15,3,ZTF_r,1231407835915,0,1.4156,236.475,5.58195,26.2628,1.7287e-06,0.0203509,0.0805863,5.13694e-06,2012,30.0,0.052625,0.069784,20.7814,26.2628,1,2458985.9078356,726120259,-11.4005222675971,19.103392105571572,-0.678266967831002,1.04391038322408,-11.5132700372968,37.0782921971618,-0.312603733520934,1.03747793322674,null,,null,,,2458158.990324,2458227.005937,57,-19.219970751837174,,-1.0791146915266006,True,21.312598764505083,21.312598764505083,
56,726,15,3,ZTF_r,1262259675915,0,1.9325,137.247,7.59804,25.6798,2.0779e-06,0.0220421,0.0795288,6.18481e-06,1994,30.0,0.041918,0.050187,19.7384,25.6798,1,2459016.7596759,726120259,41.8030223250554,31.812163900454635,1.49893893539302,1.0515485714447,69.5755692879386,57.9917147621968,1.20783055023192,1.05025556539168,null,,null,,,2458158.990324,2458227.005937,57,33.983573840815325,21.851627377548382,1.0163282563660752,True,20.175891960837948,20.175891960837948,
58,726,15,3,ZTF_r,1263280545915,0,1.9497,245.15,5.11157,26.3015,1.0526e-06,0.0156817,0.0803759,3.14973e-06,1999,30.0,0.055638,0.048394,20.7815,26.3015,1,2459017.780544,726120259,8.60157752373931,19.39598434884974,0.477353642219147,0.936350212192158,20.4258892089816,36.6755863015394,0.560685208381865,1.0553444622462,null,,null,,,2458158.990324,2458227.005937,57,0.7821290394992353,26.568303972467902,26.924227517531975,True,21.334795426661124,21.334795426661124,
62,726,15,3,ZTF_r,1265363215915,0,1.529,241.494,4.92941,26.2963,1.5447e-06,0.0190553,0.0781616,4.61217e-06,2003,30.0,0.059422,0.062658,20.895,26.2963,1,2459019.8632176,726120259,14.6831189002449,18.68904029072128,0.832524412628047,0.907447946270127,38.0036309799624,37.9605128102868,1.00787857667666,1.04336728091547,null,,null,,,2458158.990324,2458227.005937,57,6.863670416004824,24.204908947203077,2.956244955515625,True,21.36990748840754,21.36990748840754,
63,726,15,3,ZTF_r,1266290375915,0,1.6878,239.69,5.00599,26.2761,1.2881e-06,0.0174165,0.0808002,3.82521e-06,2000,30.0,0.056825,0.06109,20.8358,26.2761,1,2459020.7903704,726120259,-13.3665356818705,18.1643384083599,-0.856147184913145,1.0939279240464,-13.1444377352071,33.4796318769473,-0.395254234821186,1.0454953830493,null,,null,,,2458158.990324,2458227.005937,57,-21.185984166110575,,-0.9308523057192876,True,21.380626028231116,21.380626028231116,
65,726,15,3,ZTF_r,1268255335915,0,1.7911,246.384,5.33167,26.3076,1.139e-06,0.0163918,0.0790985,3.3739e-06,1990,30.0,0.050791,0.051234,20.7918,26.3076,1,2459022.7553356,726120259,31.159062274682,20.955420467980208,1.59953932542158,0.935199448042235,63.485261748972,40.845304535558,1.56475363242378,1.05029516503392,null,,null,,,2458158.990324,2458227.005937,57,23.339613790441923,22.887365836672174,0.9747933366148186,True,21.256934040850947,21.256934040850947,
67,726,15,3,ZTF_r,1269308365915,0,1.4815,245.296,5.39326,26.3144,1.3601e-06,0.0179402,0.0784892,4.03836e-06,2001,30.0,0.051015,0.062444,20.834,26.3144,1,2459023.8083681,726120259,1.42403214241155,17.78259693470619,0.0857068195487425,0.925703577249427,29.8888826343587,36.6108259508458,0.821893120328797,1.03835668336738,null,,null,,,2458158.990324,2458227.005937,57,-6.3954163418285255,,-3.0188129216448383,True,21.44198702726296,21.44198702726296,
69,726,15,3,ZTF_r,1270261575915,0,1.4709,228.343,6.02478,26.2245,1.5275e-06,0.0188197,0.0792635,4.51635e-06,1965,30.0,0.052976,0.061406,20.6724,26.2245,1,2459024.7615741,726120259,40.2985351118315,21.959850779503338,2.01908408127939,0.9783166792966,73.6236552473226,43.7319472212724,1.69485969664964,1.04500731091606,null,,null,,,2458158.990324,2458227.005937,57,32.47908662759142,22.445490481072113,0.7340665168537356,True,21.123001527430944,21.123001527430944,
72,726,15,3,ZTF_r,1271365565915,0,1.4107,248.641,6.79785,26.3145,1.8329e-06,0.0207433,0.0821733,5.46677e-06,2005,30.0,0.059714,0.0691,20.7356,26.3145,1,2459025.8655671,726120259,3.73981607990305,22.101056244033092,0.196587508959514,1.09075649418943,26.4037401078109,42.3252304884408,0.628031330481078,1.03662358087133,null,,null,,,2458158.990324,2458227.005937,57,-4.0796324043370245,,-5.881685991766737,True,21.206042414676425,21.206042414676425,
75,726,15,3,ZTF_r,1273384645915,0,1.9781,231.105,7.58627,26.2456,1.1411e-06,0.016462,0.0817232,3.39736e-06,2006,30.0,0.046718,0.045275,20.3369,26.2456,1,2459027.8846412,726120259,-13.1455689439312,28.318850547989193,-0.507891341630101,0.967440990986054,33.0492562169535,53.5394621699749,0.621445257582725,1.04725444891842,null,,null,,,2458158.990324,2458227.005937,57,-20.965017428171276,,-1.466527568855627,True,20.86798593536532,20.86798593536532,
93,726,15,3,ZTF_r,1287280275915,0,1.4176,233.082,5.85624,26.2603,1.9595e-06,0.0214264,0.0763305,5.80935e-06,1983,30.0,0.051099,0.079908,20.7295,26.2603,1,2459041.7802778,726120259,4.62408286314815,18.25804804700436,0.281714832928985,0.999924711530243,33.102840611674,36.2480318014493,0.919382059977945,1.03964652333118,null,,null,,,2458158.990324,2458227.005937,57,-3.1953656210919252,,-6.203597683403368,True,21.359239125130298,21.359239125130298,
96,726,15,3,ZTF_r,1290244125915,0,1.7726,246.185,5.83402,26.3059,1.1164e-06,0.0162364,0.0795153,3.33572e-06,1996,30.0,0.048472,0.051235,20.7083,26.3059,1,2459044.7441204,726120259,-1.55960438446027,20.47305435889743,-0.0821855408139301,0.940627381226789,44.2962572231233,40.2386539194339,1.10825265560299,1.04904110449745,null,,null,,,2458158.990324,2458227.005937,57,-9.379052868700345,,-2.369918949026568,True,21.280518390288144,21.280518390288144,
99,726,15,3,ZTF_r,1293327145915,0,1.633,246.764,5.51891,26.3209,1.2304e-06,0.0170832,0.0784904,3.66306e-06,2005,30.0,0.046498,0.056096,20.8047,26.3209,1,2459047.8271412,726120259,-10.5849396730481,19.99710231302562,-0.580441366628741,0.971772204117563,-41.888203489493,39.1301593432815,-1.07769361683596,1.041789624003,null,,null,,,2458158.990324,2458227.005937,57,-18.404388157288174,,-1.1796563838855125,True,21.321057317579612,21.321057317579612,
100,726,15,3,ZTF_r,1296284225915,0,2.0571,246.41,5.98821,26.3054,1.5032e-06,0.0188397,0.0833863,4.48968e-06,2006,30.0,0.052326,0.064832,20.6394,26.3054,1,2459050.7842245,726120259,18.4954308925765,23.82724798945518,0.834488653151019,0.93400700177229,24.6310676894031,45.3763829542193,0.546472806623997,1.05367656108016,null,,null,,,2458158.990324,2458227.005937,57,10.675982408336425,23.73438037626357,2.4231253061967664,True,21.115290276916557,21.115290276916557,
102,726,15,3,ZTF_r,1299302835915,0,1.7908,248.984,5.21112,26.3184,1.3436e-06,0.0179377,0.0812223,3.99128e-06,2008,30.0,0.050089,0.058167,20.8274,26.3184,1,2459053.8028356,726120259,-28.1811325280993,19.355214407184405,-1.60292205562376,0.979477120212499,20.6984566361286,37.2444647798481,0.559488827551403,1.04716671308971,null,,null,,,2458158.990324,2458227.005937,57,-36.000581012339374,,-0.5837115871734813,True,21.353980022724492,21.353980022724492,
105,726,15,3,ZTF_r,1302340235915,0,2.1173,240.823,6.00147,26.2922,1.3646e-06,0.0179569,0.0808269,4.06496e-06,2001,30.0,0.057885,0.063565,20.5552,26.2922,1,2459056.8402315,726120259,45.9900896319054,24.965825144857103,1.99753957354116,0.950264529537707,139.383091307313,45.5555543643669,3.0802356903469,1.05884358276256,null,,null,,,2458158.990324,2458227.005937,57,38.17064114766532,22.337876362993732,0.7101111101307566,True,21.051410177949194,21.051410177949194,
