# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-11-03 at 03:42:54
#
# Requested input R.A. = 243.439625 degrees
# Requested input Dec. = 22.920661 degrees
# Requested JD start = 2458900.5 days
# Requested JD end = 2459150.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 632 1 2 ZTF_r 1149521010215 0 1.6574 142.148 5.85522 26.1353 3.1097e-06 0.0205839 0.0930817 5.65612e-06 934 30. 0.051892 0.056145 20.5079 26.1353 1 2458904.0210185 632120202 -2.94052711803391 25.3838103046361 -0.128861498219394 1.74988631863408 11.8663212220212 48.7928556744587 0.244835876339835 1.04151388924221 null null null null null 2458159.025359 2458291.754086 57
 1 632 1 2 ZTF_g 1149526500215 0 2.1177 81.9231 4.62695 26.2376 5.85e-06 0.0282054 -0.0782265 1.07513e-05 931 30. 0.058553 0.053957 20.6835 26.2376 1 2458904.0265046 632120102 -30.9695620001655 21.2601212745855 -1.62040706018201 1.14847694616344 -88.2106029769048 38.7469566119061 -2.29191436511056 1.04388506117 null null null null null 2458203.919549 2458330.669213 57
 2 632 1 2 ZTF_r 1152518810215 0 2.7969 108.877 7.71086 25.8406 6.6061e-06 0.0300612 0.100944 1.20531e-05 931 30. 0.059393 0.068204 19.5224 25.8406 1 2458907.0188194 632120202 -7.10590196031204 42.7287023782027 -0.184992579591156 1.07023623623216 -80.3516907407846 64.7376599720808 -1.2495487794251 1.09135097533643 null null null null null 2458159.025359 2458291.754086 57
 3 632 1 2 ZTF_g 1152524240215 0 2.8533 66.758 5.74317 26.0219 9.3001e-06 0.0342776 -0.0650359 1.83907e-05 893 30. 0.057952 0.062847 19.9932 26.0219 1 2458907.0242477 632120102 -7.98387576341457 32.7160505260341 -0.271461160366449 1.00434918731672 -48.6455852249017 50.0469178367018 -0.978546095485951 1.07207575983272 null null null null null 2458203.919549 2458330.669213 57
 4 632 1 2 ZTF_r 1157495860215 0 2.7 140.792 6.34164 26.1248 6.3151e-06 0.0295006 0.093526 1.15995e-05 934 30. 0.059926 0.06591 20.0341 26.1248 1 2458911.9958681 632120202 33.5191237078706 39.7257224528483 0.938589417716768 1.03612802019113 7.07072091080512 62.0496686814097 0.114720074646996 1.08261423422629 null null null null null 2458159.025359 2458291.754086 57
 5 632 1 2 ZTF_g 1157539290215 0 2.4021 81.5805 5.33541 26.2245 6.133e-06 0.0289335 -0.0597119 1.12574e-05 927 30. 0.055635 0.057476 20.408 26.2245 1 2458912.039294 632120102 -32.6585046593333 28.5737838009611 -1.27140332375586 0.977854105647521 -58.7790799603048 48.4875065059946 -1.22041665389352 1.05256197099369 null null null null null 2458203.919549 2458330.669213 57
 6 632 1 2 ZTF_g 1160483760215 0 1.6618 64.8167 7.93285 25.9762 6.8905e-06 0.029844 -0.0488006 1.32023e-05 905 30. 0.049335 0.053785 20.0801 25.9762 1 2458914.9837616 632120102 -4.58876679893438 30.4496298796065 -0.167636571639642 1.04449243669512 155.379984966704 61.183796296948 2.55666512332827 1.03919104261851 null null null null null 2458203.919549 2458330.669213 57
 7 632 1 2 ZTF_r 1160517650215 0 1.5075 141.687 5.68847 26.1248 4.0147e-06 0.0234694 0.0894989 7.30382e-06 934 30. 0.059267 0.06106 20.5808 26.1248 1 2458915.0176505 632120202 -17.53122713737 23.1844121748751 -0.84114531150274 1.65055528811871 -1.12167328139283 46.396173911949 -0.0243388133172671 1.03423701057801 null null null null null 2458159.025359 2458291.754086 57
 8 632 1 2 ZTF_r 1182442560215 0 1.4704 138.909 6.05591 26.111 3.4054e-06 0.0215446 0.0931017 6.25079e-06 934 30. 0.056518 0.060769 20.5116 26.111 1 2458936.9425694 632120202 23.7007251775708 23.2013669351272 1.13632578846847 1.95291700294726 35.5995193635552 47.5079872409295 0.754384394205765 1.02938416363041 null null null null null 2458159.025359 2458291.754086 57
