index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
1,632,1,2,ZTF_g,1149526500215,0,2.1177,81.9231,4.62695,26.2376,5.85e-06,0.0282054,-0.0782265,1.07513e-05,931,30.0,0.058553,0.053957,20.6835,26.2376,1,2458904.0265046,632120102,-30.9695620001655,22.783837710086143,-1.62040706018201,1.14847694616344,-88.2106029769048,38.7469566119061,-2.29191436511056,1.04388506117,null,,null,,,2458203.919549,2458330.669213,57,-27.79801144977496,,-0.8898626668506096,True,21.09610779296989,21.09610779296989,
3,632,1,2,ZTF_g,1152524240215,0,2.8533,66.758,5.74317,26.0219,9.3001e-06,0.0342776,-0.0650359,1.83907e-05,893,30.0,0.057952,0.062847,19.9932,26.0219,1,2458907.0242477,632120102,-7.98387576341457,32.7871174550222,-0.271461160366449,1.00434918731672,-48.6455852249017,50.0469178367018,-0.978546095485951,1.07207575983272,null,,null,,,2458203.919549,2458330.669213,57,-4.81232521302403,,-7.39704235378322,True,20.485216897959745,20.485216897959745,
5,632,1,2,ZTF_g,1157539290215,0,2.4021,81.5805,5.33541,26.2245,6.133e-06,0.0289335,-0.0597119,1.12574e-05,927,30.0,0.055635,0.057476,20.408,26.2245,1,2458912.039294,632120102,-32.6585046593333,28.255616414830662,-1.27140332375586,0.977854105647521,-58.7790799603048,48.4875065059946,-1.22041665389352,1.05256197099369,null,,null,,,2458203.919549,2458330.669213,57,-29.48695410894276,,-1.0403625490866804,True,20.849313023768364,20.849313023768364,
10,632,1,2,ZTF_g,1185443410215,0,2.032,28.6627,6.33989,25.1168,1.54206e-05,0.0396592,-0.0780676,3.45837e-05,770,30.0,0.047792,0.058319,19.2704,25.1168,1,2458939.9434144,632120102,13.9251361837324,25.372930335284227,0.60480575148811,0.98144185384387,38.1688947125065,48.8462035732917,0.78667248636391,1.03660685189754,null,,null,,,2458203.919549,2458330.669213,57,17.09668673412294,22.03452011473717,1.6112707036993779,True,19.85844842152414,19.85844842152414,
16,632,1,2,ZTF_g,1202395280215,0,1.8588,52.4851,5.47492,25.7549,8.0137e-06,0.0326726,-0.0738805,1.50702e-05,919,30.0,0.048139,0.055526,20.1552,25.7549,1,2458956.8952894,632120102,-1.3881847233989,21.840236118684405,-0.0707593607035666,1.00156314631428,-17.0074252365784,42.8589104031325,-0.399496185577691,1.03317350050831,null,,null,,,2458203.919549,2458330.669213,57,1.7833658269916401,25.126798899005987,13.296175128607988,True,20.659331665927173,20.659331665927173,
19,632,1,2,ZTF_g,1208372710215,0,2.0993,80.6124,5.04612,26.2262,5.2443e-06,0.0265819,-0.0819671,9.561e-06,922,30.0,0.053287,0.053516,20.5914,26.2262,1,2458962.8727199,632120102,-2.84201647419468,26.35904102740913,-0.128735827361395,1.15211355114866,10.1616885331983,45.5012775872694,0.224831666990016,1.03900364698079,null,,null,,,2458203.919549,2458330.669213,57,0.32953407619586006,27.431449173929607,86.84385898364226,True,20.92645097398328,20.92645097398328,
21,632,1,2,ZTF_g,1209371650215,0,1.875,78.4731,4.79459,26.2098,4.5129e-06,0.0246063,-0.0812639,8.25616e-06,919,30.0,0.053665,0.055753,20.7237,26.2098,1,2458963.8716551,632120102,-8.1299342526116,20.844559098321536,-0.476649295460881,1.20697887399127,4.87185271471163,37.3713840962635,0.131241190061708,1.03219399129849,null,,null,,,2458203.919549,2458330.669213,57,-4.9583837022210595,,-4.564176387339767,True,21.164893205626626,21.164893205626626,
22,632,1,2,ZTF_g,1209423870215,0,2.1237,79.3103,4.7881,26.2045,5.3346e-06,0.0268461,-0.0720081,9.78426e-06,920,30.0,0.05311,0.054556,20.6023,26.2045,1,2458963.9238773,632120102,23.1895892446479,23.02948684968299,1.17584152108224,1.10197157279361,61.9011176023362,39.3688324746145,1.5829279476613,1.04540370866189,null,,null,,,2458203.919549,2458330.669213,57,26.36113979503844,22.652089539444493,0.9484837934589909,True,21.051364336697695,21.051364336697695,
23,632,1,2,ZTF_g,1210359380215,0,2.0681,78.6597,4.72118,26.1875,5.156e-06,0.0263434,-0.0607404,9.44323e-06,921,30.0,0.053986,0.057703,20.6496,26.1875,1,2458964.8593866,632120102,2.28514898119585,22.015490975635355,0.122536351692432,1.12628422500677,7.55990862170865,38.0894931421482,0.199814290330177,1.04369510424303,null,,null,,,2458203.919549,2458330.669213,57,5.4566995315863895,24.34517489901596,4.380343541711994,True,21.083254050995016,21.083254050995016,
26,632,1,2,ZTF_g,1211398550215,0,1.9499,80.6015,4.5557,26.2275,4.8959e-06,0.0255838,-0.0799519,8.91596e-06,921,30.0,0.052423,0.056418,20.7692,26.2275,1,2458965.8985532,632120102,13.7304748121972,21.241013467378284,0.755958641302539,1.10526349536363,76.2337783345096,38.9346095918479,1.97118240101129,1.03466882550998,null,,null,,,2458203.919549,2458330.669213,57,16.90202536258774,23.157653127357484,1.3644144903828175,True,21.162136903429502,21.162136903429502,
