index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
0,632,1,2,ZTF_r,1149521010215,0,1.6574,142.148,5.85522,26.1353,3.1097e-06,0.0205839,0.0930817,5.65612e-06,934,30.0,0.051892,0.056145,20.5079,26.1353,1,2458904.0210185,632120202,-2.94052711803391,33.57853399962447,-0.128861498219394,1.74988631863408,11.8663212220212,48.7928556744587,0.244835876339835,1.04151388924221,null,,null,,,2458159.025359,2458291.754086,57,2.082687421139065,25.33873976495424,17.504409924103555,True,20.572720660620604,20.572720660620604,
2,632,1,2,ZTF_r,1152518810215,0,2.7969,108.877,7.71086,25.8406,6.6061e-06,0.0300612,0.100944,1.20531e-05,931,30.0,0.059393,0.068204,19.5224,25.8406,1,2458907.0188194,632120202,-7.10590196031204,44.20379230136696,-0.184992579591156,1.07023623623216,-80.3516907407846,64.7376599720808,-1.2495487794251,1.09135097533643,null,,null,,,2458159.025359,2458291.754086,57,-2.082687421139065,,-23.043331809891214,True,19.979526165057173,19.979526165057173,
4,632,1,2,ZTF_r,1157495860215,0,2.7,140.792,6.34164,26.1248,6.3151e-06,0.0295006,0.093526,1.15995e-05,934,30.0,0.059926,0.06591,20.0341,26.1248,1,2458911.9958681,632120202,33.5191237078706,40.4369613864664,0.938589417716768,1.03612802019113,7.07072091080512,62.0496686814097,0.114720074646996,1.08261423422629,null,,null,,,2458159.025359,2458291.754086,57,38.542338247043574,22.159954853872897,1.1390696821735808,True,20.36042870585558,20.36042870585558,
7,632,1,2,ZTF_r,1160517650215,0,1.5075,141.687,5.68847,26.1248,4.0147e-06,0.0234694,0.0894989,7.30382e-06,934,30.0,0.059267,0.06106,20.5808,26.1248,1,2458915.0176505,632120202,-17.53122713737,29.78592744588955,-0.84114531150274,1.65055528811871,-1.12167328139283,46.396173911949,-0.0243388133172671,1.03423701057801,null,,null,,,2458159.025359,2458291.754086,57,-12.508012598197023,,-2.5854292337908067,True,20.692347170924798,20.692347170924798,
8,632,1,2,ZTF_r,1182442560215,0,1.4704,138.909,6.05591,26.111,3.4054e-06,0.0215446,0.0931017,6.25079e-06,934,30.0,0.056518,0.060769,20.5116,26.111,1,2458936.9425694,632120202,23.7007251775708,32.423169441294704,1.13632578846847,1.95291700294726,35.5995193635552,47.5079872409295,0.754384394205765,1.02938416363041,null,,null,,,2458159.025359,2458291.754086,57,28.723939716743775,22.465389983506597,1.2255225226605593,True,20.586436324415867,20.586436324415867,
12,632,1,2,ZTF_r,1189462510215,0,1.8493,139.053,7.58593,26.1115,3.1721e-06,0.0207762,0.0954137,5.77521e-06,930,30.0,0.048818,0.054024,20.1377,26.1115,1,2458943.9625116,632120202,-16.9629901194249,43.03514763661473,-0.540390759235377,1.51896582133194,3.00307695109222,64.5186813117081,0.0468593403596262,1.04734168428382,null,,null,,,2458159.025359,2458291.754086,57,-11.939775580251926,,-3.9132443884750785,True,20.279516746166756,20.279516746166756,
13,632,1,2,ZTF_r,1199441450215,0,1.5533,138.914,6.68861,26.1129,3.1855e-06,0.0207536,0.092171,5.81285e-06,928,30.0,0.05707,0.060443,20.3844,26.1129,1,2458953.9414583,632120202,5.75306813709812,39.399445322417144,0.221866606698826,1.86575863511089,3.08509175471737,57.4175306412548,0.0540927133316019,1.03549561451122,null,,null,,,2458159.025359,2458291.754086,57,10.776282676271094,23.531727562530016,3.969455801371946,True,20.37674971981868,20.37674971981868,
15,632,1,2,ZTF_r,1202338560215,0,1.6603,116.59,6.77459,25.9274,4.4029e-06,0.0244894,0.0949309,7.99986e-06,930,30.0,0.050399,0.057212,20.1591,25.9274,1,2458956.8385648,632120202,12.8328627724898,29.36888280578492,0.542273317628539,1.24467114426376,9.40757495964071,52.49021416235,0.180432403818446,1.03165689990628,null,,null,,,2458159.025359,2458291.754086,57,17.856077311662776,22.79793485592161,1.7857111338454128,True,20.51025642354337,20.51025642354337,
17,632,1,2,ZTF_r,1207421900215,0,2.5693,136.908,5.99993,26.0941,3.937e-06,0.0231874,0.0928148,7.15074e-06,925,30.0,0.059478,0.065424,20.1218,26.0941,1,2458961.9219097,632120202,-32.4449016122791,37.54317390523384,-1.04672112941618,1.18555423758867,-24.9693739422575,56.6218710333028,-0.443954670759367,1.05998172191081,null,,null,,,2458159.025359,2458291.754086,57,-27.42168707310612,,-1.4864374974539207,True,20.41034752627415,20.41034752627415,
18,632,1,2,ZTF_r,1208330300215,0,2.1496,138.248,6.21896,26.1043,3.0848e-06,0.0203162,0.0964701,5.64152e-06,918,30.0,0.05534,0.059617,20.2157,26.1043,1,2458962.8303009,632120202,-47.1132619899962,37.53703696015452,-1.63314071211942,1.36826820517086,-55.1008771412252,56.0509114764922,-0.989671412252774,1.05316831866049,null,,null,,,2458159.025359,2458291.754086,57,-42.09004745082322,,-0.968256476195602,True,20.420725019208632,20.420725019208632,
24,632,1,2,ZTF_r,1210402220215,0,1.5985,137.854,5.75144,26.1041,3.2365e-06,0.0207226,0.0924186,5.93923e-06,919,30.0,0.054554,0.061583,20.512,26.1041,1,2458964.9022222,632120202,-19.1499866995851,34.728385669194644,-0.844429602944176,1.89517594704512,44.2624674819297,48.4821437241777,0.91911318939545,1.04704398308804,null,,null,,,2458159.025359,2458291.754086,57,-14.126772160412123,,-2.669017939335454,True,20.504963499588452,20.504963499588452,
25,632,1,2,ZTF_r,1211334760215,0,1.786,140.069,5.70761,26.1092,2.9075e-06,0.0198257,0.0939565,5.29426e-06,927,30.0,0.049533,0.055882,20.469,26.1092,1,2458965.8347685,632120202,22.7898750115824,32.429164894212455,0.990876416889521,1.60663426697906,57.7879531666028,47.7859800216952,1.21745244796887,1.04372181662316,null,,null,,,2458159.025359,2458291.754086,57,27.813089550755375,22.498576914722204,1.265891164712057,True,20.58443557665923,20.58443557665923,
28,632,1,2,ZTF_r,1212378630215,0,1.6905,133.961,5.50141,26.0605,3.2339e-06,0.0207871,0.0941601,5.89693e-06,920,30.0,0.052648,0.055817,20.4941,26.0605,1,2458966.8786343,632120202,-36.0145704654571,32.924406176823226,-1.62478293056445,1.78303766042032,-0.0534382138037077,46.6183761236531,-0.00115401109437063,1.04798333789599,null,,null,,,2458159.025359,2458291.754086,57,-30.991355926284122,,-1.1534192912114687,True,20.5192801121904,20.5192801121904,
31,632,1,2,ZTF_r,1213378420215,0,2.0225,139.441,5.8086,26.1151,3.1723e-06,0.0206843,0.0938315,5.76191e-06,925,30.0,0.053965,0.057977,20.3598,26.1151,1,2458967.8784259,632120202,-2.40422315766743,41.3619888598261,-0.0853900194738106,1.74404584811577,14.5559521616223,56.5361377139492,0.259196824003961,1.05117673424384,null,,null,,,2458159.025359,2458291.754086,57,2.618991381505545,25.06976482683759,17.146567041888574,True,20.326171455889085,20.326171455889085,
33,632,1,2,ZTF_r,1214410840215,0,1.6055,144.417,5.30766,26.1651,3.1939e-06,0.0208328,0.0917815,5.79429e-06,930,30.0,0.050687,0.056138,20.6507,26.1651,1,2458968.9108449,632120202,-10.168012956672,35.02927462226926,-0.496390596631285,2.36334756605123,39.6808684045338,45.2545819781928,0.882742025006961,1.03249503103824,null,,null,,,2458159.025359,2458291.754086,57,-5.1447984174990244,,-7.392181456136703,True,20.556597128795175,20.556597128795175,
