# ZTF DR2 lightcurve of ZTF20abbhyxu
# --------------- #
# mjd_max_init:   59000.83072 (phot: fclump)
# baseline_range: 58900.83072 => 59656.89805
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  632   02   ztfg      102.46     1.00      75
#  632   02   ztfr      159.96     1.00      94
#  632   02   ztfi     -996.81     1.00      41
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58210.41047        ztfg -1187.11233  2147.11734    30.00000           0    99.00000    99.00000    19.92294         632           2   102.46215     1.00000           1  1444.43453  1195.80919    26.17770     0.00001     0.03816     1.00119 ztf_20180402410463_000632_zg_c01_o_q3_sciimg.fits
 58210.42928        ztfg  -501.05498  2061.46866    30.00000           0    99.00000    99.00000    19.96713         632           2   102.46215     1.00000           1  1447.29664  1197.47616    26.19394     0.00001     0.03670     1.00122 ztf_20180402429271_000632_zg_c01_o_q3_sciimg.fits
 58216.36530        ztfr   693.14908  1428.25814    30.00000          32    99.00000    99.00000    20.36556         632           2   159.95683     1.00000           1  1431.78559  1250.69226    26.04141     0.00001     0.03055     1.00146 ztf_20180408365301_000632_zr_c01_o_q3_sciimg.fits
 58218.42899        ztfr   338.61142  1132.16682    30.00000          32    99.00000    99.00000    20.61780         632           2   159.95683     1.00000           1  1442.15517  1227.12909    26.05432     0.00000     0.02574     1.00120 ztf_20180410428981_000632_zr_c01_o_q3_sciimg.fits
 58219.38141        ztfr -1171.97075  1361.25647    30.00000          32    99.00000    99.00000    20.41773         632           2   159.95683     1.00000           1  1434.38435  1215.47021    26.11617     0.00001     0.02802     1.00143 ztf_20180411381400_000632_zr_c01_o_q3_sciimg.fits
 58219.40273        ztfr    28.88601  1378.50097    30.00000          32    99.00000    99.00000    20.40406         632           2   159.95683     1.00000           1  1437.46650  1218.35220    26.10335     0.00001     0.02983     1.00121 ztf_20180411402662_000632_zr_c01_o_q3_sciimg.fits
 58219.42292        ztfr   288.38344  1537.13072    30.00000          32    99.00000    99.00000    20.28580         632           2   159.95683     1.00000           1  1441.64005  1219.10026    26.08665     0.00001     0.03126     1.00124 ztf_20180411422905_000632_zr_c01_o_q3_sciimg.fits
 58222.38691        ztfr   -28.95051  1192.67556    30.00000           0    99.00000    99.00000    20.56127         632           2   159.95683     1.00000           1  1444.67259  1247.33122    26.07027     0.00000     0.02421     1.00118 ztf_20180414386887_000632_zr_c01_o_q3_sciimg.fits
 58222.45409        ztfr -1079.41617  1063.16514    30.00000           0    99.00000    99.00000    20.68607         632           2   159.95683     1.00000           1  1453.75621  1249.47002    26.06693     0.00000     0.02318     1.00130 ztf_20180414454039_000632_zr_c01_o_q3_sciimg.fits
 58222.50816        ztfr  1547.62021  1403.49161    30.00000          32    99.00000    99.00000    20.38455         632           2   159.95683     1.00000           1  1459.18352  1242.61192    26.05861     0.00001     0.02675     1.00147 ztf_20180414508090_000632_zr_c01_o_q3_sciimg.fits
