index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
9,681,4,3,ZTF_g,449497021515,0,3.8514,143.196,3.97208,26.2538,3.3466e-06,0.0295358,-0.0210425,7.05525e-06,1576,30.0,0.060219,0.0515,20.6901,26.2538,2,2458203.9970255,681120115,6.54902634735626,32.53891405455589,0.245604577470689,1.20341645518523,-57.4493861012806,44.6132864068429,-1.29639207689364,1.08849371843887,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-32.812940331209944,,-1.0766331402318638,True,20.725367352137248,20.725367352137248,
13,681,4,3,ZTF_g,450468811515,0,2.214,142.022,4.765,26.2645,2.6787e-06,0.0264592,-0.0623677,5.54463e-06,1581,30.0,0.045703,0.044651,20.7929,26.2645,1,2458204.9688194,681120115,27.3624685915995,24.07759349646983,1.3453112690318,1.13253481586983,23.034840503626,39.6982090355935,0.58415686861171,1.039538729652,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-11.999498086966703,,-2.178511390198102,True,21.063042294264363,21.063042294264363,
14,681,4,3,ZTF_g,450474091515,0,2.2701,141.881,4.41312,26.2629,2.8283e-06,0.0272066,-0.0609844,5.87931e-06,1578,30.0,0.046553,0.04604,20.8503,26.2629,2,2458204.9740972,681120115,34.3313635261141,23.55833480235536,1.73921575506474,1.15107704631371,88.6078440583947,38.0957487170094,2.34158996713308,1.04328754470714,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-5.030603152452102,,-5.084337468052893,True,21.08511351535219,21.08511351535219,
15,681,4,3,ZTF_g,450485451515,0,2.5127,142.813,4.18233,26.2666,2.7503e-06,0.0267658,-0.0552797,5.72358e-06,1579,30.0,0.053706,0.048918,20.763,26.2666,2,2458204.9854514,681120115,-17.924075711539,28.416844446057347,-0.861805673132775,1.50864568732738,-40.7545323396413,38.0367897186918,-1.07866664782162,1.05074453003345,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-57.28604239010521,,-0.5385634393276475,True,20.885235364272827,20.885235364272827,
16,681,4,3,ZTF_g,450486401515,0,2.5208,142.778,4.16409,26.2684,2.8142e-06,0.0271752,-0.0568274,5.81797e-06,1581,30.0,0.057907,0.047801,20.7739,26.2684,1,2458204.9864005,681120115,-4.64348440905515,27.116867110004694,-0.210194508706976,1.21765476317342,-14.560586109904,40.9432988497111,-0.358023239624709,1.04805529171622,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-44.00545108762135,,-0.6690258114321145,True,20.93787620716715,20.93787620716715,
17,681,4,3,ZTF_g,450511441515,0,2.769,143.499,4.2465,26.2657,4.0064e-06,0.0323852,-0.0460145,8.41068e-06,1580,30.0,0.06126,0.050016,20.6528,26.2657,2,2458205.0114468,681120115,19.7540970046665,28.31461067344689,0.878606497370684,1.2816989947538,49.0529831470627,39.2020780757954,1.25971275592423,1.05999772648732,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-19.607869673899703,,-1.5677976914076124,True,20.888248503048928,20.888248503048928,
21,681,4,3,ZTF_g,451491731515,0,2.9281,140.748,5.8693,26.24,5.2658e-06,0.0355283,-0.0348171,1.20347e-05,1511,30.0,0.066619,0.054144,20.2345,26.24,2,2458205.9917361,681120115,-50.7583646923417,38.113208550821724,-1.48232514298643,1.00118221701117,-66.4783876282155,56.380570887451,-1.18704231511454,1.08615075637549,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-90.1203313709079,,-0.45915843732666334,True,20.539886210954194,20.539886210954194,
22,681,4,3,ZTF_g,451515971515,0,1.9814,140.745,4.3314,26.2355,2.3373e-06,0.0248102,-0.0446039,4.86807e-06,1583,30.0,0.044742,0.040163,20.9552,26.2355,2,2458206.0159722,681120115,-26.9852974787502,20.292902519750005,-1.61078005613439,1.18576002126217,-26.0281731249265,33.3566783699919,-0.785554067398523,1.04583483137609,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-66.3472641573164,,-0.33207102878352845,True,21.219714566234323,21.219714566234323,
23,681,4,3,ZTF_g,451524591515,0,2.2876,140.159,5.2735,26.2412,3.1171e-06,0.0286509,-0.0457861,6.49576e-06,1583,30.0,0.045541,0.041966,20.6962,26.2412,2,2458206.0245949,681120115,9.15106879206588,25.707925529936137,0.451952241834531,1.30276449479983,95.2393386392804,38.8025450228552,2.47099207044609,1.05086172097452,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-30.210897886500327,,-0.9238750484249486,True,20.968607406192476,20.968607406192476,
93,681,4,3,ZTF_g,473337331515,0,3.3855,153.598,4.93161,26.1621,4.7789e-06,0.0346709,-0.0269475,1.0564e-05,1550,30.0,0.065183,0.060876,20.3651,26.325,2,2458227.837338,681120115,-9.34743256558709,42.21562446867914,-0.273620115723002,1.23409387428376,-22.080362542175,53.405649325979,-0.416230779605462,1.11365436102577,3.17019297236216,17.9819995880127,0.0939999967813492,6.60300016403198,0.333999991416931,2458203.899757,2458206.024595,0,-48.709399244153296,,-0.9409580942665074,True,20.513891944418177,20.513891944418177,
