# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-11-03 at 03:48:59
#
# Requested input R.A. = 345.290059561 degrees
# Requested input Dec. = 23.4872227538 degrees
# Requested JD start = 2459000.5 days
# Requested JD end = 2459200.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 646 3 0 ZTF_g 1248444580815 0 2.6714 103.331 6.65108 26.1337 9.9706e-06 0.0342803 -0.101292 1.53691e-05 998 30. 0.070394 0.058339 19.9761 26.1337 1 2459002.9445833 646120108 18.653362143332 31.6471191225554 0.655658568512599 1.00434477744122 21.0150300794517 52.2102024842129 0.405219028264292 1.04568326466947 null null null null null 2458246.982951 2458303.921794 57
 1 646 3 0 ZTF_r 1248477960815 33554480 2.316 3.78284 9.86617 21.8499 0.00289858 0.0818612 0.0276711 0.00697675 34 30. 0.086603 0.094115 15.3995 21.8499 1 2459002.977963 646120208 -7.73834032188674 54.9716226465724 -0.156590016537845 0.95259277248358 -23.0565216654786 92.4775304448044 -0.250999443365375 1.11021286007729 2.79891483157761 20.6769999504089 0.13400000333786 3.49900007247925 0.41100001335144 2458246.951863 2458316.956667 0
 2 646 3 0 ZTF_g 1260395380815 0 2.7502 124.456 6.74613 26.3368 9.3854e-06 0.0338575 -0.0938852 1.44344e-05 1011 30. 0.073905 0.065648 20.1606 26.3368 1 2459014.8953819 646120108 -60.3277623803573 34.9791934518828 -1.91850187045066 1.03088120719731 -71.7102366201893 57.4091463607674 -1.25752103568995 1.04834491570839 null null null null null 2458246.982951 2458303.921794 57
 3 646 3 0 ZTF_r 1260474080815 0 2.0331 254.74 8.33391 26.3106 2.9419e-06 0.0193821 0.0920891 4.29879e-06 1045 30. 0.057104 0.048539 20.1715 26.3106 1 2459014.9740856 646120208 40.722067360239 36.3097907207872 1.24755836715287 1.09243349649727 113.591923401517 67.181957161249 1.70219767885966 1.04745261321474 2.79891483157761 20.6769999504089 0.13400000333786 3.49900007247925 0.41100001335144 2458246.951863 2458316.956667 0
 4 646 3 0 ZTF_g 1264396050815 0 2.4846 125.406 5.66363 26.3392 7.5703e-06 0.0310332 -0.0990005 1.09871e-05 1042 30. 0.070914 0.058646 20.3834 26.3392 1 2459018.8960532 646120108 16.309174488711 26.3729201119346 0.687905150393064 0.939575443808209 65.9571444257663 44.5497143518917 1.49050045672161 1.05141454824453 null null null null null 2458246.982951 2458303.921794 57
 5 646 3 0 ZTF_r 1264468410815 0 1.8447 253.218 6.03841 26.2932 2.6825e-06 0.0185593 0.0910437 3.87662e-06 1047 30. 0.059047 0.047178 20.5573 26.2932 1 2459018.9684144 646120208 -16.4490245848171 24.2804539868726 -0.753595242465321 1.44268953356796 -66.6228499510395 46.5923103090726 -1.43954137997615 1.04223672381912 2.79891483157761 20.6769999504089 0.13400000333786 3.49900007247925 0.41100001335144 2458246.951863 2458316.956667 0
 6 646 3 0 ZTF_g 1268389180815 0 2.5545 129.012 6.24838 26.3548 6.7835e-06 0.0294368 -0.088004 9.78878e-06 1044 30. 0.068995 0.055736 20.2865 26.3548 1 2459022.8891898 646120108 13.7566135149049 26.8951045418119 0.568974889993102 1.02355761456667 40.1545448292916 44.4614099699998 0.909215160434218 1.05533703468383 null null null null null 2458246.982951 2458303.921794 57
 7 646 3 0 ZTF_r 1268475620815 0 1.5427 258.493 7.08467 26.317 3.1936e-06 0.0201523 0.0898857 4.61121e-06 1047 30. 0.057432 0.056766 20.4938 26.317 1 2459022.975625 646120208 35.2249916940215 24.9751636843625 1.56890756551673 1.92184364672208 23.657772557917 50.2740594859624 0.473745491427694 1.03438135466803 2.79891483157761 20.6769999504089 0.13400000333786 3.49900007247925 0.41100001335144 2458246.951863 2458316.956667 0
 8 646 3 0 ZTF_g 1271340240815 0 2.5459 114.652 5.51826 26.2415 7.9256e-06 0.031725 -0.0941579 1.1502e-05 1040 30. 0.071068 0.058017 20.3046 26.2415 1 2459025.8402431 646120108 11.7621151195041 25.7360179367496 0.508392196961968 0.968427947795153 52.7605373808324 43.2370920096496 1.22847953381811 1.04777574157143 null null null null null 2458246.982951 2458303.921794 57
