index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
116,646,3,0,ZTF_g,1323374960815,0,1.8932,128.824,6.00757,26.357,5.6279e-06,0.0267661,-0.0919585,8.09708e-06,1045,30.0,0.055691,0.045015,20.5048,26.357,1,2459077.8749653,646120108,265.1084010623,22.59611711120791,13.4587276174682,1.06345485562599,271.727917003824,40.1143604495406,6.81945360945716,1.0360475253574,null,,null,,,2458246.982951,2458303.921794,57,219.9858915476706,20.501012927711194,0.11151898958175804,False,21.22449044682854,20.501012927711194,0.11151898958175804
117,646,3,0,ZTF_g,1323417530815,0,1.9237,128.127,5.2117,26.3518,4.9841e-06,0.0252052,-0.0869601,7.16671e-06,1044,30.0,0.058744,0.045431,20.6625,26.3518,1,2459077.9175347,646120108,239.905071530456,24.464118212543035,12.54541662093,1.32263755508916,301.057133671922,38.7153402436604,7.8285446771484,1.03747547077007,null,,null,,,2458246.982951,2458303.921794,57,194.7825620158266,20.627924815246303,0.13636073408460375,False,21.133051072613945,20.627924815246303,0.13636073408460375
118,646,3,0,ZTF_g,1323419050815,0,2.2724,127.108,5.20715,26.3855,5.5474e-06,0.0266043,-0.120318,7.97018e-06,1047,30.0,0.060887,0.046023,20.6266,26.3855,3,2459077.9190509,646120108,245.894183648838,23.13385861301996,12.4059822290151,1.10091134956976,233.81564891396,38.4091606102116,6.12849661440858,1.03857838653204,null,,null,,,2458246.982951,2458303.921794,57,200.7716741342086,20.628743899073584,0.12509947134956073,False,21.2274547967082,20.628743899073584,0.12509947134956073
122,646,3,0,ZTF_g,1325332460815,0,1.814,122.931,5.98508,26.3027,5.7795e-06,0.0270425,-0.0861102,8.35823e-06,1043,30.0,0.056311,0.046325,20.4573,26.3027,1,2459079.8324653,646120108,386.266520417515,26.51020314747433,17.7586548313696,1.20050094627671,380.041051851581,42.9934624995948,8.89904250454437,1.03767885269071,null,,null,,,2458246.982951,2458303.921794,57,341.1440109028856,19.970355621891304,0.08436943530398477,False,20.996742349807505,19.970355621891304,0.08436943530398477
123,646,3,0,ZTF_g,1325337430815,0,2.1264,123.255,5.9524,26.3247,6.1268e-06,0.0279088,-0.115314,8.86244e-06,1045,30.0,0.058236,0.049246,20.4185,26.3247,3,2459079.8374306,646120108,429.903951356254,27.18826765837867,19.0088208362341,1.16794112880118,430.142119640159,43.3302349533539,9.99392576639153,1.03791336000379,null,,null,,,2458246.982951,2458303.921794,57,384.78144184162466,19.861664705801616,0.07671446433440884,False,20.99132114731283,19.861664705801616,0.07671446433440884
129,646,3,0,ZTF_g,1326420110815,0,2.2144,105.505,5.8943,26.1444,6.7137e-06,0.0291528,-0.0946608,9.80566e-06,1040,30.0,0.061718,0.049477,20.2498,26.1444,3,2459080.9201157,646120108,370.34959909515,25.85972692003447,16.1708575339353,1.03034011966635,389.488121748048,43.1449105752566,9.08824103304685,1.04419870150035,null,,null,,,2458246.982951,2458303.921794,57,325.22708958052056,19.8639332182319,0.08632708165022127,False,20.86541515316525,19.8639332182319,0.08632708165022127
130,646,3,0,ZTF_g,1326421110815,0,2.1857,106.462,5.89156,26.1592,6.8646e-06,0.0295353,-0.0897121,9.98393e-06,1042,30.0,0.062341,0.051727,20.2917,26.1592,1,2459080.9211111,646120108,422.891906157574,25.865226060041188,19.4497306726053,1.14364541237341,444.589465064919,40.9729452708433,10.9238864263451,1.04317646913032,null,,null,,,2458246.982951,2458303.921794,57,377.76939664294457,19.716133068705084,0.07433602664201198,False,20.879984293006707,19.716133068705084,0.07433602664201198
131,646,3,0,ZTF_g,1326427920815,0,2.1095,104.905,5.96017,26.1428,6.365e-06,0.0284544,-0.0872269,9.30891e-06,1042,30.0,0.060364,0.049554,20.297,26.1428,1,2459080.9279282,646120108,406.527804368783,25.945874794010216,18.6115888393332,1.14028503406861,474.638394876045,41.8649272964547,11.4137332280588,1.04169390767642,null,,null,,,2458246.982951,2458303.921794,57,361.40529485415357,19.74781372248492,0.07794417144669885,False,20.860204194162403,19.74781372248492,0.07794417144669885
132,646,3,0,ZTF_g,1327306960815,0,1.9762,109.618,5.70701,26.1727,6.3404e-06,0.0284814,-0.0784764,9.12999e-06,1045,30.0,0.061018,0.049943,20.3882,26.1727,1,2459081.8069676,646120108,500.489529315162,25.73734127862732,25.2790493522199,1.36568092627712,562.160055287359,36.711345148651,15.4161127387712,1.0425363922382,null,,null,,,2458246.982951,2458303.921794,57,455.3670198005326,19.52679606647889,0.06136375760907268,False,20.89886578577505,19.52679606647889,0.06136375760907268
133,646,3,0,ZTF_g,1327316250815,0,1.7446,110.826,5.75106,26.1721,5.0177e-06,0.0253303,-0.0593581,7.30793e-06,1044,30.0,0.057671,0.050029,20.4254,26.1721,3,2459081.81625,646120108,513.508721588765,26.65811218664205,23.7452898311434,1.22802860117355,523.644330388051,41.6258477285071,12.6645133696584,1.04023179417563,null,,null,,,2458246.982951,2458303.921794,57,468.3862120741355,19.495589744440338,0.06179240903115283,False,20.86010151093209,19.495589744440338,0.06179240903115283
137,646,3,0,ZTF_g,1328316960815,0,2.0189,85.3926,5.12567,25.9073,1.55355e-05,0.0440959,-0.0835431,2.28682e-05,1028,30.0,0.062734,0.048862,20.2851,25.9073,3,2459082.8169676,646120108,471.203204443406,24.93500407304406,22.8878993405133,1.18550853210042,480.080275242667,38.9186073769271,12.4185749720411,1.03640689941832,null,,null,,,2458246.982951,2458303.921794,57,426.08069492877655,19.333570356448156,0.06353710516415036,False,20.667851380422842,19.333570356448156,0.06353710516415036
141,646,3,0,ZTF_g,1330398930815,0,2.1123,122.855,5.24336,26.3275,5.8039e-06,0.027179,-0.106391,8.35662e-06,1046,30.0,0.060297,0.047584,20.5949,26.3275,1,2459084.8989352,646120108,901.071897899608,30.21327396361254,37.4752570518307,1.27601660349738,969.566645797753,42.1913633883837,23.1349891198319,1.03945447458394,null,,null,,,2458246.982951,2458303.921794,57,855.9493883849785,18.996379785138167,0.038323003658179616,False,20.87958051731321,18.996379785138167,0.038323003658179616
142,646,3,0,ZTF_g,1330400000815,0,2.1923,122.945,5.07826,26.3293,7.024e-06,0.0299134,-0.107224,1.01125e-05,1043,30.0,0.066924,0.047037,20.5867,26.3293,3,2459084.9,646120108,908.403056472615,31.353778430097673,35.6950796169803,1.22667553598045,890.158824546016,44.2085049203016,20.2710789939653,1.04236426363756,null,,null,,,2458246.982951,2458303.921794,57,863.2805469579856,18.98892011327287,0.03943190584047037,False,20.841150276764445,18.98892011327287,0.03943190584047037
144,646,3,0,ZTF_g,1331355470815,0,1.9242,128.481,5.7929,26.3706,5.2495e-06,0.0258097,-0.103408,7.56419e-06,1044,30.0,0.059696,0.044603,20.5403,26.3706,3,2459085.8554745,646120108,1030.95602643676,34.7051665422882,41.1305221252383,1.54926898030449,1020.61813121795,44.7870816407065,22.941705853837,1.0347306654913,null,,null,,,2458246.982951,2458303.921794,57,985.8335169221307,18.886091051355844,0.038220854402070945,False,20.77218965709767,18.886091051355844,0.038220854402070945
145,646,3,0,ZTF_g,1331372080815,0,2.0662,127.882,5.8833,26.3679,5.343e-06,0.02615,-0.105035,7.69841e-06,1046,30.0,0.065131,0.045122,20.4825,26.3679,1,2459085.8720833,646120108,1093.77840863259,34.1971057651072,44.6425600433676,1.57437647463583,1071.51011260706,41.5289576294262,25.9752918551547,1.03908700282835,null,,null,,,2458246.982951,2458303.921794,57,1048.6558991179606,18.816317489311263,0.035405129328319816,False,20.78550161023541,18.816317489311263,0.035405129328319816
146,646,3,0,ZTF_g,1332296010815,0,2.026,126.974,5.88073,26.3423,5.4414e-06,0.0263185,-0.0916669,7.88973e-06,1046,30.0,0.059042,0.044183,20.4831,26.3423,3,2459086.7960185,646120108,1102.73953856637,34.83210904576499,43.6801529305914,1.5384108990139,1072.69708592411,43.527991582128,24.8098229039067,1.0405731934844,null,,null,,,2458246.982951,2458303.921794,57,1057.6170290517405,18.78147891269719,0.035757008210140086,False,20.739925560894964,18.78147891269719,0.035757008210140086
150,646,3,0,ZTF_g,1333336710815,0,2.0085,114.104,5.71516,26.223,5.9239e-06,0.0275074,-0.0938214,8.65059e-06,1048,30.0,0.060732,0.047373,20.4111,26.223,3,2459087.836713,646120108,1042.14224471236,33.2694841150904,43.1592852165785,1.53418247008562,1043.82963628079,41.7413009002575,25.175542359086,1.03933522944284,null,,null,,,2458246.982951,2458303.921794,57,997.0197351977306,18.7262406127398,0.0362286498738063,False,20.670459822553465,18.7262406127398,0.0362286498738063
151,646,3,0,ZTF_g,1333337650815,0,1.8668,113.774,5.68314,26.2174,5.4898e-06,0.0265189,-0.0859391,7.98312e-06,1047,30.0,0.058678,0.045576,20.4595,26.2174,1,2459087.8376505,646120108,1010.65603633047,31.660992657145258,42.147337886606,1.40887674652827,1060.60662154325,42.4125580619843,25.1753234643564,1.03912074294815,null,,null,,,2458246.982951,2458303.921794,57,965.5335268158406,18.755481603369375,0.035601394227317125,False,20.718663671564705,18.755481603369375,0.035601394227317125
154,646,3,0,ZTF_g,1334326930815,0,2.0405,105.382,5.19296,26.1549,6.3219e-06,0.0284514,-0.0810788,9.41771e-06,1037,30.0,0.059073,0.048449,20.5369,26.1549,1,2459088.8269329,646120108,943.435011931759,31.53147120596775,36.5224973140172,1.20413677465416,990.408751768645,46.2386961747527,21.563739771696,1.04296046055632,null,,null,,,2458246.982951,2458303.921794,57,898.3125024171296,18.771331389773856,0.03810891888536004,False,20.66061440246404,18.771331389773856,0.03810891888536004
158,646,3,0,ZTF_g,1335392580815,0,2.5359,115.9,4.67372,26.2733,7.0139e-06,0.0298047,-0.0928055,1.05306e-05,1038,30.0,0.065314,0.054838,20.5385,26.2733,3,2459089.892581,646120108,956.950167166257,33.37329394299729,33.8347055289402,1.12521289853793,999.898285574584,46.1566288805884,21.8090593370941,1.05939196547315,null,,null,,,2458246.982951,2458303.921794,57,911.8276576516275,18.873518097171853,0.039737098266167614,False,20.717377305107036,18.873518097171853,0.039737098266167614
161,646,3,0,ZTF_g,1336400270815,0,2.0167,124.915,5.80289,26.3384,5.7863e-06,0.0273687,-0.0826688,8.60404e-06,1051,30.0,0.058372,0.047278,20.5688,26.3384,3,2459090.9002778,646120108,1047.45597262804,35.732908929791236,37.974853387586,1.3562751342717,1060.61243834445,49.8015365051171,21.4402164886865,1.04003236758182,null,,null,,,2458246.982951,2458303.921794,57,1002.3334631134105,18.83586942596896,0.03870490276217069,False,20.708304057894495,18.83586942596896,0.03870490276217069
162,646,3,0,ZTF_g,1336401210815,0,2.1166,125.572,5.70927,26.3503,5.8803e-06,0.0275984,-0.0923076,8.74203e-06,1054,30.0,0.05882,0.048066,20.5854,26.3503,1,2459090.9012153,646120108,1051.8921476449,35.5179054155998,36.9843244749294,1.26031192517227,994.260084047298,51.0203750721063,19.6187597896602,1.04091601381828,null,,null,,,2458246.982951,2458303.921794,57,1006.7696381302706,18.842974725636243,0.03830249587316917,False,20.72675662322836,18.842974725636243,0.03830249587316917
166,646,3,0,ZTF_g,1337448580815,0,2.5503,131.857,5.37249,26.4263,7.2439e-06,0.0306889,-0.112887,1.07397e-05,1062,30.0,0.06548,0.05573,20.5776,26.4263,3,2459091.948588,646120108,1079.07369205634,36.37174077748795,38.5058499843089,1.36134998909931,1060.10279083705,46.2078022691672,23.096589573973,1.04952121187859,null,,null,,,2458246.982951,2458303.921794,57,1033.9511825417105,18.890049914355792,0.038192130952493644,False,20.776964771169492,18.890049914355792,0.038192130952493644
