index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
0,646,3,0,ZTF_g,1248444580815,0,2.6714,103.331,6.65108,26.1337,9.9706e-06,0.0342803,-0.101292,1.53691e-05,998,30.0,0.070394,0.058339,19.9761,26.1337,1,2459002.9445833,646120108,18.653362143332,31.71579445326899,0.655658568512599,1.00434477744122,21.0150300794517,52.2102024842129,0.405219028264292,1.04568326466947,null,,null,,,2458246.982951,2458303.921794,57,-26.4691473712974,,-1.3009046931089852,True,20.633086002731062,20.633086002731062,
2,646,3,0,ZTF_g,1260395380815,0,2.7502,124.456,6.74613,26.3368,9.3854e-06,0.0338575,-0.0938852,1.44344e-05,1011,30.0,0.073905,0.065648,20.1606,26.3368,1,2459014.8953819,646120108,-60.3277623803573,35.515186745069514,-1.91850187045066,1.03088120719731,-71.7102366201893,57.4091463607674,-1.25752103568995,1.04834491570839,null,,null,,,2458246.982951,2458303.921794,57,-105.4502718949867,,-0.3656589741894742,True,20.713339732633713,20.713339732633713,
4,646,3,0,ZTF_g,1264396050815,0,2.4846,125.406,5.66363,26.3392,7.5703e-06,0.0310332,-0.0990005,1.09871e-05,1042,30.0,0.070914,0.058646,20.3834,26.3392,1,2459018.8960532,646120108,16.309174488711,25.563719767670985,0.687905150393064,0.939575443808209,65.9571444257663,44.5497143518917,1.49050045672161,1.05141454824453,null,,null,,,2458246.982951,2458303.921794,57,-28.8133350259184,,-0.9632529704317261,True,21.07271486886402,21.07271486886402,
6,646,3,0,ZTF_g,1268389180815,0,2.5545,129.012,6.24838,26.3548,6.7835e-06,0.0294368,-0.088004,9.78878e-06,1044,30.0,0.068995,0.055736,20.2865,26.3548,1,2459022.8891898,646120108,13.7566135149049,27.210052735231667,0.568974889993102,1.02355761456667,40.1545448292916,44.4614099699998,0.909215160434218,1.05533703468383,null,,null,,,2458246.982951,2458303.921794,57,-31.3658959997245,,-0.9418495251945139,True,21.020551530465987,21.020551530465987,
8,646,3,0,ZTF_g,1271340240815,0,2.5459,114.652,5.51826,26.2415,7.9256e-06,0.031725,-0.0941579,1.1502e-05,1040,30.0,0.071068,0.058017,20.3046,26.2415,1,2459025.8402431,646120108,11.7621151195041,25.3264901533658,0.508392196961968,0.968427947795153,52.7605373808324,43.2370920096496,1.22847953381811,1.04777574157143,null,,null,,,2458246.982951,2458303.921794,57,-33.3603943951253,,-0.8242399665253111,True,20.985137469938515,20.985137469938515,
9,646,3,0,ZTF_g,1274454810815,0,2.6265,123.333,3.66184,26.3224,6.5715e-06,0.0290911,-0.104125,9.56644e-06,1046,30.0,0.070634,0.05567,20.8155,26.3224,1,2459028.9548148,646120108,15.3030193418348,22.96465078844888,0.816650953534348,1.21374871153574,-6.54237456007533,34.3703215088134,-0.191631545473424,1.05205984350537,null,,null,,,2458246.982951,2458303.921794,57,-29.819490172794602,,-0.8361216511932847,True,21.17232537487773,21.17232537487773,
10,646,3,0,ZTF_g,1274458620815,0,2.9566,123.317,3.74447,26.323,7.7497e-06,0.0315331,-0.103194,1.13005e-05,1044,30.0,0.077104,0.061045,20.6837,26.323,1,2459028.9586227,646120108,-13.3036583846189,24.945411600688438,-0.656695088450982,1.22534141871522,-19.492559947445,34.93091261785,-0.561790173502817,1.06037427782278,null,,null,,,2458246.982951,2458303.921794,57,-58.4261678992483,,-0.46354629010703763,True,21.08309830361597,21.08309830361597,
19,646,3,0,ZTF_g,1289369230815,0,2.2303,127.236,6.60648,26.3641,6.3325e-06,0.0281389,-0.0967297,9.35744e-06,1030,30.0,0.064012,0.050132,20.4094,26.3641,1,2459043.8692361,646120108,23.055104658807,31.611946224370467,0.816964820164291,1.01406403848248,41.8566199698201,57.3718670100656,0.734480659416934,1.03906937060918,null,,null,,,2458246.982951,2458303.921794,57,-22.0674048558224,,-1.555284377118025,True,20.86704690295509,20.86704690295509,
24,646,3,0,ZTF_g,1292461340815,0,1.8715,137.921,4.66929,26.4313,5.1277e-06,0.0257378,-0.0843105,7.413e-06,1049,30.0,0.060486,0.048763,20.9432,26.4313,1,2459046.9613426,646120108,-17.2151476400895,20.177188087294926,-0.958411187517482,1.01975050375309,40.5025888267451,37.7751484082101,1.07942331959029,1.04186707416592,null,,null,,,2458246.982951,2458303.921794,57,-62.3376571547189,,-0.3514147644658124,True,21.421723383126896,21.421723383126896,
26,646,3,0,ZTF_g,1294458660815,0,1.8876,139.2,5.21631,26.4435,4.8807e-06,0.0249278,-0.0915128,6.99744e-06,1045,30.0,0.057609,0.045288,20.7885,26.4435,3,2459048.958669,646120108,-6.50306940628071,21.55164863787816,-0.360900754492523,1.15608614230539,-15.0061622233731,38.0843345602179,-0.396678313111617,1.03825164406041,null,,null,,,2458246.982951,2458303.921794,57,-51.62557892091011,,-0.45323704673589793,True,21.362373744107554,21.362373744107554,
30,646,3,0,ZTF_g,1296408480815,0,2.0357,137.078,6.19549,26.4243,5.8134e-06,0.0271938,-0.0890199,8.41524e-06,1045,30.0,0.059403,0.048894,20.5173,26.4243,3,2459050.9084838,646120108,-5.25128152378851,24.783143508028125,-0.251251796555153,1.13629456534891,-22.7213394372639,43.326730800756,-0.527950494830434,1.03927810086027,null,,null,,,2458246.982951,2458303.921794,57,-50.373791038417906,,-0.5341479835445637,True,21.19148400992698,21.19148400992698,
