index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
212,646,3,0,ZTF_i,1352271520815,0,1.594,249.726,8.11295,26.0051,1.2634e-06,0.0187833,0.189166,6.49508e-06,1064,60.0,0.058686,0.059201,20.0708,26.0051,2,2459106.7715278,646120308,583.056016554172,50.06202501304096,17.9455608495107,1.91867197809517,549.955138111811,69.1729389406252,8.00398430495844,1.03498907728792,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,541.2424983245601,19.17162027490511,0.10042142057378835,False,20.008903956972134,19.17162027490511,0.10042142057378835
221,646,3,0,ZTF_i,1353212710815,0,1.4839,242.878,8.51701,25.9854,1.4389e-06,0.0200753,0.190038,7.45576e-06,1073,60.0,0.065675,0.062898,20.0491,25.9854,2,2459107.7127199,646120308,625.858948362697,48.433045284406,18.1734972188747,1.59844624894433,603.423437364144,74.7470137311749,8.12724814823389,1.03250246446408,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,584.0454301330851,19.069283424647352,0.0900336764098941,False,20.025120547462762,19.069283424647352,0.0900336764098941
222,646,3,0,ZTF_i,1353231970815,0,1.2626,263.398,8.35515,26.0667,1.6734e-06,0.0216094,0.183754,8.7406e-06,1070,60.0,0.092324,0.089654,20.208,26.0667,2,2459107.7319792,646120308,604.944644729856,53.03493821661236,17.7853362839527,1.96475056240113,519.267622382701,74.6373394409453,7.00406691357329,1.03086765258902,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,563.1311265002441,19.190176167024447,0.10224977756002462,False,20.007869821025263,19.190176167024447,0.10224977756002462
232,646,3,0,ZTF_i,1354315320815,0,1.2795,284.219,7.8147,26.1578,1.7183e-06,0.0219068,0.18462,8.88429e-06,1070,60.0,0.082048,0.084889,20.3639,26.1578,2,2459108.8153241,646120308,546.50951455156,55.956914137858746,17.8841071342191,2.70979839814545,494.877491427238,66.7044456530111,7.46892527068385,1.03021281325263,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,504.6959963219481,19.400225351114976,0.12037428892286868,False,20.040740598174295,19.400225351114976,0.12037428892286868
233,646,3,0,ZTF_i,1354339520815,0,1.5046,283.358,7.57626,26.1544,1.4143e-06,0.0198417,0.183552,7.33979e-06,1073,60.0,0.060163,0.078146,20.2839,26.1544,2,2459108.8395255,646120308,583.734197206577,50.048938785293046,19.9061723340325,2.35410261909945,538.913085540901,62.0883984925489,8.73822983602071,1.0301418796605,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,541.9206789769652,19.31956069141976,0.10026953195765087,False,20.158487805829274,19.31956069141976,0.10026953195765087
239,646,3,0,ZTF_i,1355252950815,0,1.7756,311.148,7.8858,26.2587,8.857e-07,0.0158204,0.181744,4.53953e-06,1077,60.0,0.064068,0.053505,20.2823,26.2587,2,2459109.7529514,646120308,569.858850837668,43.078729435538186,18.2277417697454,1.53443080255408,620.830665492087,65.8747251100184,9.487887724765,1.03348834800944,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,528.0453326080561,19.45202197938322,0.0885730327681534,False,20.42561777483697,19.45202197938322,0.0885730327681534
240,646,3,0,ZTF_i,1355273430815,0,1.4473,299.134,7.61252,26.2141,1.3871e-06,0.0198805,0.1837,7.03917e-06,1081,60.0,0.063157,0.063667,20.3702,26.2141,2,2459109.7734375,646120308,584.998537762904,50.049236455481335,19.1053779652978,2.15917089321084,612.965213027066,65.4672352887237,9.42599097521369,1.03255085745892,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,543.1850195332921,19.376730539858926,0.10003673530320115,False,20.218181348342917,19.376730539858926,0.10003673530320115
245,646,3,0,ZTF_i,1356210820815,0,1.5933,254.944,8.95008,26.0278,1.2018e-06,0.0183199,0.190448,6.21048e-06,1081,60.0,0.05884,0.054836,19.9893,26.0278,2,2459110.7108218,646120308,456.270753393628,50.9979892075386,13.3870809374982,1.8093518049955,471.377569133992,73.5697389936768,6.45037389929521,1.03584748495331,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,414.4572351640161,19.484100686248905,0.1335928346400161,False,20.01149235740953,19.484100686248905,0.1335928346400161
254,646,3,0,ZTF_i,1357273550815,0,1.8377,321.933,8.0994,26.2958,1.0791e-06,0.0175111,0.179402,5.52637e-06,1084,60.0,0.063543,0.050502,20.2312,26.2958,2,2459111.7735532,646120308,448.785415956491,64.81146487192879,13.2394617388642,2.95431813155313,497.573184031508,72.8362009551654,6.87740933059007,1.03267517369155,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,406.9718977268791,19.771888946737405,0.17290090004857275,False,20.01924539538644,19.771888946737405,0.17290090004857275
255,646,3,0,ZTF_i,1357293400815,0,1.3268,322.673,7.80506,26.2962,1.3685e-06,0.019604,0.183348,7.02577e-06,1084,60.0,0.07542,0.078857,20.4504,26.2962,2,2459111.7934028,646120308,485.510026682678,59.143788944428145,16.6414148645241,3.32118274613199,480.978018295279,63.5760574570796,7.61634886290993,1.0293264604254,3.92073495815583,18.8789998626709,0.196999996900558,10.460000038147,1.09899997711182,2458302.968056,2458378.858611,0,443.69650845306614,19.67848497207571,0.14472147162221355,False,20.119002130646678,19.67848497207571,0.14472147162221355
